date,value
1990-01-01,276.428
1990-02-01,255.893
1990-03-01,254.693
1990-04-01,215.859
1990-05-01,214.111
1990-06-01,184.819
1990-07-01,170.29
1990-08-01,164.638
1990-09-01,143.973
1990-10-01,146.593
1990-11-01,143.505
1990-12-01,142.41
1991-01-01,118.887
1991-02-01,117.926
1991-03-01,118.066
1991-04-01,133.898
1991-05-01,151.871
1991-06-01,158.414
1991-07-01,179.917
1991-08-01,177.579
1991-09-01,171.803
1991-10-01,191.851
1991-11-01,173.188
1991-12-01,165.677
1992-01-01,173.548
1992-02-01,173.818
1992-03-01,177.072
1992-04-01,167.909
1992-05-01,169.404
1992-06-01,170.273
1992-07-01,182.738
1992-08-01,162.015
1992-09-01,174.259
1992-10-01,164.343
1992-11-01,170.465
1992-12-01,168.173
1993-01-01,143.501
1993-02-01,149.289
1993-03-01,154.567
1993-04-01,164.532
1993-05-01,146.704
1993-06-01,148.908
1993-07-01,173.655
1993-08-01,161.254
1993-09-01,155.533
1993-10-01,162.186
1993-11-01,163.741
1993-12-01,161.597
1994-01-01,150.02
1994-02-01,143.589
1994-03-01,151.841
1994-04-01,160.5
1994-05-01,161.433
1994-06-01,169.039
1994-07-01,164.043
1994-08-01,151.159
1994-09-01,154.9
1994-10-01,149.869
1994-11-01,144.029
1994-12-01,125.041
1995-01-01,136.747
1995-02-01,122.976
1995-03-01,98.919
1995-04-01,114.715
1995-05-01,97.502
1995-06-01,112.029
1995-07-01,105.005
1995-08-01,108.75
1995-09-01,112.143
1995-10-01,110.648
1995-11-01,114.573
1995-12-01,119.395
1996-01-01,102.918
1996-02-01,103.362
1996-03-01,110.717
1996-04-01,106.024
1996-05-01,128.412
1996-06-01,139.102
1996-07-01,130.833
1996-08-01,129.78
1996-09-01,136.53
1996-10-01,118.098
1996-11-01,140.2
1996-12-01,137.325
1997-01-01,134.585
1997-02-01,148.65
1997-03-01,142.875
1997-04-01,143.226
1997-05-01,150.19
1997-06-01,144.494
1997-07-01,154.708
1997-08-01,154.431
1997-09-01,152.78
1997-10-01,146.505
1997-11-01,148.15
1997-12-01,148.479
1998-01-01,131.269
1998-02-01,142.279
1998-03-01,144.513
1998-04-01,145.177
1998-05-01,140.358
1998-06-01,131.202
1998-07-01,124.631
1998-08-01,142.024
1998-09-01,139.365
1998-10-01,138.022
1998-11-01,131.287
1998-12-01,141.957
1999-01-01,131.249
1999-02-01,139.48
1999-03-01,141.858
1999-04-01,146.056
1999-05-01,151.765
1999-06-01,153.076
1999-07-01,145.527
1999-08-01,152.053
1999-09-01,156.596
1999-10-01,152.984
1999-11-01,165.5
1999-12-01,161.526
2000-01-01,137.194
2000-02-01,149.904
2000-03-01,154.401
2000-04-01,156.762
2000-05-01,144.354
2000-06-01,132.265
2000-07-01,166.648
2000-08-01,149.76
2000-09-01,164.996
2000-10-01,165.958
2000-11-01,156.917
2000-12-01,144.483
2001-01-01,161.758
2001-02-01,145.835
2001-03-01,150.896
2001-04-01,165.747
2001-05-01,159.603
2001-06-01,176.424
2001-07-01,148.906
2001-08-01,167.233
2001-09-01,158.249
2001-10-01,169.767
2001-11-01,174.11
2001-12-01,177.444
2002-01-01,214.398
2002-02-01,183.751
2002-03-01,203.966
2002-04-01,192.038
2002-05-01,211.073
2002-06-01,205.043
2002-07-01,198.543
2002-08-01,216.318
2002-09-01,199.001
2002-10-01,224.926
2002-11-01,218.228
2002-12-01,197.564
2003-01-01,189.151
2003-02-01,240.42
2003-03-01,197.668
2003-04-01,210.125
2003-05-01,195.586
2003-06-01,208.457
2003-07-01,225.854
2003-08-01,239.978
2003-09-01,233.928
2003-10-01,253.644
2003-11-01,216.591
2003-12-01,216.338
2004-01-01,193.841
2004-02-01,217.36
2004-03-01,244.495
2004-04-01,241.873
2004-05-01,232.741
2004-06-01,233.477
2004-07-01,224.283
2004-08-01,267.432
2004-09-01,239.122
2004-10-01,239.312
2004-11-01,246.431
2004-12-01,229.102
2005-01-01,185.278
2005-02-01,212.311
2005-03-01,213.14
2005-04-01,251.213
2005-05-01,223.409
2005-06-01,237.053
2005-07-01,249.838
2005-08-01,209.411
2005-09-01,232.163
2005-10-01,219.023
2005-11-01,235.79
2005-12-01,233.376
2006-01-01,223.622
2006-02-01,238.095
2006-03-01,249.27
2006-04-01,233.636
2006-05-01,220.93
2006-06-01,241.79
2006-07-01,241.986
2006-08-01,211.143
2006-09-01,204.137
2006-10-01,231.099
2006-11-01,234.741
2006-12-01,210.977
2007-01-01,244.867
