date,value
1980-01-01,-4.0
1981-01-01,-2.9
1982-01-01,-6.9
1983-01-01,-8.0
1984-01-01,-7.9
1985-01-01,-8.8
1986-01-01,-7.3
1987-01-01,-5.7
1988-01-01,-4.5
1989-01-01,-4.7
1990-01-01,-5.9
1991-01-01,-8.4
1992-01-01,-9.2
1993-01-01,-8.9
1994-01-01,-6.9
1995-01-01,-5.5
1996-01-01,-3.1
1997-01-01,0.0
1998-01-01,0.1
1999-01-01,1.7
2000-01-01,2.6
2001-01-01,0.5
2002-01-01,-0.2
2003-01-01,-0.1
2004-01-01,0.8
2005-01-01,1.6
2006-01-01,1.8
2007-01-01,1.8
2008-01-01,0.2
2009-01-01,-3.9
2010-01-01,-4.7
2011-01-01,-3.3
2012-01-01,-2.5
2013-01-01,-1.5
2014-01-01,0.2
2015-01-01,-0.1
2016-01-01,-0.5
2017-01-01,-0.1
2018-01-01,0.4
2019-01-01,0.0
2020-01-01,-10.9
2021-01-01,-3.1
2022-01-01,0.6
2023-01-01,-0.2
2024-01-01,-2.1
2025-01-01,-1.8
2026-01-01,-2.7
2027-01-01,-2.5
2028-01-01,-2.2
2029-01-01,-2.0
2030-01-01,-1.7
2031-01-01,-1.5
