date,value
1980-01-01,44.6
1981-01-01,46.1
1982-01-01,51.7
1983-01-01,57.2
1984-01-01,60.2
1985-01-01,65.2
1986-01-01,69.3
1987-01-01,69.8
1988-01-01,69.7
1989-01-01,71.0
1990-01-01,73.7
1991-01-01,81.7
1992-01-01,88.2
1993-01-01,94.7
1994-01-01,97.5
1995-01-01,100.1
1996-01-01,100.2
1997-01-01,95.3
1998-01-01,93.3
1999-01-01,89.0
2000-01-01,80.4
2001-01-01,81.5
2002-01-01,79.6
2003-01-01,75.9
2004-01-01,71.9
2005-01-01,70.6
2006-01-01,69.9
2007-01-01,67.2
2008-01-01,70.4
2009-01-01,81.8
2010-01-01,84.0
2011-01-01,84.3
2012-01-01,87.0
2013-01-01,87.7
2014-01-01,85.8
2015-01-01,92.3
2016-01-01,92.5
2017-01-01,91.0
2018-01-01,90.8
2019-01-01,90.1
2020-01-01,118.1
2021-01-01,112.6
2022-01-01,103.5
2023-01-01,105.1
2024-01-01,110.0
2025-01-01,113.5
2026-01-01,110.7
2027-01-01,109.5
2028-01-01,108.1
2029-01-01,106.7
2030-01-01,105.2
2031-01-01,103.5
