date,value
2020-02-01,100.0
2020-02-02,99.93
2020-02-03,99.84
2020-02-04,99.65
2020-02-05,99.63
2020-02-06,99.63
2020-02-07,99.64
2020-02-08,99.74
2020-02-09,99.78
2020-02-10,99.79
2020-02-11,99.85
2020-02-12,99.9
2020-02-13,99.94
2020-02-14,99.96
2020-02-15,99.81
2020-02-16,99.83
2020-02-17,99.91
2020-02-18,99.91
2020-02-19,99.81
2020-02-20,99.82
2020-02-21,99.9
2020-02-22,99.88
2020-02-23,99.86
2020-02-24,99.82
2020-02-25,99.81
2020-02-26,99.92
2020-02-27,99.99
2020-02-28,99.94
2020-02-29,100.04
2020-03-01,100.12
2020-03-02,100.17
2020-03-03,100.24
2020-03-04,100.23
2020-03-05,100.17
2020-03-06,100.27
2020-03-07,100.11
2020-03-08,100.0
2020-03-09,99.84
2020-03-10,99.66
2020-03-11,99.51
2020-03-12,99.4
2020-03-13,99.1
2020-03-14,98.99
2020-03-15,98.66
2020-03-16,98.32
2020-03-17,97.73
2020-03-18,96.76
2020-03-19,95.35
2020-03-20,93.47
2020-03-21,91.06
2020-03-22,88.84
2020-03-23,86.49
2020-03-24,83.99
2020-03-25,81.65
2020-03-26,79.38
2020-03-27,77.1
2020-03-28,75.33
2020-03-29,73.36
2020-03-30,71.57
2020-03-31,70.18
2020-04-01,68.86
2020-04-02,67.67
2020-04-03,66.92
2020-04-04,65.92
2020-04-05,65.01
2020-04-06,64.07
2020-04-07,62.93
2020-04-08,61.92
2020-04-09,60.89
2020-04-10,59.86
2020-04-11,59.1
2020-04-12,58.32
2020-04-13,57.58
2020-04-14,56.98
2020-04-15,56.3
2020-04-16,55.71
2020-04-17,55.1
2020-04-18,54.5
2020-04-19,53.76
2020-04-20,53.36
2020-04-21,52.99
2020-04-22,52.62
2020-04-23,52.36
2020-04-24,52.22
2020-04-25,52.14
2020-04-26,52.3
2020-04-27,52.21
2020-04-28,52.16
2020-04-29,52.19
2020-04-30,52.29
2020-05-01,52.46
2020-05-02,52.6
2020-05-03,52.6
2020-05-04,52.71
2020-05-05,52.82
2020-05-06,52.79
2020-05-07,52.8
2020-05-08,52.84
2020-05-09,52.89
2020-05-10,53.06
2020-05-11,53.12
2020-05-12,53.29
2020-05-13,53.38
2020-05-14,53.37
2020-05-15,53.4
2020-05-16,53.33
2020-05-17,53.3
2020-05-18,53.28
2020-05-19,53.1
2020-05-20,53.28
2020-05-21,53.66
2020-05-22,53.98
2020-05-23,54.44
2020-05-24,54.75
2020-05-25,55.04
2020-05-26,55.43
2020-05-27,55.71
2020-05-28,55.86
2020-05-29,56.11
2020-05-30,56.52
2020-05-31,56.78
2020-06-01,57.11
2020-06-02,57.41
2020-06-03,57.8
2020-06-04,58.05
2020-06-05,58.27
2020-06-06,58.44
2020-06-07,58.8
2020-06-08,58.97
2020-06-09,59.16
2020-06-10,59.29
2020-06-11,59.52
2020-06-12,59.72
2020-06-13,59.67
2020-06-14,59.86
2020-06-15,60.24
2020-06-16,60.56
2020-06-17,60.94
2020-06-18,61.33
2020-06-19,61.67
2020-06-20,62.22
2020-06-21,62.59
2020-06-22,62.86
2020-06-23,63.12
2020-06-24,63.36
2020-06-25,63.58
2020-06-26,63.75
2020-06-27,64.01
2020-06-28,64.17
2020-06-29,64.26
2020-06-30,64.4
2020-07-01,64.5
2020-07-02,64.58
2020-07-03,64.75
2020-07-04,64.99
2020-07-05,65.13
2020-07-06,65.36
2020-07-07,65.66
2020-07-08,66.06
2020-07-09,66.46
2020-07-10,66.84
2020-07-11,67.02
2020-07-12,67.35
2020-07-13,67.65
2020-07-14,67.86
2020-07-15,67.98
2020-07-16,68.18
2020-07-17,68.34
2020-07-18,68.24
2020-07-19,68.41
2020-07-20,68.49
2020-07-21,68.64
2020-07-22,68.93
2020-07-23,69.06
2020-07-24,69.23
2020-07-25,69.72
2020-07-26,70.04
2020-07-27,70.48
2020-07-28,70.83
2020-07-29,71.06
