date,value
2013-01-01,3.0
2013-04-01,0.0
2013-07-01,1.0
2013-10-01,1.0
2014-01-01,4.0
2014-04-01,2.0
2014-07-01,2.0
2014-10-01,2.0
2015-01-01,3.0
2015-04-01,1.0
2015-07-01,5.0
2015-10-01,2.0
2016-01-01,6.0
2016-04-01,4.0
2016-07-01,1.0
2016-10-01,5.0
2017-01-01,2.0
2017-04-01,1.0
2017-07-01,2.0
2017-10-01,0.0
2018-01-01,3.0
2018-04-01,7.0
2018-07-01,6.0
2018-10-01,8.0
2019-01-01,3.0
2019-04-01,4.0
2019-07-01,1.0
2019-10-01,5.0
2020-01-01,2.0
2020-04-01,1.0
2020-07-01,11.0
2020-10-01,8.0
2021-01-01,13.0
2021-04-01,35.0
2021-07-01,45.0
2021-10-01,67.0
2022-01-01,70.0
2022-04-01,78.0
2022-07-01,77.0
2022-10-01,84.0
2023-01-01,79.0
2023-04-01,64.0
2023-07-01,53.0
2023-10-01,54.0
2024-01-01,40.0
2024-04-01,41.0
2024-07-01,15.0
2024-10-01,20.0
2025-01-01,23.0
2025-04-01,23.0
2025-07-01,18.0
2025-10-01,16.0
2026-01-01,11.0
