date,value
2014-10-01,2.91
2015-01-01,2.08
2015-04-01,2.51
2015-07-01,2.2
2015-10-01,2.18
2016-01-01,2.49
2016-04-01,2.09
2016-07-01,2.08
2016-10-01,2.54
2017-01-01,2.44
2017-04-01,2.2
2017-07-01,2.08
2017-10-01,2.23
2018-01-01,2.71
2018-04-01,2.89
2018-07-01,2.93
2018-10-01,2.54
2019-01-01,2.64
2019-04-01,2.57
2019-07-01,2.42
2019-10-01,2.23
2020-01-01,2.49
2020-04-01,2.75
2020-07-01,2.22
2020-10-01,2.86
2021-01-01,2.1
2021-04-01,3.07
2021-07-01,3.72
2021-10-01,4.88
2022-01-01,5.07
2022-04-01,6.82
2022-07-01,7.11
2022-10-01,7.18
2023-01-01,6.01
2023-04-01,5.09
2023-07-01,5.03
2023-10-01,4.92
2024-01-01,4.92
2024-04-01,4.09
2024-07-01,3.84
2024-10-01,3.05
2025-01-01,4.09
2025-04-01,4.04
2025-07-01,4.0
2025-10-01,4.1
2026-01-01,3.98
