date,value
2001-01-01,17.09
2001-02-01,17.17
2001-03-01,17.21
2001-04-01,17.31
2001-05-01,17.24
2001-06-01,17.13
2001-07-01,16.94
2001-08-01,16.99
2001-09-01,17.32
2001-10-01,17.33
2001-11-01,17.41
2001-12-01,17.5
2002-01-01,17.64
2002-02-01,17.69
2002-03-01,17.74
2002-04-01,17.77
2002-05-01,17.61
2002-06-01,17.56
2002-07-01,17.36
2002-08-01,17.43
2002-09-01,17.79
2002-10-01,17.76
2002-11-01,17.82
2002-12-01,17.81
2003-01-01,18.0
2003-02-01,18.05
2003-03-01,18.02
2003-04-01,18.03
2003-05-01,17.98
2003-06-01,17.8
2003-07-01,17.75
2003-08-01,17.85
2003-09-01,18.26
2003-10-01,18.26
2003-11-01,18.26
2003-12-01,18.32
2004-01-01,18.5
2004-02-01,18.53
2004-03-01,18.52
2004-04-01,18.56
2004-05-01,18.46
2004-06-01,18.39
2004-07-01,18.19
2004-08-01,18.22
2004-09-01,18.59
2004-10-01,18.61
2004-11-01,18.71
2004-12-01,18.74
2005-01-01,19.02
2005-02-01,18.98
2005-03-01,19.05
2005-04-01,19.09
2005-05-01,18.87
2005-06-01,18.89
2005-07-01,18.76
2005-08-01,18.88
2005-09-01,19.3
2005-10-01,19.33
2005-11-01,19.45
2005-12-01,19.45
2006-01-01,19.81
2006-02-01,19.88
2006-03-01,20.05
2006-04-01,20.15
2006-05-01,19.99
2006-06-01,19.94
2006-07-01,19.89
2006-08-01,20.07
2006-09-01,20.42
2006-10-01,20.55
2006-11-01,20.61
2006-12-01,20.55
2007-01-01,20.7
2007-02-01,20.7
2007-03-01,20.75
2007-04-01,20.81
2007-05-01,20.8
2007-06-01,20.8
2007-07-01,20.75
2007-08-01,20.93
2007-09-01,21.38
2007-10-01,21.4
2007-11-01,21.43
2007-12-01,21.4
2008-01-01,21.58
2008-02-01,21.6
2008-03-01,21.56
2008-04-01,21.69
2008-05-01,21.7
2008-06-01,21.68
2008-07-01,21.55
2008-08-01,21.64
2008-09-01,22.19
2008-10-01,22.22
2008-11-01,22.38
2008-12-01,22.44
2009-01-01,22.67
2009-02-01,22.5
2009-03-01,22.59
2009-04-01,22.61
2009-05-01,22.46
2009-06-01,22.37
2009-07-01,22.25
2009-08-01,22.38
2009-09-01,22.89
2009-10-01,22.99
2009-11-01,22.88
2009-12-01,22.99
2010-01-01,23.16
2010-02-01,23.12
2010-03-01,23.16
2010-04-01,23.12
2010-05-01,22.97
2010-06-01,22.88
2010-07-01,22.73
2010-08-01,22.77
2010-09-01,23.23
2010-10-01,23.24
2010-11-01,23.41
2010-12-01,23.36
2011-01-01,23.58
2011-02-01,23.6
2011-03-01,23.68
2011-04-01,23.66
2011-05-01,23.48
2011-06-01,23.38
2011-07-01,23.18
2011-08-01,23.31
2011-09-01,23.71
2011-10-01,23.79
2011-11-01,23.89
2011-12-01,23.94
2012-01-01,24.08
2012-02-01,24.07
2012-03-01,24.12
2012-04-01,24.14
2012-05-01,24.08
2012-06-01,24.07
2012-07-01,23.91
2012-08-01,24.11
2012-09-01,24.46
2012-10-01,24.53
2012-11-01,24.49
2012-12-01,24.49
2013-01-01,24.64
2013-02-01,24.65
2013-03-01,24.78
2013-04-01,24.91
2013-05-01,24.69
2013-06-01,24.5
2013-07-01,24.4
2013-08-01,24.46
2013-09-01,24.87
2013-10-01,24.95
2013-11-01,25.08
2013-12-01,25.06
2014-01-01,25.12
2014-02-01,25.15
2014-03-01,25.18
2014-04-01,25.19
2014-05-01,24.99
2014-06-01,24.96
2014-07-01,24.79
2014-08-01,24.93
2014-09-01,25.46
2014-10-01,25.42
2014-11-01,25.47
2014-12-01,25.5
2015-01-01,25.65
2015-02-01,25.62
2015-03-01,25.66
2015-04-01,25.82
2015-05-01,25.68
2015-06-01,25.71
2015-07-01,25.69
2015-08-01,25.71
2015-09-01,26.13
2015-10-01,26.19
2015-11-01,26.28
2015-12-01,26.25
2016-01-01,26.4
2016-02-01,26.44
2016-03-01,26.51
2016-04-01,26.55
2016-05-01,26.21
2016-06-01,26.12
2016-07-01,26.06
2016-08-01,26.12
2016-09-01,26.52
2016-10-01,26.58
2016-11-01,26.64
2016-12-01,26.61
2017-01-01,26.67
2017-02-01,26.76
2017-03-01,26.81
2017-04-01,26.75
2017-05-01,26.55
2017-06-01,26.56
2017-07-01,26.48
2017-08-01,26.65
2017-09-01,27.06
2017-10-01,27.08
2017-11-01,27.16
2017-12-01,27.24
2018-01-01,27.49
2018-02-01,27.56
2018-03-01,27.56
2018-04-01,27.59
2018-05-01,27.46
2018-06-01,27.4
2018-07-01,27.24
2018-08-01,27.22
2018-09-01,27.68
2018-10-01,27.78
2018-11-01,27.82
2018-12-01,27.9
2019-01-01,28.12
2019-02-01,28.16
2019-03-01,28.13
2019-04-01,28.18
2019-05-01,28.11
2019-06-01,28.26
2019-07-01,28.13
2019-08-01,28.1
2019-09-01,28.62
2019-10-01,28.66
2019-11-01,28.66
2019-12-01,28.64
2020-01-01,28.95
2020-02-01,29.09
2020-03-01,29.88
2020-04-01,31.14
2020-05-01,30.97
2020-06-01,30.29
2020-07-01,29.96
2020-08-01,29.88
2020-09-01,30.06
2020-10-01,30.26
2020-11-01,30.14
2020-12-01,30.2
2021-01-01,30.75
2021-02-01,30.64
2021-03-01,30.49
2021-04-01,30.74
2021-05-01,30.55
2021-06-01,30.31
2021-07-01,30.36
2021-08-01,30.45
2021-09-01,30.88
2021-10-01,30.88
2021-11-01,30.95
2021-12-01,31.2
2022-01-01,31.62
2022-02-01,31.48
2022-03-01,31.45
2022-04-01,31.74
2022-05-01,31.65
2022-06-01,31.8
2022-07-01,31.66
2022-08-01,31.93
2022-09-01,32.39
2022-10-01,32.53
2022-11-01,32.72
2022-12-01,32.68
2023-01-01,33.03
2023-02-01,33.17
2023-03-01,33.13
2023-04-01,33.37
2023-05-01,33.26
2023-06-01,33.13
2023-07-01,33.25
2023-08-01,33.5
2023-09-01,34.03
2023-10-01,34.1
2023-11-01,34.29
2023-12-01,34.46
2024-01-01,34.76
2024-02-01,34.82
2024-03-01,34.81
2024-04-01,34.93
2024-05-01,34.94
2024-06-01,34.91
2024-07-01,34.99
2024-08-01,35.19
2024-09-01,35.61
2024-10-01,35.79
2024-11-01,35.73
2024-12-01,35.83
2025-01-01,35.99
2025-02-01,36.14
2025-03-01,36.05
2025-04-01,36.13
2025-05-01,36.14
2025-06-01,36.01
2025-07-01,36.16
2025-08-01,36.31
2025-09-01,36.78
2025-10-01,37.06
2025-11-01,37.0
2025-12-01,37.06
2026-01-01,37.17
2026-02-01,37.56
2026-03-01,37.73
2026-04-01,37.77
