date,value
2001-01-01,17.55
2001-02-01,17.6
2001-03-01,17.66
2001-04-01,17.8
2001-05-01,17.88
2001-06-01,17.86
2001-07-01,17.82
2001-08-01,17.84
2001-09-01,17.88
2001-10-01,17.86
2001-11-01,17.91
2001-12-01,18.01
2002-01-01,18.13
2002-02-01,18.18
2002-03-01,18.23
2002-04-01,18.29
2002-05-01,18.26
2002-06-01,18.3
2002-07-01,18.26
2002-08-01,18.33
2002-09-01,18.35
2002-10-01,18.31
2002-11-01,18.32
2002-12-01,18.32
2003-01-01,18.45
2003-02-01,18.5
2003-03-01,18.48
2003-04-01,18.48
2003-05-01,18.56
2003-06-01,18.51
2003-07-01,18.62
2003-08-01,18.72
2003-09-01,18.84
2003-10-01,18.8
2003-11-01,18.74
2003-12-01,18.81
2004-01-01,18.97
2004-02-01,18.99
2004-03-01,18.98
2004-04-01,19.03
2004-05-01,19.09
2004-06-01,19.14
2004-07-01,19.09
2004-08-01,19.11
2004-09-01,19.2
2004-10-01,19.19
2004-11-01,19.31
2004-12-01,19.32
2005-01-01,19.54
2005-02-01,19.47
2005-03-01,19.59
2005-04-01,19.62
2005-05-01,19.53
2005-06-01,19.68
2005-07-01,19.67
2005-08-01,19.78
2005-09-01,19.89
2005-10-01,19.91
2005-11-01,20.0
2005-12-01,20.03
2006-01-01,20.29
2006-02-01,20.35
2006-03-01,20.53
2006-04-01,20.7
2006-05-01,20.69
2006-06-01,20.77
2006-07-01,20.88
2006-08-01,21.07
2006-09-01,21.07
2006-10-01,21.13
2006-11-01,21.16
2006-12-01,21.07
2007-01-01,21.2
2007-02-01,21.23
2007-03-01,21.24
2007-04-01,21.34
2007-05-01,21.51
2007-06-01,21.62
2007-07-01,21.78
2007-08-01,21.94
2007-09-01,22.03
2007-10-01,22.02
2007-11-01,21.95
2007-12-01,21.95
2008-01-01,22.02
2008-02-01,22.08
2008-03-01,22.03
2008-04-01,22.2
2008-05-01,22.4
2008-06-01,22.51
2008-07-01,22.55
2008-08-01,22.6
2008-09-01,22.89
2008-10-01,22.9
2008-11-01,22.96
2008-12-01,23.05
2009-01-01,23.14
2009-02-01,22.99
2009-03-01,23.07
2009-04-01,23.15
2009-05-01,23.16
2009-06-01,23.25
2009-07-01,23.29
2009-08-01,23.41
2009-09-01,23.55
2009-10-01,23.61
2009-11-01,23.48
2009-12-01,23.57
2010-01-01,23.73
2010-02-01,23.66
2010-03-01,23.73
2010-04-01,23.76
2010-05-01,23.74
2010-06-01,23.78
2010-07-01,23.85
2010-08-01,23.81
2010-09-01,23.9
2010-10-01,23.82
2010-11-01,23.99
2010-12-01,23.95
2011-01-01,24.12
2011-02-01,24.15
2011-03-01,24.25
2011-04-01,24.28
2011-05-01,24.32
2011-06-01,24.34
2011-07-01,24.25
2011-08-01,24.39
2011-09-01,24.45
2011-10-01,24.47
2011-11-01,24.54
2011-12-01,24.57
2012-01-01,24.66
2012-02-01,24.65
2012-03-01,24.72
2012-04-01,24.8
2012-05-01,24.93
2012-06-01,25.0
2012-07-01,25.12
2012-08-01,25.23
2012-09-01,25.23
2012-10-01,25.24
2012-11-01,25.15
2012-12-01,25.19
2013-01-01,25.25
2013-02-01,25.24
2013-03-01,25.37
2013-04-01,25.53
2013-05-01,25.49
2013-06-01,25.45
2013-07-01,25.55
2013-08-01,25.58
2013-09-01,25.66
2013-10-01,25.63
2013-11-01,25.72
2013-12-01,25.7
2014-01-01,25.76
2014-02-01,25.83
2014-03-01,25.85
2014-04-01,25.83
2014-05-01,25.84
2014-06-01,25.93
2014-07-01,25.9
2014-08-01,26.0
2014-09-01,26.23
2014-10-01,26.17
2014-11-01,26.17
2014-12-01,26.22
2015-01-01,26.35
2015-02-01,26.28
2015-03-01,26.34
2015-04-01,26.51
2015-05-01,26.55
2015-06-01,26.73
2015-07-01,26.89
2015-08-01,26.87
2015-09-01,26.86
2015-10-01,26.95
2015-11-01,27.0
2015-12-01,26.98
2016-01-01,27.06
2016-02-01,27.13
2016-03-01,27.21
2016-04-01,27.29
2016-05-01,27.15
2016-06-01,27.22
2016-07-01,27.24
2016-08-01,27.25
2016-09-01,27.29
2016-10-01,27.34
2016-11-01,27.36
2016-12-01,27.3
2017-01-01,27.31
2017-02-01,27.37
2017-03-01,27.48
2017-04-01,27.47
2017-05-01,27.47
2017-06-01,27.6
2017-07-01,27.71
2017-08-01,27.89
2017-09-01,27.86
2017-10-01,27.88
2017-11-01,27.92
2017-12-01,28.05
2018-01-01,28.19
2018-02-01,28.22
2018-03-01,28.27
2018-04-01,28.28
2018-05-01,28.42
2018-06-01,28.43
2018-07-01,28.42
2018-08-01,28.38
2018-09-01,28.49
2018-10-01,28.52
2018-11-01,28.5
2018-12-01,28.56
2019-01-01,28.72
2019-02-01,28.81
2019-03-01,28.74
2019-04-01,28.83
2019-05-01,28.98
2019-06-01,29.27
2019-07-01,29.34
2019-08-01,29.3
2019-09-01,29.4
2019-10-01,29.39
2019-11-01,29.36
2019-12-01,29.35
2020-01-01,29.61
2020-02-01,29.86
2020-03-01,30.54
2020-04-01,31.76
2020-05-01,31.76
2020-06-01,31.21
2020-07-01,31.04
2020-08-01,30.98
2020-09-01,30.85
2020-10-01,31.01
2020-11-01,30.83
2020-12-01,30.89
2021-01-01,31.35
2021-02-01,31.26
2021-03-01,31.12
2021-04-01,31.41
2021-05-01,31.36
2021-06-01,31.31
2021-07-01,31.54
2021-08-01,31.55
2021-09-01,31.68
2021-10-01,31.68
2021-11-01,31.76
2021-12-01,31.96
2022-01-01,32.3
2022-02-01,32.15
2022-03-01,32.21
2022-04-01,32.46
2022-05-01,32.6
2022-06-01,32.92
2022-07-01,32.9
2022-08-01,33.09
2022-09-01,33.23
2022-10-01,33.34
2022-11-01,33.47
2022-12-01,33.45
2023-01-01,33.73
2023-02-01,33.87
2023-03-01,33.87
2023-04-01,34.13
2023-05-01,34.24
2023-06-01,34.19
2023-07-01,34.55
2023-08-01,34.8
2023-09-01,34.98
2023-10-01,35.02
2023-11-01,35.15
2023-12-01,35.33
2024-01-01,35.52
2024-02-01,35.53
2024-03-01,35.57
2024-04-01,35.75
2024-05-01,36.0
2024-06-01,36.08
2024-07-01,36.37
2024-08-01,36.5
2024-09-01,36.55
2024-10-01,36.74
2024-11-01,36.56
2024-12-01,36.68
2025-01-01,36.83
2025-02-01,36.94
2025-03-01,36.8
2025-04-01,37.0
2025-05-01,37.27
2025-06-01,37.22
2025-07-01,37.66
2025-08-01,37.81
2025-09-01,37.87
2025-10-01,38.2
2025-11-01,38.01
2025-12-01,38.02
2026-01-01,38.06
2026-02-01,38.49
2026-03-01,38.69
