date,value
1946-01-01,73273.0
1946-04-01,86530.0
1946-07-01,88465.0
1946-10-01,83203.0
1947-01-01,89319.0
1947-04-01,96722.0
1947-07-01,91900.0
1947-10-01,82002.0
1948-01-01,85176.0
1948-04-01,89996.0
1948-07-01,90676.0
1948-10-01,82378.0
1949-01-01,87976.0
1949-04-01,96444.0
1949-07-01,95731.0
1949-10-01,86941.0
1950-01-01,88890.0
1950-04-01,97014.0
1950-07-01,97311.0
1950-10-01,88794.0
1951-01-01,91739.0
1951-04-01,101404.0
1951-07-01,99029.0
1951-10-01,88920.0
1952-01-01,96804.0
1952-04-01,105616.0
1952-07-01,104700.0
1952-10-01,96439.0
1953-01-01,99549.0
1953-04-01,107886.0
1953-07-01,108888.0
1953-10-01,101561.0
1954-01-01,105338.0
1954-04-01,112916.0
1954-07-01,112845.0
1954-10-01,105099.0
1955-01-01,107963.0
1955-04-01,116024.0
1955-07-01,113204.0
1955-10-01,105746.0
1956-01-01,108574.0
1956-04-01,114498.0
1956-07-01,117992.0
1956-10-01,109675.0
1957-01-01,111143.0
1957-04-01,123887.0
1957-07-01,121039.0
1957-10-01,113024.0
1958-01-01,113769.0
1958-04-01,122148.0
1958-07-01,118500.0
1958-10-01,115701.0
1959-01-01,117067.0
1959-04-01,123930.0
1959-07-01,123674.0
1959-10-01,114604.0
1960-01-01,114856.0
1960-04-01,123188.0
1960-07-01,125397.0
1960-10-01,115110.0
1961-01-01,116011.0
1961-04-01,122901.0
1961-07-01,122037.0
1961-10-01,114751.0
1962-01-01,113641.0
1962-04-01,120641.0
1962-07-01,122008.0
1962-10-01,113403.0
1963-01-01,113861.0
1963-04-01,122139.0
1963-07-01,120043.0
1963-10-01,109724.0
1964-01-01,111315.0
1964-04-01,118283.0
1964-07-01,116250.0
1964-10-01,107067.0
1965-01-01,105247.0
1965-04-01,110285.0
1965-07-01,106970.0
1965-10-01,96093.0
1966-01-01,95717.0
1966-04-01,102192.0
1966-07-01,98726.0
1966-10-01,91075.0
1967-01-01,90988.0
1967-04-01,97962.0
1967-07-01,94611.0
1967-10-01,87333.0
1968-01-01,89091.0
1968-04-01,95423.0
1968-07-01,93622.0
1968-10-01,86174.0
1969-01-01,89765.0
1969-04-01,96561.0
1969-07-01,95002.0
1969-10-01,88319.0
1970-01-01,89932.0
1970-04-01,96831.0
1970-07-01,94840.0
1970-10-01,90385.0
1971-01-01,92879.0
1971-04-01,93710.0
1971-07-01,90942.0
1971-10-01,84656.0
1972-01-01,86630.0
1972-04-01,89028.0
1972-07-01,87974.0
1972-10-01,83687.0
1973-01-01,84829.0
1973-04-01,89325.0
1973-07-01,87774.0
1973-10-01,81445.0
1974-01-01,84685.0
1974-04-01,88542.0
1974-07-01,91558.0
1974-10-01,85865.0
1975-01-01,86619.0
1975-04-01,91918.0
1975-07-01,93748.0
1975-10-01,87038.0
1976-01-01,89911.0
1976-04-01,93581.0
1976-07-01,89854.0
1976-10-01,86641.0
1977-01-01,88901.0
1977-04-01,92454.0
1977-07-01,92294.0
1977-10-01,87751.0
1978-01-01,87525.0
1978-04-01,92223.0
1978-07-01,91320.0
1978-10-01,87784.0
1979-01-01,88709.0
1979-04-01,94619.0
1979-07-01,94136.0
1979-10-01,88600.0
1980-01-01,90200.0
1980-04-01,94350.0
1980-07-01,96053.0
1980-10-01,90106.0
1981-01-01,90121.0
1981-04-01,95859.0
1981-07-01,96005.0
1981-10-01,89361.0
1982-01-01,90917.0
1982-04-01,96189.0
1982-07-01,96073.0
1982-10-01,89903.0
1983-01-01,90272.0
1983-04-01,97346.0
1983-07-01,95476.0
1983-10-01,90595.0
1984-01-01,91429.0
1984-04-01,97033.0
1984-07-01,98012.0
1984-10-01,90557.0
1985-01-01,90060.0
1985-04-01,97636.0
1985-07-01,97339.0
1985-10-01,90692.0
1986-01-01,89502.0
1986-04-01,97848.0
1986-07-01,96335.0
1986-10-01,89228.0
1987-01-01,89268.0
1987-04-01,98191.0
1987-07-01,94213.0
1987-10-01,88070.0
1988-01-01,90096.0
1988-04-01,97654.0
1988-07-01,98024.0
1988-10-01,91021.0
1989-01-01,92978.0
1989-04-01,102012.0
1989-07-01,102100.0
1989-10-01,95571.0
1990-01-01,98530.0
1990-04-01,107079.0
1990-07-01,104624.0
1990-10-01,95253.0
1991-01-01,97191.0
1991-04-01,105861.0
1991-07-01,103809.0
1991-10-01,95672.0
1992-01-01,98480.0
1992-04-01,105146.0
1992-07-01,101832.0
1992-10-01,93185.0
1993-01-01,94801.0
1993-04-01,102363.0
1993-07-01,99855.0
1993-10-01,91375.0
1994-01-01,93553.0
1994-04-01,101376.0
1994-07-01,99235.0
1994-10-01,90950.0
1995-01-01,92452.0
1995-04-01,99361.0
1995-07-01,98615.0
1995-10-01,87588.0
1996-01-01,90013.0
1996-04-01,96237.0
1996-07-01,94640.0
1996-10-01,85310.0
1997-01-01,84968.0
1997-04-01,92395.0
1997-07-01,89500.0
1997-10-01,81735.0
1998-01-01,83424.0
1998-04-01,90464.0
1998-07-01,88881.0
1998-10-01,79649.0
1999-01-01,81890.0
1999-04-01,87875.0
1999-07-01,87772.0
1999-10-01,79712.0
2000-01-01,82627.0
2000-04-01,86801.0
2000-07-01,83173.0
2000-10-01,75281.0
2001-01-01,81531.0
2001-04-01,87502.0
2001-07-01,86370.0
2001-10-01,79212.0
2002-01-01,79568.0
2002-04-01,83981.0
2002-07-01,86894.0
2002-10-01,79451.0
2003-01-01,79538.0
2003-04-01,85757.0
2003-07-01,89155.0
2003-10-01,81902.0
2004-01-01,82001.0
2004-04-01,86293.0
2004-07-01,88500.0
2004-10-01,82218.0
2005-01-01,81964.0
2005-04-01,89151.0
2005-07-01,91215.0
2005-10-01,83035.0
2006-01-01,84300.0
2006-04-01,90612.0
2006-07-01,95192.0
2006-10-01,87817.0
2007-01-01,86948.0
2007-04-01,93978.0
2007-07-01,98105.0
2007-10-01,91338.0
2008-01-01,91106.0
2008-04-01,96443.0
2008-07-01,101562.0
2008-10-01,92749.0
2009-01-01,91477.0
2009-04-01,97469.0
2009-07-01,102286.0
2009-10-01,93419.0
2010-01-01,90816.0
2010-04-01,95638.0
2010-07-01,99346.0
2010-10-01,93391.0
2011-01-01,89913.0
2011-04-01,96015.0
2011-07-01,101069.0
2011-10-01,92247.0
2012-01-01,91423.0
2012-04-01,95596.0
2012-07-01,101531.0
2012-10-01,94551.0
2013-01-01,91023.0
2013-04-01,95504.0
2013-07-01,101045.0
2013-10-01,93482.0
2014-01-01,91526.0
2014-04-01,96824.0
2014-07-01,102614.0
2014-10-01,93613.0
2015-01-01,90789.0
2015-04-01,96823.0
2015-07-01,101906.0
2015-10-01,93461.0
2016-01-01,92152.0
2016-04-01,96781.0
2016-07-01,102755.0
2016-10-01,92335.0
2017-01-01,90121.0
2017-04-01,95343.0
2017-07-01,100344.0
2017-10-01,92278.0
2018-01-01,89421.0
2018-04-01,95120.0
2018-07-01,99399.0
2018-10-01,91088.0
2019-01-01,88444.0
2019-04-01,94376.0
2019-07-01,99977.0
2019-10-01,90632.0
2020-01-01,88757.0
2020-04-01,91955.0
2020-07-01,95041.0
2020-10-01,85461.0
2021-01-01,87019.0
2021-04-01,95042.0
2021-07-01,99851.0
2021-10-01,90715.0
2022-01-01,84224.0
2022-04-01,89659.0
2022-07-01,94429.0
2022-10-01,86902.0
2023-01-01,82955.0
2023-04-01,88390.0
2023-07-01,92975.0
2023-10-01,88916.0
2024-01-01,88013.0
2024-04-01,91866.0
2024-07-01,96027.0
2024-10-01,89836.0
2025-01-01,89945.0
2025-04-01,93120.0
2025-07-01,98137.0
2025-10-01,90171.0
