date,value
1946-01-01,31629.0
1946-04-01,28938.0
1946-07-01,26021.0
1946-10-01,28770.0
1947-01-01,30985.0
1947-04-01,30269.0
1947-07-01,27229.0
1947-10-01,29674.0
1948-01-01,32815.0
1948-04-01,30588.0
1948-07-01,27530.0
1948-10-01,28933.0
1949-01-01,32764.0
1949-04-01,32154.0
1949-07-01,28759.0
1949-10-01,30890.0
1950-01-01,33059.0
1950-04-01,31826.0
1950-07-01,28765.0
1950-10-01,30570.0
1951-01-01,36129.0
1951-04-01,30125.0
1951-07-01,28371.0
1951-10-01,31198.0
1952-01-01,32694.0
1952-04-01,31895.0
1952-07-01,29616.0
1952-10-01,32180.0
1953-01-01,34469.0
1953-04-01,31840.0
1953-07-01,29944.0
1953-10-01,31538.0
1954-01-01,31854.0
1954-04-01,31612.0
1954-07-01,29363.0
1954-10-01,32026.0
1955-01-01,33115.0
1955-04-01,32392.0
1955-07-01,30465.0
1955-10-01,32504.0
1956-01-01,33793.0
1956-04-01,33181.0
1956-07-01,31110.0
1956-10-01,33877.0
1957-01-01,33914.0
1957-04-01,33219.0
1957-07-01,32084.0
1957-10-01,37362.0
1958-01-01,34625.0
1958-04-01,33694.0
1958-07-01,32158.0
1958-10-01,34724.0
1959-01-01,36130.0
1959-04-01,36276.0
1959-07-01,32808.0
1959-10-01,34699.0
1960-01-01,36028.0
1960-04-01,34660.0
1960-07-01,33206.0
1960-10-01,35799.0
1961-01-01,35912.0
1961-04-01,35642.0
1961-07-01,33553.0
1961-10-01,35878.0
1962-01-01,37534.0
1962-04-01,35955.0
1962-07-01,33970.0
1962-10-01,36240.0
1963-01-01,39054.0
1963-04-01,36763.0
1963-07-01,34670.0
1963-10-01,36880.0
1964-01-01,36724.0
1964-04-01,35845.0
1964-07-01,35550.0
1964-10-01,37731.0
1965-01-01,38200.0
1965-04-01,36530.0
1965-07-01,35926.0
1965-10-01,38283.0
1966-01-01,38189.0
1966-04-01,38463.0
1966-07-01,35675.0
1966-10-01,37536.0
1967-01-01,37305.0
1967-04-01,37343.0
1967-07-01,36809.0
1967-10-01,38826.0
1968-01-01,40802.0
1968-04-01,37435.0
1968-07-01,36729.0
1968-10-01,38230.0
1969-01-01,40175.0
1969-04-01,38164.0
1969-07-01,37290.0
1969-10-01,38848.0
1970-01-01,41197.0
1970-04-01,37790.0
1970-07-01,37729.0
1970-10-01,39245.0
1971-01-01,40731.0
1971-04-01,38527.0
1971-07-01,37697.0
1971-10-01,40317.0
1972-01-01,42608.0
1972-04-01,38911.0
1972-07-01,39488.0
1972-10-01,41406.0
1973-01-01,42222.0
1973-04-01,39502.0
1973-07-01,41077.0
1973-10-01,41238.0
1974-01-01,41885.0
1974-04-01,42084.0
1974-07-01,40445.0
1974-10-01,42380.0
1975-01-01,45680.0
1975-04-01,40246.0
1975-07-01,40230.0
1975-10-01,41020.0
1976-01-01,45033.0
1976-04-01,40145.0
1976-07-01,39596.0
1976-10-01,42235.0
1977-01-01,42383.0
1977-04-01,41533.0
1977-07-01,40064.0
1977-10-01,43518.0
1978-01-01,44779.0
1978-04-01,40669.0
1978-07-01,40302.0
1978-10-01,42429.0
1979-01-01,42251.0
1979-04-01,40823.0
1979-07-01,41432.0
1979-10-01,43677.0
1980-01-01,44839.0
1980-04-01,41512.0
1980-07-01,41154.0
1980-10-01,43968.0
1981-01-01,43651.0
1981-04-01,41762.0
1981-07-01,41624.0
1981-10-01,43992.0
1982-01-01,43955.0
1982-04-01,42781.0
1982-07-01,42045.0
1982-10-01,45632.0
1983-01-01,45676.0
1983-04-01,43169.0
1983-07-01,41397.0
1983-10-01,44242.0
1984-01-01,44855.0
1984-04-01,43665.0
1984-07-01,42473.0
1984-10-01,44734.0
1985-01-01,47473.0
1985-04-01,44405.0
1985-07-01,42895.0
1985-10-01,46550.0
1986-01-01,49461.0
1986-04-01,44447.0
1986-07-01,43679.0
1986-10-01,46637.0
1987-01-01,46987.0
1987-04-01,45296.0
1987-07-01,45426.0
1987-10-01,47244.0
1988-01-01,50833.0
1988-04-01,46414.0
1988-07-01,45503.0
1988-10-01,47261.0
1989-01-01,49096.0
1989-04-01,46548.0
1989-07-01,45320.0
1989-10-01,50001.0
1990-01-01,50625.0
1990-04-01,46662.0
1990-07-01,46012.0
1990-10-01,48674.0
1991-01-01,49928.0
1991-04-01,47825.0
1991-07-01,46329.0
1991-10-01,51487.0
1992-01-01,51436.0
1992-04-01,47715.0
1992-07-01,46890.0
1992-10-01,50494.0
1993-01-01,54204.0
1993-04-01,50220.0
1993-07-01,48135.0
1993-10-01,52353.0
1994-01-01,55849.0
1994-04-01,50127.0
1994-07-01,48607.0
1994-10-01,52494.0
1995-01-01,56323.0
1995-04-01,51965.0
1995-07-01,49219.0
1995-10-01,53226.0
1996-01-01,55962.0
1996-04-01,51359.0
1996-07-01,49897.0
1996-10-01,55662.0
1997-01-01,59109.0
1997-04-01,52553.0
1997-07-01,49686.0
1997-10-01,54321.0
1998-01-01,61737.0
1998-04-01,51944.0
1998-07-01,49947.0
1998-10-01,54463.0
1999-01-01,61232.0
1999-04-01,51990.0
1999-07-01,50205.0
1999-10-01,56103.0
2000-01-01,59012.0
2000-04-01,51909.0
2000-07-01,51192.0
2000-10-01,55949.0
2001-01-01,58076.0
2001-04-01,54103.0
2001-07-01,52237.0
2001-10-01,55534.0
2002-01-01,58866.0
2002-04-01,54210.0
2002-07-01,53558.0
2002-10-01,57369.0
2003-01-01,58436.0
2003-04-01,54891.0
2003-07-01,53505.0
2003-10-01,59753.0
2004-01-01,61106.0
2004-04-01,54892.0
2004-07-01,52837.0
2004-10-01,57996.0
2005-01-01,63195.0
2005-04-01,56183.0
2005-07-01,53569.0
2005-10-01,57614.0
2006-01-01,58936.0
2006-04-01,55796.0
2006-07-01,54329.0
2006-10-01,59472.0
2007-01-01,63508.0
2007-04-01,56884.0
2007-07-01,55089.0
2007-10-01,59941.0
2008-01-01,62898.0
2008-04-01,58768.0
2008-07-01,55686.0
2008-10-01,61383.0
2009-01-01,62679.0
2009-04-01,58148.0
2009-07-01,55959.0
2009-10-01,61870.0
2010-01-01,61206.0
2010-04-01,58295.0
2010-07-01,57782.0
2010-10-01,62970.0
2011-01-01,65348.0
2011-04-01,59567.0
2011-07-01,57272.0
2011-10-01,61518.0
2012-01-01,64103.0
2012-04-01,59776.0
2012-07-01,58418.0
2012-10-01,64598.0
2013-01-01,68169.0
2013-04-01,60680.0
2013-07-01,59027.0
2013-10-01,64547.0
2014-01-01,66905.0
2014-04-01,62643.0
2014-07-01,60902.0
2014-10-01,68449.0
2015-01-01,73200.0
2015-04-01,63762.0
2015-07-01,61009.0
2015-10-01,66554.0
2016-01-01,69974.0
2016-04-01,64741.0
2016-07-01,62973.0
2016-10-01,69876.0
2017-01-01,75303.0
2017-04-01,66365.0
2017-07-01,64953.0
2017-10-01,71936.0
2018-01-01,78450.0
2018-04-01,68600.0
2018-07-01,66304.0
2018-10-01,72600.0
2019-01-01,74728.0
2019-04-01,69516.0
2019-07-01,67055.0
2019-10-01,74285.0
2020-01-01,76920.0
2020-04-01,78935.0
2020-07-01,70848.0
2020-10-01,81988.0
2021-01-01,80046.0
2021-04-01,74415.0
2021-07-01,75225.0
2021-10-01,83161.0
2022-01-01,88170.0
2022-04-01,78323.0
2022-07-01,79909.0
2022-10-01,90616.0
2023-01-01,84042.0
2023-04-01,77882.0
2023-07-01,77102.0
2023-10-01,87856.0
2024-01-01,86544.0
2024-04-01,78994.0
2024-07-01,78582.0
2024-10-01,87439.0
2025-01-01,88962.0
2025-04-01,79716.0
2025-07-01,80537.0
2025-10-01,90952.0
2026-01-01,90328.0
