date,value
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,
1951-01-01,
1951-04-01,
1951-07-01,13637.0
1951-10-01,13637.0
1952-01-01,13637.0
1952-04-01,14685.0
1952-07-01,16563.0
1952-10-01,15674.0
1953-01-01,12550.0
1953-04-01,13093.0
1953-07-01,16152.0
1953-10-01,16180.0
1954-01-01,12025.0
1954-04-01,13332.0
1954-07-01,16274.0
1954-10-01,15519.0
1955-01-01,12047.0
1955-04-01,13467.0
1955-07-01,19361.0
1955-10-01,17018.0
1956-01-01,14158.0
1956-04-01,17577.0
1956-07-01,19156.0
1956-10-01,17862.0
1957-01-01,15429.0
1957-04-01,16855.0
1957-07-01,21296.0
1957-10-01,20803.0
1958-01-01,12965.0
1958-04-01,14888.0
1958-07-01,17630.0
1958-10-01,16198.0
1959-01-01,12472.0
1959-04-01,15133.0
1959-07-01,21568.0
1959-10-01,20016.0
1960-01-01,15151.0
1960-04-01,17599.0
1960-07-01,22224.0
1960-10-01,20622.0
1961-01-01,13984.0
1961-04-01,17075.0
1961-07-01,21561.0
1961-10-01,19685.0
1962-01-01,15506.0
1962-04-01,16983.0
1962-07-01,22683.0
1962-10-01,21568.0
1963-01-01,17259.0
1963-04-01,18687.0
1963-07-01,24446.0
1963-10-01,23171.0
1964-01-01,18755.0
1964-04-01,20659.0
1964-07-01,28201.0
1964-10-01,24815.0
1965-01-01,21039.0
1965-04-01,23297.0
1965-07-01,32175.0
1965-10-01,28796.0
1966-01-01,15677.0
1966-04-01,17631.0
1966-07-01,30120.0
1966-10-01,28061.0
1967-01-01,22833.0
1967-04-01,24281.0
1967-07-01,32408.0
1967-10-01,28940.0
1968-01-01,24798.0
1968-04-01,26187.0
1968-07-01,26071.0
1968-10-01,22980.0
1969-01-01,19892.0
1969-04-01,21295.0
1969-07-01,26342.0
1969-10-01,22560.0
1970-01-01,17651.0
1970-04-01,19336.0
1970-07-01,24273.0
1970-10-01,19701.0
1971-01-01,16594.0
1971-04-01,16951.0
1971-07-01,19835.0
1971-10-01,16717.0
1972-01-01,14340.0
1972-04-01,15142.0
1972-07-01,19340.0
1972-10-01,14416.0
1973-01-01,13454.0
1973-04-01,16640.0
1973-07-01,26364.0
1973-10-01,22025.0
1974-01-01,16430.0
1974-04-01,18682.0
1974-07-01,22047.0
1974-10-01,20890.0
1975-01-01,17989.0
1975-04-01,17095.0
1975-07-01,19095.0
1975-10-01,16537.0
1976-01-01,14250.0
1976-04-01,16832.0
1976-07-01,18803.0
1976-10-01,14478.0
1977-01-01,10827.0
1977-04-01,13699.0
1977-07-01,20837.0
1977-10-01,16046.0
1978-01-01,11992.0
1978-04-01,14446.0
1978-07-01,20924.0
1978-10-01,16112.0
1979-01-01,12044.0
1979-04-01,13278.0
1979-07-01,17929.0
1979-10-01,11498.0
1980-01-01,9376.0
1980-04-01,11076.0
1980-07-01,14255.0
1980-10-01,10518.0
1981-01-01,8662.0
1981-04-01,11428.0
1981-07-01,17734.0
1981-10-01,12228.0
1982-01-01,11216.0
1982-04-01,13608.0
1982-07-01,20895.0
1982-10-01,13681.0
1983-01-01,10694.0
1983-04-01,13956.0
1983-07-01,21186.0
1983-10-01,12735.0
1984-01-01,10655.0
1984-04-01,13194.0
1984-07-01,18911.0
1984-10-01,12481.0
1985-01-01,11033.0
1985-04-01,12777.0
1985-07-01,19076.0
1985-10-01,11289.0
1986-01-01,8715.0
1986-04-01,11515.0
1986-07-01,17814.0
1986-10-01,11055.0
1987-01-01,9104.0
1987-04-01,9734.0
1987-07-01,16179.0
1987-10-01,9295.0
1988-01-01,7499.0
1988-04-01,8005.0
1988-07-01,14322.0
1988-10-01,8894.0
1989-01-01,7444.0
1989-04-01,9735.0
1989-07-01,14680.0
1989-10-01,8849.0
1990-01-01,7391.0
1990-04-01,8840.0
1990-07-01,14407.0
1990-10-01,8974.0
1991-01-01,9217.0
1991-04-01,11094.0
1991-07-01,17713.0
1991-10-01,10006.0
1992-01-01,8385.0
1992-04-01,9529.0
1992-07-01,16921.0
1992-10-01,9732.0
1993-01-01,8106.0
1993-04-01,9234.0
1993-07-01,17550.0
1993-10-01,11828.0
1994-01-01,8338.0
1994-04-01,11740.0
1994-07-01,21204.0
1994-10-01,11999.0
1995-01-01,7991.0
1995-04-01,10875.0
1995-07-01,20191.0
1995-10-01,11028.0
1996-01-01,7126.0
1996-04-01,10051.0
1996-07-01,18995.0
1996-10-01,11666.0
1997-01-01,9234.0
1997-04-01,12920.0
1997-07-01,20201.0
1997-10-01,11908.0
1998-01-01,8569.0
1998-04-01,11138.0
1998-07-01,19813.0
1998-10-01,10319.0
1999-01-01,7364.0
1999-04-01,10512.0
1999-07-01,18812.0
1999-10-01,10821.0
2000-01-01,7843.0
2000-04-01,10613.0
2000-07-01,19583.0
2000-10-01,10802.0
2001-01-01,7652.0
2001-04-01,9729.0
2001-07-01,23167.0
2001-10-01,13040.0
2002-01-01,6277.0
2002-04-01,7665.0
2002-07-01,20472.0
2002-10-01,12307.0
2003-01-01,10160.0
2003-04-01,10951.0
2003-07-01,19425.0
2003-10-01,13148.0
2004-01-01,11824.0
2004-04-01,13787.0
2004-07-01,19631.0
2004-10-01,13184.0
2005-01-01,11479.0
2005-04-01,13339.0
2005-07-01,20348.0
2005-10-01,13395.0
2006-01-01,13094.0
2006-04-01,14575.0
2006-07-01,21980.0
2006-10-01,15058.0
2007-01-01,13692.0
2007-04-01,15782.0
2007-07-01,22281.0
2007-10-01,14656.0
2008-01-01,13699.0
2008-04-01,15522.0
2008-07-01,22314.0
2008-10-01,14699.0
2009-01-01,12243.0
2009-04-01,12275.0
2009-07-01,18552.0
2009-10-01,13357.0
2010-01-01,12301.0
2010-04-01,13836.0
2010-07-01,19826.0
2010-10-01,13725.0
2011-01-01,13747.0
2011-04-01,14168.0
2011-07-01,22222.0
2011-10-01,14988.0
2012-01-01,14120.0
2012-04-01,14063.0
2012-07-01,20315.0
2012-10-01,13375.0
2013-01-01,14286.0
2013-04-01,14153.0
2013-07-01,19902.0
2013-10-01,14368.0
2014-01-01,14680.0
2014-04-01,14772.0
2014-07-01,21768.0
2014-10-01,14002.0
2015-01-01,14989.0
2015-04-01,15078.0
2015-07-01,23493.0
2015-10-01,15385.0
2016-01-01,15111.0
2016-04-01,13904.0
2016-07-01,41778.0
2016-10-01,26680.0
2017-01-01,27115.0
2017-04-01,24391.0
2017-07-01,31704.0
2017-10-01,20803.0
2018-01-01,23635.0
2018-04-01,22129.0
2018-07-01,30291.0
2018-10-01,20980.0
2019-01-01,21331.0
2019-04-01,19602.0
2019-07-01,30675.0
2019-10-01,18852.0
2020-01-01,20633.0
2020-04-01,7431.0
2020-07-01,17305.0
2020-10-01,15038.0
2021-01-01,17184.0
2021-04-01,17100.0
2021-07-01,26453.0
2021-10-01,22620.0
2022-01-01,25394.0
2022-04-01,25289.0
2022-07-01,35112.0
2022-10-01,24377.0
2023-01-01,28289.0
2023-04-01,25513.0
2023-07-01,39617.0
2023-10-01,23948.0
2024-01-01,28938.0
2024-04-01,23985.0
2024-07-01,40818.0
2024-10-01,24668.0
2025-01-01,29816.0
2025-04-01,24714.0
2025-07-01,41203.0
2025-10-01,24907.0
