date,value
1946-01-01,12738.0
1946-04-01,21176.0
1946-07-01,25078.0
1946-10-01,12727.0
1947-01-01,8009.0
1947-04-01,13404.0
1947-07-01,18624.0
1947-10-01,24090.0
1948-01-01,23076.0
1948-04-01,34199.0
1948-07-01,33932.0
1948-10-01,34207.0
1949-01-01,23265.0
1949-04-01,30243.0
1949-07-01,22641.0
1949-10-01,19068.0
1950-01-01,14470.0
1950-04-01,22816.0
1950-07-01,16964.0
1950-10-01,19662.0
1951-01-01,25914.0
1951-04-01,53871.0
1951-07-01,50100.0
1951-10-01,64506.0
1952-01-01,42743.0
1952-04-01,55314.0
1952-07-01,37239.0
1952-10-01,29202.0
1953-01-01,22937.0
1953-04-01,55399.0
1953-07-01,46762.0
1953-10-01,43770.0
1954-01-01,28223.0
1954-04-01,57542.0
1954-07-01,41088.0
1954-10-01,27374.0
1955-01-01,17627.0
1955-04-01,40790.0
1955-07-01,28190.0
1955-10-01,23339.0
1956-01-01,18963.0
1956-04-01,50961.0
1956-07-01,40085.0
1956-10-01,54848.0
1957-01-01,62460.0
1957-04-01,119956.0
1957-07-01,61850.0
1957-10-01,37898.0
1958-01-01,21243.0
1958-04-01,46501.0
1958-07-01,32387.0
1958-10-01,24720.0
1959-01-01,16955.0
1959-04-01,40134.0
1959-07-01,28266.0
1959-10-01,21573.0
1960-01-01,16599.0
1960-04-01,41442.0
1960-07-01,25802.0
1960-10-01,20268.0
1961-01-01,11839.0
1961-04-01,24943.0
1961-07-01,19386.0
1961-10-01,15521.0
1962-01-01,11762.0
1962-04-01,22299.0
1962-07-01,22507.0
1962-10-01,18018.0
1963-01-01,13410.0
1963-04-01,28034.0
1963-07-01,27900.0
1963-10-01,23807.0
1964-01-01,17546.0
1964-04-01,33777.0
1964-07-01,33343.0
1964-10-01,27940.0
1965-01-01,22279.0
1965-04-01,40619.0
1965-07-01,45511.0
1965-10-01,38349.0
1966-01-01,30713.0
1966-04-01,55288.0
1966-07-01,58533.0
1966-10-01,50209.0
1967-01-01,43989.0
1967-04-01,64969.0
1967-07-01,65635.0
1967-10-01,48283.0
1968-01-01,35601.0
1968-04-01,49738.0
1968-07-01,51037.0
1968-10-01,47598.0
1969-01-01,30788.0
1969-04-01,40333.0
1969-07-01,48571.0
1969-10-01,41839.0
1970-01-01,30783.0
1970-04-01,40052.0
1970-07-01,42488.0
1970-10-01,34390.0
1971-01-01,27899.0
1971-04-01,31278.0
1971-07-01,34828.0
1971-10-01,27895.0
1972-01-01,23567.0
1972-04-01,30746.0
1972-07-01,32474.0
1972-10-01,35219.0
1973-01-01,26288.0
1973-04-01,44545.0
1973-07-01,49057.0
1973-10-01,64310.0
1974-01-01,45302.0
1974-04-01,58787.0
1974-07-01,62312.0
1974-10-01,52064.0
1975-01-01,43448.0
1975-04-01,51459.0
1975-07-01,54550.0
1975-10-01,38424.0
1976-01-01,32359.0
1976-04-01,44695.0
1976-07-01,41539.0
1976-10-01,30836.0
1977-01-01,26048.0
1977-04-01,32508.0
1977-07-01,33797.0
1977-10-01,22561.0
1978-01-01,20332.0
1978-04-01,24277.0
1978-07-01,21948.0
1978-10-01,19756.0
1979-01-01,18866.0
1979-04-01,23948.0
1979-07-01,32052.0
1979-10-01,37230.0
1980-01-01,34349.0
1980-04-01,40194.0
1980-07-01,37376.0
1980-10-01,31579.0
1981-01-01,26789.0
1981-04-01,31494.0
1981-07-01,35931.0
1981-10-01,34580.0
1982-01-01,29707.0
1982-04-01,35121.0
1982-07-01,29700.0
1982-10-01,26803.0
1983-01-01,22002.0
1983-04-01,22899.0
1983-07-01,23008.0
1983-10-01,21468.0
1984-01-01,19052.0
1984-04-01,25064.0
1984-07-01,24881.0
1984-10-01,19602.0
1985-01-01,18221.0
1985-04-01,21221.0
1985-07-01,24330.0
1985-10-01,20567.0
1986-01-01,19342.0
1986-04-01,24418.0
1986-07-01,26207.0
1986-10-01,29376.0
1987-01-01,34688.0
1987-04-01,40609.0
1987-07-01,42535.0
1987-10-01,34199.0
1988-01-01,32999.0
1988-04-01,42478.0
1988-07-01,47242.0
1988-10-01,38815.0
1989-01-01,40480.0
1989-04-01,51095.0
1989-07-01,53775.0
1989-10-01,46166.0
1990-01-01,43297.0
1990-04-01,60119.0
