date,value
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,
1952-01-01,
1952-04-01,
1952-07-01,
1952-10-01,
1953-01-01,
1953-04-01,
1953-07-01,
1953-10-01,
1954-01-01,
1954-04-01,
1954-07-01,
1954-10-01,
1955-01-01,
1955-04-01,
1955-07-01,
1955-10-01,
1956-01-01,
1956-04-01,
1956-07-01,
1956-10-01,
1957-01-01,
1957-04-01,
1957-07-01,
1957-10-01,
1958-01-01,
1958-04-01,
1958-07-01,
1958-10-01,
1959-01-01,
1959-04-01,
1959-07-01,
1959-10-01,
1960-01-01,
1960-04-01,
1960-07-01,
1960-10-01,
1961-01-01,
1961-04-01,
1961-07-01,
1961-10-01,
1962-01-01,
1962-04-01,
1962-07-01,
1962-10-01,
1963-01-01,
1963-04-01,
1963-07-01,
1963-10-01,
1964-01-01,
1964-04-01,
1964-07-01,
1964-10-01,
1965-01-01,
1965-04-01,
1965-07-01,
1965-10-01,
1966-01-01,
1966-04-01,
1966-07-01,
1966-10-01,
1967-01-01,
1967-04-01,
1967-07-01,
1967-10-01,
1968-01-01,
1968-04-01,
1968-07-01,
1968-10-01,
1969-01-01,
1969-04-01,
1969-07-01,
1969-10-01,
1970-01-01,
1970-04-01,
1970-07-01,
1970-10-01,
1971-01-01,
1971-04-01,
1971-07-01,4311.0
1971-10-01,-5049.0
1972-01-01,1729.0
1972-04-01,2006.0
1972-07-01,4465.0
1972-10-01,-5225.0
1973-01-01,1790.0
1973-04-01,6964.0
1973-07-01,4872.0
1973-10-01,-5698.0
1974-01-01,1954.0
1974-04-01,-3129.0
1974-07-01,4773.0
1974-10-01,-5575.0
1975-01-01,1910.0
1975-04-01,6881.0
1975-07-01,5188.0
1975-10-01,-6048.0
1976-01-01,2070.0
1976-04-01,-4208.0
1976-07-01,5036.0
1976-10-01,-5867.0
1977-01-01,2009.0
1977-04-01,-3180.0
1977-07-01,4940.0
1977-10-01,-5751.0
1978-01-01,1971.0
1978-04-01,-4157.0
1978-07-01,4785.0
1978-10-01,-5569.0
1979-01-01,1913.0
1979-04-01,6861.0
1979-07-01,5197.0
1979-10-01,-6041.0
1980-01-01,2075.0
1980-04-01,13755.0
1980-07-01,5966.0
1980-10-01,-6927.0
1981-01-01,2377.0
1981-04-01,11877.0
1981-07-01,24834.0
1981-10-01,-8807.0
1982-01-01,-2403.0
1982-04-01,-1327.0
1982-07-01,9199.0
1982-10-01,-9196.0
1983-01-01,1902.0
1983-04-01,1865.0
1983-07-01,7668.0
1983-10-01,-7066.0
1984-01-01,3260.0
1984-04-01,1203.0
1984-07-01,5208.0
1984-10-01,-10020.0
1985-01-01,3787.0
1985-04-01,4736.0
1985-07-01,8516.0
1985-10-01,-6058.0
1986-01-01,7575.0
1986-04-01,12403.0
1986-07-01,21415.0
1986-10-01,5144.0
1987-01-01,19750.0
1987-04-01,12382.0
1987-07-01,16532.0
1987-10-01,-7765.0
1988-01-01,9934.0
1988-04-01,23476.0
1988-07-01,51443.0
1988-10-01,24064.0
1989-01-01,36398.0
1989-04-01,28843.0
1989-07-01,26073.0
1989-10-01,-23958.0
1990-01-01,17728.0
1990-04-01,8986.0
1990-07-01,4919.0
1990-10-01,-42584.0
1991-01-01,-18010.0
1991-04-01,2822.0
1991-07-01,2338.0
1991-10-01,-41811.0
1992-01-01,164.0
1992-04-01,-3610.0
1992-07-01,2018.0
1992-10-01,-30505.0
1993-01-01,-20281.0
1993-04-01,-22417.0
1993-07-01,3160.0
1993-10-01,-23754.0
1994-01-01,-1365.0
1994-04-01,-237.0
1994-07-01,5673.0
1994-10-01,-20571.0
1995-01-01,-3168.0
1995-04-01,3914.0
1995-07-01,12352.0
1995-10-01,-12929.0
1996-01-01,-3960.0
1996-04-01,3711.0
1996-07-01,11482.0
1996-10-01,-20900.0
1997-01-01,2006.0
1997-04-01,7594.0
1997-07-01,12484.0
1997-10-01,-21293.0
1998-01-01,367.0
1998-04-01,4459.0
1998-07-01,14716.0
1998-10-01,-18621.0
1999-01-01,5649.0
1999-04-01,16573.0
1999-07-01,22201.0
1999-10-01,-21992.0
2000-01-01,11842.0
2000-04-01,12981.0
2000-07-01,23335.0
2000-10-01,-19725.0
2001-01-01,17268.0
2001-04-01,18774.0
2001-07-01,29574.0
2001-10-01,-18330.0
2002-01-01,10837.0
2002-04-01,11429.0
2002-07-01,25945.0
2002-10-01,-19078.0
2003-01-01,15890.0
2003-04-01,14014.0
2003-07-01,12532.0
2003-10-01,-19493.0
2004-01-01,8349.0
2004-04-01,8960.0
2004-07-01,16050.0
2004-10-01,-19134.0
2005-01-01,4867.0
2005-04-01,7365.0
2005-07-01,13792.0
2005-10-01,-22865.0
2006-01-01,10539.0
2006-04-01,14512.0
2006-07-01,15132.0
2006-10-01,-27442.0
2007-01-01,16985.0
2007-04-01,22749.0
2007-07-01,21513.0
2007-10-01,-17289.0
2008-01-01,16130.0
2008-04-01,31124.0
2008-07-01,32543.0
2008-10-01,-8128.0
2009-01-01,23573.0
2009-04-01,23898.0
2009-07-01,26163.0
2009-10-01,-17657.0
2010-01-01,12495.0
2010-04-01,13242.0
2010-07-01,20172.0
2010-10-01,-33982.0
2011-01-01,9741.0
2011-04-01,18793.0
2011-07-01,24890.0
2011-10-01,-10622.0
2012-01-01,13606.0
2012-04-01,27526.0
2012-07-01,30588.0
2012-10-01,-25513.0
2013-01-01,14639.0
2013-04-01,29807.0
2013-07-01,38620.0
2013-10-01,-30082.0
2014-01-01,6046.0
2014-04-01,18283.0
2014-07-01,33889.0
2014-10-01,-41248.0
2015-01-01,-11185.0
2015-04-01,8703.0
2015-07-01,19982.0
2015-10-01,-26830.0
2016-01-01,11939.0
2016-04-01,30357.0
2016-07-01,53175.0
2016-10-01,-6749.0
2017-01-01,10350.0
2017-04-01,47000.0
2017-07-01,78277.0
2017-10-01,2407.0
2018-01-01,22568.0
2018-04-01,59321.0
2018-07-01,76425.0
2018-10-01,-3397.0
2019-01-01,30543.0
2019-04-01,65262.0
2019-07-01,80029.0
2019-10-01,13947.0
2020-01-01,6109.0
2020-04-01,-24820.0
2020-07-01,-67698.0
2020-10-01,-9657.0
2021-01-01,13627.0
2021-04-01,12009.0
2021-07-01,80749.0
2021-10-01,-28898.0
2022-01-01,34084.0
2022-04-01,138780.0
2022-07-01,214263.0
2022-10-01,151584.0
2023-01-01,100487.0
2023-04-01,205191.0
2023-07-01,314059.0
2023-10-01,169369.0
2024-01-01,161892.0
2024-04-01,135755.0
2024-07-01,109961.0
2024-10-01,-11002.0
2025-01-01,-55194.0
2025-04-01,-58719.0
2025-07-01,-176479.0
2025-10-01,-171296.0
