date,value
1946-01-01,12188000.0
1946-04-01,12241000.0
1946-07-01,12316000.0
1946-10-01,12393000.0
1947-01-01,12450000.0
1947-04-01,12507000.0
1947-07-01,12576000.0
1947-10-01,12646000.0
1948-01-01,12710000.0
1948-04-01,12773000.0
1948-07-01,12852000.0
1948-10-01,12930000.0
1949-01-01,12998000.0
1949-04-01,13399000.0
1949-07-01,13475000.0
1949-10-01,13548000.0
1950-01-01,13607000.0
1950-04-01,13663000.0
1950-07-01,13737000.0
1950-10-01,13807000.0
1951-01-01,13870000.0
1951-04-01,13937000.0
1951-07-01,14050000.0
1951-10-01,14163000.0
1952-01-01,14277000.0
1952-04-01,14376000.0
1952-07-01,14496000.0
1952-10-01,14598000.0
1953-01-01,14682000.0
1953-04-01,14763000.0
1953-07-01,14886000.0
1953-10-01,15001000.0
1954-01-01,15105000.0
1954-04-01,15199000.0
1954-07-01,15330000.0
1954-10-01,15444000.0
1955-01-01,15535000.0
1955-04-01,15620000.0
1955-07-01,15736000.0
1955-10-01,15834000.0
1956-01-01,15919000.0
1956-04-01,16004000.0
1956-07-01,16123000.0
1956-10-01,16235000.0
1957-01-01,16352000.0
1957-04-01,16479000.0
1957-07-01,16677000.0
1957-10-01,16810000.0
1958-01-01,16907000.0
1958-04-01,16997000.0
1958-07-01,17120000.0
1958-10-01,17225000.0
1959-01-01,17318000.0
1959-04-01,17406000.0
1959-07-01,17522000.0
1959-10-01,17624000.0
1960-01-01,17710000.0
1960-04-01,17793000.0
1960-07-01,17909000.0
1960-10-01,18009000.0
1961-01-01,18092000.0
1961-04-01,18172000.0
1961-07-01,18271000.0
1961-10-01,18363000.0
1962-01-01,18442000.0
1962-04-01,18519000.0
1962-07-01,18614000.0
1962-10-01,18708000.0
1963-01-01,18787000.0
1963-04-01,18864000.0
1963-07-01,18964000.0
1963-10-01,19061000.0
1964-01-01,19142000.0
1964-04-01,19222000.0
1964-07-01,19325000.0
1964-10-01,19420000.0
1965-01-01,19501000.0
1965-04-01,19578000.0
1965-07-01,19678000.0
1965-10-01,19777000.0
1966-01-01,19857000.0
1966-04-01,19939000.0
1966-07-01,20048000.0
1966-10-01,20146000.0
1967-01-01,20228000.0
1967-04-01,20306000.0
1967-07-01,20412000.0
1967-10-01,20509000.0
1968-01-01,20581000.0
1968-04-01,20644000.0
1968-07-01,20729000.0
1968-10-01,20814000.0
1969-01-01,20888000.0
1969-04-01,20950000.0
1969-07-01,21028000.0
1969-10-01,21111000.0
1970-01-01,21182000.0
1970-04-01,21244000.0
1970-07-01,21324000.0
1970-10-01,21400000.0
1971-01-01,21465000.0
1971-04-01,21523000.0
1971-07-01,21962032.0
1971-10-01,22039243.0
1972-01-01,22092498.0
1972-04-01,22148919.0
1972-07-01,22218463.0
1972-10-01,22288499.0
1973-01-01,22347459.0
1973-04-01,22405392.0
1973-07-01,22491777.0
1973-10-01,22570338.0
1974-01-01,22649538.0
1974-04-01,22723274.0
1974-07-01,22807969.0
1974-10-01,22907390.0
1975-01-01,22979190.0
1975-04-01,23048990.0
1975-07-01,23143275.0
1975-10-01,23240585.0
1976-01-01,23304197.0
1976-04-01,23369845.0
