date,value
2018-01-01,5197819.0
2018-02-01,5337931.0
2018-03-01,5491174.0
2018-04-01,5306333.0
2018-05-01,5451049.0
2018-06-01,5398763.0
2018-07-01,5297862.0
2018-08-01,4697035.0
2018-09-01,5005822.0
2018-10-01,5248303.0
2018-11-01,5182842.0
2018-12-01,5228444.0
2019-01-01,5166874.0
2019-02-01,4910689.0
2019-03-01,4864327.0
2019-04-01,5647248.0
2019-05-01,5193672.0
2019-06-01,4957868.0
2019-07-01,5259854.0
2019-08-01,5865959.0
2019-09-01,5241431.0
2019-10-01,5138074.0
2019-11-01,4707830.0
2019-12-01,5158804.0
2020-01-01,5625718.0
2020-02-01,5473206.0
2020-03-01,4435679.0
2020-04-01,3891307.0
2020-05-01,5255833.0
2020-06-01,5350214.0
2020-07-01,5397541.0
2020-08-01,5876074.0
2020-09-01,6341355.0
2020-10-01,6506784.0
2020-11-01,6498347.0
2020-12-01,6519673.0
2021-01-01,7612573.0
2021-02-01,6943987.0
2021-03-01,8028128.0
2021-04-01,7799238.0
2021-05-01,6714677.0
2021-06-01,6822581.0
2021-07-01,7044094.0
2021-08-01,6325388.0
2021-09-01,7026481.0
2021-10-01,7471175.0
2021-11-01,7770935.0
2021-12-01,7836259.0
2022-01-01,7272623.0
2022-02-01,7653097.0
2022-03-01,7891868.0
2022-04-01,7990134.0
2022-05-01,8044370.0
2022-06-01,8190233.0
2022-07-01,7516791.0
2022-08-01,8199957.0
2022-09-01,6638808.0
2022-10-01,6222841.0
2022-11-01,7064091.0
2022-12-01,6945999.0
2023-01-01,6286513.0
2023-02-01,6668231.0
2023-03-01,6678919.0
2023-04-01,6171995.0
2023-05-01,6972464.0
2023-06-01,7837884.0
2023-07-01,7190677.0
2023-08-01,6933438.0
2023-09-01,7631229.0
2023-10-01,7025497.0
2023-11-01,7315202.0
2023-12-01,5849954.0
2024-01-01,6355555.0
2024-02-01,6907230.0
2024-03-01,6612126.0
2024-04-01,8792572.0
2024-05-01,7731944.0
2024-06-01,7082751.0
2024-07-01,7585758.0
2024-08-01,7569789.0
2024-09-01,7961977.0
2024-10-01,7668906.0
2024-11-01,7539671.0
2024-12-01,8916897.0
2025-01-01,8494173.0
2025-02-01,8063727.0
2025-03-01,8216691.0
2025-04-01,7265773.0
2025-05-01,7538568.0
2025-06-01,7221251.0
2025-07-01,7380648.0
2025-08-01,7184153.0
2025-09-01,7445699.0
2025-10-01,8123621.0
2025-11-01,7639534.0
2025-12-01,7760587.0
2026-01-01,8052020.0
2026-02-01,8212837.0
2026-03-01,7920658.0
2026-04-01,7482927.0
