date,value
2001-01-01,656.88
2001-02-01,653.23
2001-03-01,655.25
2001-04-01,652.41
2001-05-01,652.19
2001-06-01,656.72
2001-07-01,657.14
2001-08-01,659.47
2001-09-01,659.92
2001-10-01,660.91
2001-11-01,659.71
2001-12-01,660.39
2002-01-01,662.86
2002-02-01,659.68
2002-03-01,667.09
2002-04-01,672.33
2002-05-01,671.43
2002-06-01,670.32
2002-07-01,677.47
2002-08-01,672.17
2002-09-01,674.17
2002-10-01,679.35
2002-11-01,680.45
2002-12-01,685.21
2003-01-01,680.23
2003-02-01,686.95
2003-03-01,682.41
2003-04-01,685.79
2003-05-01,684.85
2003-06-01,691.5
2003-07-01,691.46
2003-08-01,694.25
2003-09-01,697.73
2003-10-01,696.98
2003-11-01,700.21
2003-12-01,698.61
2004-01-01,701.73
2004-02-01,701.71
2004-03-01,705.2
2004-04-01,704.12
2004-05-01,710.06
2004-06-01,705.85
2004-07-01,709.13
2004-08-01,711.46
2004-09-01,710.99
2004-10-01,712.2
2004-11-01,716.86
2004-12-01,719.66
2005-01-01,725.18
2005-02-01,731.91
2005-03-01,725.15
2005-04-01,728.86
2005-05-01,733.11
2005-06-01,735.61
2005-07-01,736.1
2005-08-01,741.45
2005-09-01,749.99
2005-10-01,745.56
2005-11-01,744.35
2005-12-01,743.96
2006-01-01,745.59
2006-02-01,745.61
2006-03-01,748.21
2006-04-01,750.45
2006-05-01,751.0
2006-06-01,751.83
2006-07-01,754.55
2006-08-01,758.87
2006-09-01,757.15
2006-10-01,762.11
2006-11-01,760.4
2006-12-01,772.6
2007-01-01,773.77
2007-02-01,770.86
2007-03-01,780.6
2007-04-01,781.42
2007-05-01,785.96
2007-06-01,790.68
2007-07-01,791.72
2007-08-01,789.25
2007-09-01,791.33
2007-10-01,793.89
2007-11-01,799.03
2007-12-01,798.33
2008-01-01,798.03
2008-02-01,803.1
2008-03-01,804.96
2008-04-01,809.01
2008-05-01,808.46
2008-06-01,809.39
2008-07-01,810.87
2008-08-01,811.51
2008-09-01,813.96
2008-10-01,818.06
2008-11-01,818.17
2008-12-01,813.1
2009-01-01,816.0
2009-02-01,818.03
2009-03-01,819.94
2009-04-01,817.49
2009-05-01,818.0
2009-06-01,821.11
2009-07-01,822.12
2009-08-01,821.7
2009-09-01,827.52
2009-10-01,825.52
2009-11-01,827.78
2009-12-01,832.76
2010-01-01,834.47
2010-02-01,841.1
2010-03-01,841.99
2010-04-01,845.56
2010-05-01,846.99
2010-06-01,850.13
2010-07-01,853.39
2010-08-01,858.39
2010-09-01,864.85
2010-10-01,860.37
2010-11-01,863.56
2010-12-01,866.04
2011-01-01,872.79
2011-02-01,870.39
2011-03-01,870.27
2011-04-01,869.97
2011-05-01,871.57
2011-06-01,870.23
2011-07-01,868.68
2011-08-01,872.48
2011-09-01,872.81
2011-10-01,882.16
2011-11-01,880.17
2011-12-01,880.78
2012-01-01,885.06
2012-02-01,880.62
2012-03-01,886.96
2012-04-01,889.5
2012-05-01,890.13
2012-06-01,893.66
2012-07-01,900.56
2012-08-01,903.79
2012-09-01,902.73
2012-10-01,903.29
2012-11-01,903.7
2012-12-01,903.13
2013-01-01,900.81
2013-02-01,904.87
2013-03-01,902.77
2013-04-01,904.66
2013-05-01,913.08
2013-06-01,910.33
2013-07-01,909.83
2013-08-01,910.96
2013-09-01,912.92
2013-10-01,916.81
2013-11-01,922.93
2013-12-01,924.39
2014-01-01,923.33
2014-02-01,926.26
2014-03-01,926.85
2014-04-01,931.42
2014-05-01,935.94
2014-06-01,936.69
2014-07-01,942.9
2014-08-01,939.59
2014-09-01,940.3
2014-10-01,942.13
2014-11-01,938.74
2014-12-01,940.0
2015-01-01,948.5
2015-02-01,949.46
2015-03-01,951.71
2015-04-01,954.11
2015-05-01,948.27
2015-06-01,953.22
2015-07-01,957.59
2015-08-01,944.6
2015-09-01,954.06
2015-10-01,955.52
2015-11-01,951.46
2015-12-01,954.88
2016-01-01,949.76
2016-02-01,953.9
2016-03-01,955.46
2016-04-01,953.17
2016-05-01,954.67
2016-06-01,956.87
2016-07-01,957.51
2016-08-01,958.3
2016-09-01,955.66
2016-10-01,955.17
2016-11-01,960.0
2016-12-01,968.34
2017-01-01,967.0
2017-02-01,964.5
2017-03-01,967.02
2017-04-01,971.07
2017-05-01,970.15
2017-06-01,971.94
2017-07-01,970.07
2017-08-01,976.45
2017-09-01,985.54
2017-10-01,983.54
2017-11-01,990.93
2017-12-01,991.96
2018-01-01,991.47
2018-02-01,998.68
2018-03-01,997.53
2018-04-01,993.11
2018-05-01,994.78
2018-06-01,1001.65
2018-07-01,999.89
2018-08-01,1005.43
2018-09-01,1000.53
2018-10-01,1007.51
2018-11-01,1011.43
2018-12-01,1009.66
2019-01-01,1009.29
2019-02-01,1009.37
2019-03-01,1014.84
2019-04-01,1016.98
2019-05-01,1030.54
2019-06-01,1022.02
2019-07-01,1027.69
2019-08-01,1031.71
2019-09-01,1038.63
2019-10-01,1046.38
2019-11-01,1042.76
2019-12-01,1046.2
2020-01-01,1046.42
2020-02-01,1045.5
2020-03-01,1047.06
2020-04-01,1112.45
2020-05-01,1134.87
2020-06-01,1116.38
2020-07-01,1111.9
2020-08-01,1108.21
2020-09-01,1107.12
2020-10-01,1107.5
2020-11-01,1112.71
2020-12-01,1119.5
2021-01-01,1129.25
2021-02-01,1134.55
2021-03-01,1119.47
2021-04-01,1123.45
2021-05-01,1130.3
2021-06-01,1122.22
2021-07-01,1127.99
2021-08-01,1131.39
2021-09-01,1134.34
2021-10-01,1133.31
2021-11-01,1132.67
2021-12-01,1141.53
2022-01-01,1151.01
2022-02-01,1159.84
2022-03-01,1168.29
2022-04-01,1160.49
2022-05-01,1159.93
2022-06-01,1162.39
2022-07-01,1161.84
2022-08-01,1165.97
2022-09-01,1169.01
2022-10-01,1172.4
2022-11-01,1176.99
2022-12-01,1173.83
2023-01-01,1182.47
2023-02-01,1180.47
2023-03-01,1189.47
2023-04-01,1197.61
2023-05-01,1203.01
2023-06-01,1206.25
2023-07-01,1211.39
2023-08-01,1211.81
2023-09-01,1214.71
2023-10-01,1218.02
2023-11-01,1222.57
2023-12-01,1219.55
2024-01-01,1225.25
2024-02-01,1231.12
2024-03-01,1239.28
2024-04-01,1242.86
2024-05-01,1254.01
2024-06-01,1255.72
2024-07-01,1264.48
2024-08-01,1273.0
2024-09-01,1275.17
2024-10-01,1283.79
2024-11-01,1283.9
2024-12-01,1291.58
2025-01-01,1294.3
2025-02-01,1294.74
2025-03-01,1288.12
2025-04-01,1295.9
2025-05-01,1293.19
2025-06-01,1299.68
2025-07-01,1305.63
2025-08-01,1306.43
2025-09-01,1314.65
2025-10-01,1309.49
2025-11-01,1315.19
2025-12-01,1316.48
2026-01-01,1319.29
2026-02-01,1338.24
