date,value
1997-01-01,3097.4
1997-02-01,2941.7
1997-03-01,2710.0
1997-04-01,2170.2
1997-05-01,2147.2
1997-06-01,1756.7
1997-07-01,2006.3
1997-08-01,1524.9
1997-09-01,1752.4
1997-10-01,1109.5
1997-11-01,1885.5
1997-12-01,2089.5
1998-01-01,1391.7
1998-02-01,1786.3
1998-03-01,1818.3
1998-04-01,2021.5
1998-05-01,1571.7
1998-06-01,1447.9
1998-07-01,2093.1
1998-08-01,2362.2
1998-09-01,2317.6
1998-10-01,2138.4
1998-11-01,2173.7
1998-12-01,2376.2
1999-01-01,3140.0
1999-02-01,2787.0
1999-03-01,2976.9
1999-04-01,3094.1
1999-05-01,2882.6
1999-06-01,3464.8
1999-07-01,3818.9
1999-08-01,4626.6
1999-09-01,3587.0
1999-10-01,3338.6
1999-11-01,4206.7
1999-12-01,3592.6
2000-01-01,4768.0
2000-02-01,4232.7
2000-03-01,4984.3
2000-04-01,4275.6
2000-05-01,5189.4
2000-06-01,6536.9
2000-07-01,5480.3
2000-08-01,5632.4
2000-09-01,5923.4
2000-10-01,6369.8
2000-11-01,5941.1
2000-12-01,7075.4
2001-01-01,8554.4
2001-02-01,6716.2
2001-03-01,7001.6
2001-04-01,6610.2
2001-05-01,6441.7
2001-06-01,5340.0
2001-07-01,5298.3
2001-08-01,4674.9
2001-09-01,4964.2
2001-10-01,3850.5
2001-11-01,5703.4
2001-12-01,4917.5
2002-01-01,5712.5
2002-02-01,5121.5
2002-03-01,4459.5
2002-04-01,5589.2
2002-05-01,5145.7
2002-06-01,2789.3
2002-07-01,5048.6
2002-08-01,4116.1
2002-09-01,4717.3
2002-10-01,5383.0
2002-11-01,4540.5
2002-12-01,3816.3
2003-01-01,4811.3
2003-02-01,4898.0
2003-03-01,5585.9
2003-04-01,4123.0
2003-05-01,3585.0
2003-06-01,3598.6
2003-07-01,4384.6
2003-08-01,4770.5
2003-09-01,5442.9
2003-10-01,4953.1
2003-11-01,4506.5
2003-12-01,4898.3
2004-01-01,4940.7
2004-02-01,5466.4
2004-03-01,5290.9
2004-04-01,6367.7
2004-05-01,5108.6
2004-06-01,7644.9
2004-07-01,5775.8
2004-08-01,6064.2
2004-09-01,4482.8
2004-10-01,4885.5
2004-11-01,4701.0
2004-12-01,4249.5
2005-01-01,3783.0
2005-02-01,4431.2
2005-03-01,4142.7
2005-04-01,4642.4
2005-05-01,4013.6
2005-06-01,4032.3
2005-07-01,4576.4
2005-08-01,5556.2
2005-09-01,6216.4
2005-10-01,7527.6
2005-11-01,6161.5
2005-12-01,6511.4
2006-01-01,5565.6
2006-02-01,4809.1
2006-03-01,4140.0
2006-04-01,3849.9
2006-05-01,3263.8
2006-06-01,3525.1
2006-07-01,3617.0
2006-08-01,3280.1
2006-09-01,4160.6
2006-10-01,2820.6
2006-11-01,3599.0
2006-12-01,5437.9
2007-01-01,4687.2
2007-02-01,4084.7
2007-03-01,4500.3
2007-04-01,5616.2
2007-05-01,5387.7
2007-06-01,3818.9
2007-07-01,2611.3
2007-08-01,3835.1
2007-09-01,2657.9
2007-10-01,3140.0
2007-11-01,3819.9
2007-12-01,2010.8
2008-01-01,2534.5
2008-02-01,3825.4
2008-03-01,5780.1
2008-04-01,5018.8
2008-05-01,5678.5
2008-06-01,5107.3
2008-07-01,5647.1
2008-08-01,5726.7
2008-09-01,3490.0
2008-10-01,2652.4
2008-11-01,430.3
2008-12-01,-1646.9
2009-01-01,-1735.5
2009-02-01,5.8
2009-03-01,1138.3
2009-04-01,-629.8
2009-05-01,-1493.1
2009-06-01,139.8
2009-07-01,-733.8
2009-08-01,-1520.0
2009-09-01,-773.3
2009-10-01,405.2
2009-11-01,-290.7
2009-12-01,-731.1
2010-01-01,434.6
2010-02-01,106.1
2010-03-01,-1205.5
2010-04-01,150.4
2010-05-01,-810.7
2010-06-01,-1350.4
2010-07-01,-2027.8
2010-08-01,-1725.4
2010-09-01,-2284.9
2010-10-01,-1134.4
2010-11-01,-466.6
2010-12-01,1162.9
2011-01-01,787.6
2011-02-01,-5.0
2011-03-01,-940.3
2011-04-01,-186.1
2011-05-01,-1036.3
2011-06-01,-1066.0
2011-07-01,204.5
2011-08-01,264.4
2011-09-01,1145.1
2011-10-01,-792.9
2011-11-01,625.7
2011-12-01,2189.5
2012-01-01,15.8
2012-02-01,57.5
2012-03-01,-1096.7
2012-04-01,-683.0
2012-05-01,-1325.3
2012-06-01,-2273.6
2012-07-01,-2973.4
2012-08-01,-1016.5
2012-09-01,-986.0
2012-10-01,-314.3
2012-11-01,-1605.2
2012-12-01,-332.4
2013-01-01,-812.5
2013-02-01,-626.7
2013-03-01,-100.3
2013-04-01,-84.3
2013-05-01,-740.8
2013-06-01,-367.3
2013-07-01,-1575.5
2013-08-01,-726.8
2013-09-01,43.0
2013-10-01,-301.6
2013-11-01,-1199.2
2013-12-01,-750.7
2014-01-01,-791.3
2014-02-01,648.5
2014-03-01,1592.7
2014-04-01,385.1
2014-05-01,644.3
2014-06-01,1715.5
2014-07-01,1766.0
2014-08-01,991.6
2014-09-01,670.5
2014-10-01,-122.1
2014-11-01,-724.3
2014-12-01,-1199.7
2015-01-01,-2357.2
2015-02-01,-1655.0
2015-03-01,-3323.5
2015-04-01,-2310.1
2015-05-01,-2577.3
2015-06-01,-340.0
2015-07-01,-384.0
2015-08-01,-1537.3
2015-09-01,-1933.1
2015-10-01,-2338.9
2015-11-01,-3083.9
2015-12-01,-1911.0
2016-01-01,-1306.8
2016-02-01,-3205.2
2016-03-01,-3236.9
2016-04-01,-3086.3
2016-05-01,-3584.8
2016-06-01,-3776.0
2016-07-01,-1436.7
2016-08-01,-1518.7
2016-09-01,-4035.8
2016-10-01,-1385.7
2016-11-01,1073.2
2016-12-01,451.5
2017-01-01,-95.2
2017-02-01,-1260.5
2017-03-01,-671.4
2017-04-01,-1050.5
2017-05-01,-1580.9
2017-06-01,-3558.4
2017-07-01,-2947.8
2017-08-01,-2925.5
2017-09-01,-3167.2
2017-10-01,-1684.4
2017-11-01,-2625.6
2017-12-01,-2932.2
2018-01-01,-1858.1
2018-02-01,-2104.0
2018-03-01,-3469.2
2018-04-01,-1487.4
2018-05-01,-2465.6
2018-06-01,-248.7
2018-07-01,-65.4
2018-08-01,-500.8
2018-09-01,-526.9
2018-10-01,-201.5
2018-11-01,-3123.0
2018-12-01,-5755.0
2019-01-01,-4043.5
2019-02-01,-3145.6
2019-03-01,-2383.5
2019-04-01,-1099.8
2019-05-01,-315.1
2019-06-01,-1271.8
2019-07-01,-1665.5
2019-08-01,-1571.7
2019-09-01,-876.1
2019-10-01,-1326.2
2019-11-01,-903.5
2019-12-01,-195.7
2020-01-01,-2801.6
2020-02-01,-2949.4
2020-03-01,-4556.3
2020-04-01,-5538.5
2020-05-01,-1901.0
2020-06-01,-2622.6
2020-07-01,-3221.8
2020-08-01,-3403.4
2020-09-01,-3980.7
2020-10-01,-3944.8
2020-11-01,-3584.5
2020-12-01,-2142.7
2021-01-01,871.2
2021-02-01,733.5
2021-03-01,-1798.6
2021-04-01,-359.0
2021-05-01,-1926.1
2021-06-01,1555.1
2021-07-01,241.8
2021-08-01,1070.2
2021-09-01,854.1
2021-10-01,1493.3
2021-11-01,2355.2
2021-12-01,-1341.0
2022-01-01,2605.5
2022-02-01,2839.2
2022-03-01,2141.2
2022-04-01,1294.0
2022-05-01,6982.5
2022-06-01,3143.4
2022-07-01,1348.1
2022-08-01,-613.3
2022-09-01,518.6
2022-10-01,-1084.5
2022-11-01,-243.6
2022-12-01,787.6
2023-01-01,621.3
2023-02-01,-671.2
2023-03-01,1570.5
2023-04-01,1618.5
2023-05-01,-2090.9
2023-06-01,-5071.7
2023-07-01,-1027.3
2023-08-01,718.0
2023-09-01,1665.7
2023-10-01,2768.3
2023-11-01,589.7
2023-12-01,-1623.8
2024-01-01,-981.3
2024-02-01,641.3
2024-03-01,-810.1
2024-04-01,-765.1
2024-05-01,-1453.0
2024-06-01,-863.4
2024-07-01,-353.0
2024-08-01,-1768.1
2024-09-01,-1350.4
2024-10-01,-616.7
2024-11-01,-611.1
2024-12-01,1757.0
2025-01-01,4044.9
2025-02-01,-642.1
2025-03-01,-2393.0
2025-04-01,-7503.6
2025-05-01,-5678.4
2025-06-01,-5560.1
2025-07-01,-3889.7
2025-08-01,-6130.7
2025-09-01,481.9
2025-10-01,-907.5
2025-11-01,-2403.3
2025-12-01,-847.9
2026-01-01,-3193.6
2026-02-01,-5112.5
2026-03-01,1779.3
