date,value
1997-01-01,23909.2
1997-02-01,23303.5
1997-03-01,25280.2
1997-04-01,25360.5
1997-05-01,25427.7
1997-06-01,24653.5
1997-07-01,22579.7
1997-08-01,24200.4
1997-09-01,25564.1
1997-10-01,26379.8
1997-11-01,25606.8
1997-12-01,25803.9
1998-01-01,23995.0
1998-02-01,24941.9
1998-03-01,27270.3
1998-04-01,26804.6
1998-05-01,26481.1
1998-06-01,26228.0
1998-07-01,23230.1
1998-08-01,26281.5
1998-09-01,28023.5
1998-10-01,29384.5
1998-11-01,28350.6
1998-12-01,27424.1
1999-01-01,26571.5
1999-02-01,27559.3
1999-03-01,30916.2
1999-04-01,28711.9
1999-05-01,28837.7
1999-06-01,30404.7
1999-07-01,26452.2
1999-08-01,30467.3
1999-09-01,30781.7
1999-10-01,31622.5
1999-11-01,32478.8
1999-12-01,30617.0
2000-01-01,30629.0
2000-02-01,31646.2
2000-03-01,36362.2
2000-04-01,32441.2
2000-05-01,35971.8
2000-06-01,36303.9
2000-07-01,30601.0
2000-08-01,35254.2
2000-09-01,34719.9
2000-10-01,37106.0
2000-11-01,36968.7
2000-12-01,35211.1
2001-01-01,37237.8
2001-02-01,33240.1
2001-03-01,37703.4
2001-04-01,35104.1
2001-05-01,36611.0
2001-06-01,34592.8
2001-07-01,29605.9
2001-08-01,32944.9
2001-09-01,31155.9
2001-10-01,33190.5
2001-11-01,33712.6
2001-12-01,28986.7
2002-01-01,31076.4
2002-02-01,31047.9
2002-03-01,33231.2
2002-04-01,34379.5
2002-05-01,34858.1
2002-06-01,32423.0
2002-07-01,30196.4
2002-08-01,33686.0
2002-09-01,33635.2
2002-10-01,36350.2
2002-11-01,34206.8
2002-12-01,31291.0
2003-01-01,33047.8
2003-02-01,31446.2
2003-03-01,35763.9
2003-04-01,32687.8
2003-05-01,31988.2
2003-06-01,30825.8
2003-07-01,28990.3
2003-08-01,29973.2
2003-09-01,32244.4
2003-10-01,33002.9
2003-11-01,30858.7
2003-12-01,30343.2
2004-01-01,29828.9
2004-02-01,31524.3
2004-03-01,36307.9
2004-04-01,35219.9
2004-05-01,36097.5
2004-06-01,38940.9
2004-07-01,32768.7
2004-08-01,35658.4
2004-09-01,34460.8
2004-10-01,34696.8
2004-11-01,34034.2
2004-12-01,32751.5
2005-01-01,33014.2
2005-02-01,32922.5
2005-03-01,36253.1
2005-04-01,35889.7
2005-05-01,36777.5
2005-06-01,37124.7
2005-07-01,32580.0
2005-08-01,37583.4
2005-09-01,37833.3
2005-10-01,39878.9
2005-11-01,38630.2
2005-12-01,37863.2
2006-01-01,37131.0
2006-02-01,34401.8
2006-03-01,38866.7
2006-04-01,35605.8
2006-05-01,37346.1
2006-06-01,38036.0
2006-07-01,33942.9
2006-08-01,37389.0
2006-09-01,36235.6
2006-10-01,37029.1
2006-11-01,37509.0
2006-12-01,36872.1
2007-01-01,38223.2
2007-02-01,35866.3
2007-03-01,41533.2
2007-04-01,39443.3
2007-05-01,39841.7
2007-06-01,39381.6
2007-07-01,35018.6
2007-08-01,37658.9
2007-09-01,35527.7
2007-10-01,37281.8
2007-11-01,36821.3
2007-12-01,33723.2
2008-01-01,36509.8
2008-02-01,36658.7
2008-03-01,39654.7
2008-04-01,41340.2
2008-05-01,41851.3
2008-06-01,42553.5
2008-07-01,43552.8
2008-08-01,41850.5
2008-09-01,42013.4
2008-10-01,44448.4
2008-11-01,38664.9
2008-12-01,34389.9
2009-01-01,29565.7
2009-02-01,29834.4
2009-03-01,32767.5
2009-04-01,29773.0
2009-05-01,27515.6
2009-06-01,29254.8
2009-07-01,29786.2
2009-08-01,28612.4
2009-09-01,29896.9
2009-10-01,31205.8
2009-11-01,30464.2
2009-12-01,31077.1
2010-01-01,30452.6
2010-02-01,30319.9
2010-03-01,34691.3
2010-04-01,32603.5
2010-05-01,33790.3
2010-06-01,34254.8
2010-07-01,31016.9
2010-08-01,33223.8
2010-09-01,33245.7
2010-10-01,34247.4
2010-11-01,34421.9
2010-12-01,36588.9
2011-01-01,34802.2
2011-02-01,32391.1
2011-03-01,39003.0
2011-04-01,34766.1
2011-05-01,37045.4
2011-06-01,37153.1
2011-07-01,35511.5
2011-08-01,38558.8
2011-09-01,39593.2
2011-10-01,38910.4
2011-11-01,39403.8
2011-12-01,39568.5
2012-01-01,37412.1
2012-02-01,36601.1
2012-03-01,40657.1
2012-04-01,38775.2
2012-05-01,39439.1
2012-06-01,38975.4
2012-07-01,36090.7
2012-08-01,37141.6
2012-09-01,36213.3
2012-10-01,39326.0
2012-11-01,38124.9
2012-12-01,36414.2
2013-01-01,37827.6
2013-02-01,36167.9
2013-03-01,40721.5
2013-04-01,39774.9
2013-05-01,40612.9
2013-06-01,38914.4
2013-07-01,37280.9
2013-08-01,38825.2
2013-09-01,40080.4
2013-10-01,42051.0
2013-11-01,39797.9
2013-12-01,39892.4
2014-01-01,40356.0
2014-02-01,39457.0
2014-03-01,45604.3
2014-04-01,42894.8
2014-05-01,45160.8
2014-06-01,45186.8
2014-07-01,43469.3
2014-08-01,43320.5
2014-09-01,46097.8
2014-10-01,47010.3
2014-11-01,42538.8
2014-12-01,45676.7
2015-01-01,42473.6
2015-02-01,40014.3
2015-03-01,45605.4
2015-04-01,42067.0
2015-05-01,41490.8
2015-06-01,45980.2
2015-07-01,43755.7
2015-08-01,44157.7
2015-09-01,45862.0
2015-10-01,43952.4
2015-11-01,42790.7
2015-12-01,45916.3
2016-01-01,43691.0
2016-02-01,41470.9
2016-03-01,43509.1
2016-04-01,40096.6
2016-05-01,40760.4
2016-06-01,42751.2
2016-07-01,39512.3
2016-08-01,43838.3
2016-09-01,44461.9
2016-10-01,44717.2
2016-11-01,46720.7
2016-12-01,45242.0
2017-01-01,44598.0
2017-02-01,42319.7
2017-03-01,49759.8
2017-04-01,45367.2
2017-05-01,50094.6
2017-06-01,48074.6
2017-07-01,40976.0
2017-08-01,43579.4
2017-09-01,42943.5
2017-10-01,45506.1
2017-11-01,46718.1
2017-12-01,46149.6
2018-01-01,45322.2
2018-02-01,42356.7
2018-03-01,49740.1
2018-04-01,47542.0
2018-05-01,50819.0
2018-06-01,52406.5
2018-07-01,49256.1
2018-08-01,50449.4
2018-09-01,48682.1
2018-10-01,51763.0
2018-11-01,49142.0
2018-12-01,46815.4
2019-01-01,45576.3
2019-02-01,42506.7
2019-03-01,51634.8
2019-04-01,49765.4
2019-05-01,55430.2
2019-06-01,50999.7
2019-07-01,48836.3
2019-08-01,49389.5
2019-09-01,49186.9
2019-10-01,50836.4
2019-11-01,48023.9
2019-12-01,49896.2
2020-01-01,46561.2
2020-02-01,44504.5
2020-03-01,48172.6
2020-04-01,32471.8
2020-05-01,34207.2
2020-06-01,41099.5
2020-07-01,43279.8
2020-08-01,43605.0
2020-09-01,46676.8
2020-10-01,47506.6
2020-11-01,46755.2
2020-12-01,47686.9
2021-01-01,47511.1
2021-02-01,45591.6
2021-03-01,53826.6
2021-04-01,48876.8
2021-05-01,49960.1
2021-06-01,55292.2
2021-07-01,51577.9
2021-08-01,53949.5
2021-09-01,52708.3
2021-10-01,55101.7
2021-11-01,58873.2
2021-12-01,58449.3
2022-01-01,54960.9
2022-02-01,54862.9
2022-03-01,68230.4
2022-04-01,63776.9
2022-05-01,73171.1
2022-06-01,71684.7
2022-07-01,66197.5
2022-08-01,67529.3
2022-09-01,66292.2
2022-10-01,66594.9
2022-11-01,64939.9
2022-12-01,65184.8
2023-01-01,65298.5
2023-02-01,58695.6
2023-03-01,69052.5
2023-04-01,61832.3
2023-05-01,66127.9
2023-06-01,61998.8
2023-07-01,58748.9
2023-08-01,64969.9
2023-09-01,64246.4
2023-10-01,67726.0
2023-11-01,66606.4
2023-12-01,62580.7
2024-01-01,60999.3
2024-02-01,61573.2
2024-03-01,64253.1
2024-04-01,64621.7
2024-05-01,65448.0
2024-06-01,65993.8
2024-07-01,66264.4
2024-08-01,62680.3
2024-09-01,64804.9
2024-10-01,68406.5
2024-11-01,65791.7
2024-12-01,70017.3
2025-01-01,73837.2
2025-02-01,65282.6
2025-03-01,71921.5
2025-04-01,60181.4
2025-05-01,61797.0
2025-06-01,61428.1
2025-07-01,62071.8
2025-08-01,57971.4
2025-09-01,64443.6
2025-10-01,67863.8
2025-11-01,62926.3
2025-12-01,68279.6
2026-01-01,60278.2
