date,value
1997-01-01,80.5
1997-02-01,85.1
1997-03-01,69.8
1997-04-01,91.1
1997-05-01,79.3
1997-06-01,73.4
1997-07-01,81.1
1997-08-01,77.0
1997-09-01,99.0
1997-10-01,78.5
1997-11-01,87.7
1997-12-01,83.7
1998-01-01,86.5
1998-02-01,80.0
1998-03-01,94.2
1998-04-01,72.2
1998-05-01,73.7
1998-06-01,87.9
1998-07-01,98.0
1998-08-01,74.4
1998-09-01,73.9
1998-10-01,68.1
1998-11-01,98.5
1998-12-01,68.0
1999-01-01,66.7
1999-02-01,84.0
1999-03-01,82.8
1999-04-01,76.9
1999-05-01,72.0
1999-06-01,80.3
1999-07-01,79.3
1999-08-01,67.4
1999-09-01,132.1
1999-10-01,67.7
1999-11-01,77.7
1999-12-01,107.1
2000-01-01,109.4
2000-02-01,80.4
2000-03-01,135.9
2000-04-01,82.9
2000-05-01,87.4
2000-06-01,133.9
2000-07-01,80.9
2000-08-01,96.8
2000-09-01,121.2
2000-10-01,81.1
2000-11-01,88.5
2000-12-01,98.7
2001-01-01,110.4
2001-02-01,94.8
2001-03-01,115.3
2001-04-01,69.8
2001-05-01,100.8
2001-06-01,75.3
2001-07-01,67.6
2001-08-01,69.7
2001-09-01,85.6
2001-10-01,74.2
2001-11-01,103.5
2001-12-01,112.2
2002-01-01,92.1
2002-02-01,107.2
2002-03-01,63.0
2002-04-01,89.8
2002-05-01,92.8
2002-06-01,90.3
2002-07-01,81.2
2002-08-01,113.1
2002-09-01,98.6
2002-10-01,119.3
2002-11-01,109.7
2002-12-01,113.0
2003-01-01,82.1
2003-02-01,115.8
2003-03-01,156.1
2003-04-01,109.6
2003-05-01,112.7
2003-06-01,151.6
2003-07-01,131.5
2003-08-01,108.1
2003-09-01,111.3
2003-10-01,142.6
2003-11-01,122.2
2003-12-01,128.6
2004-01-01,137.1
2004-02-01,104.4
2004-03-01,126.1
2004-04-01,120.0
2004-05-01,132.4
2004-06-01,134.9
2004-07-01,146.5
2004-08-01,123.7
2004-09-01,122.5
2004-10-01,152.7
2004-11-01,138.9
2004-12-01,136.6
2005-01-01,133.1
2005-02-01,137.7
2005-03-01,142.4
2005-04-01,131.0
2005-05-01,127.0
2005-06-01,134.6
2005-07-01,113.5
2005-08-01,113.4
2005-09-01,157.4
2005-10-01,195.1
2005-11-01,115.0
2005-12-01,138.5
2006-01-01,155.9
2006-02-01,159.0
2006-03-01,177.5
2006-04-01,124.5
2006-05-01,162.5
2006-06-01,161.9
2006-07-01,125.6
2006-08-01,155.0
2006-09-01,128.7
2006-10-01,174.6
2006-11-01,175.6
2006-12-01,140.3
2007-01-01,124.0
2007-02-01,127.1
2007-03-01,162.5
2007-04-01,140.8
2007-05-01,135.8
2007-06-01,144.1
2007-07-01,142.0
2007-08-01,160.9
2007-09-01,148.1
2007-10-01,156.9
2007-11-01,141.0
2007-12-01,163.2
2008-01-01,153.0
2008-02-01,168.5
2008-03-01,139.1
2008-04-01,155.5
2008-05-01,147.5
2008-06-01,217.1
2008-07-01,179.6
2008-08-01,188.0
2008-09-01,227.9
2008-10-01,196.0
2008-11-01,237.4
2008-12-01,131.6
2009-01-01,124.0
2009-02-01,193.6
2009-03-01,118.5
2009-04-01,100.6
2009-05-01,152.4
2009-06-01,117.7
2009-07-01,171.5
2009-08-01,135.9
2009-09-01,165.3
2009-10-01,147.4
2009-11-01,165.5
2009-12-01,180.9
2010-01-01,176.5
2010-02-01,173.0
2010-03-01,148.5
2010-04-01,145.7
2010-05-01,110.8
2010-06-01,216.8
2010-07-01,126.1
2010-08-01,137.7
2010-09-01,131.6
2010-10-01,111.1
2010-11-01,129.7
2010-12-01,144.2
2011-01-01,145.3
2011-02-01,109.2
2011-03-01,179.7
2011-04-01,115.2
2011-05-01,145.0
2011-06-01,146.9
2011-07-01,181.1
2011-08-01,227.1
2011-09-01,147.5
2011-10-01,145.6
2011-11-01,191.1
2011-12-01,164.5
2012-01-01,255.4
2012-02-01,160.0
2012-03-01,158.1
2012-04-01,144.4
