date,value
1997-01-01,230.1
1997-02-01,161.7
1997-03-01,280.7
1997-04-01,221.9
1997-05-01,158.7
1997-06-01,188.5
1997-07-01,172.8
1997-08-01,188.9
1997-09-01,196.5
1997-10-01,184.8
1997-11-01,196.5
1997-12-01,226.1
1998-01-01,207.6
1998-02-01,233.1
1998-03-01,219.7
1998-04-01,248.7
1998-05-01,225.4
1998-06-01,265.2
1998-07-01,155.2
1998-08-01,106.6
1998-09-01,204.3
1998-10-01,231.5
1998-11-01,242.4
1998-12-01,157.9
1999-01-01,150.1
1999-02-01,246.5
1999-03-01,222.3
1999-04-01,152.6
1999-05-01,175.8
1999-06-01,214.7
1999-07-01,166.0
1999-08-01,137.1
1999-09-01,200.5
1999-10-01,265.1
1999-11-01,365.9
1999-12-01,367.4
2000-01-01,282.2
2000-02-01,283.3
2000-03-01,338.7
2000-04-01,253.1
2000-05-01,348.1
2000-06-01,391.8
2000-07-01,310.2
2000-08-01,215.8
2000-09-01,332.4
2000-10-01,344.6
2000-11-01,368.7
2000-12-01,228.7
2001-01-01,255.2
2001-02-01,233.9
2001-03-01,361.1
2001-04-01,437.0
2001-05-01,417.0
2001-06-01,436.2
2001-07-01,291.6
2001-08-01,308.0
2001-09-01,227.1
2001-10-01,377.9
2001-11-01,544.4
2001-12-01,374.8
2002-01-01,290.4
2002-02-01,239.5
2002-03-01,334.0
2002-04-01,317.5
2002-05-01,329.7
2002-06-01,403.2
2002-07-01,320.8
2002-08-01,399.6
2002-09-01,317.1
2002-10-01,335.6
2002-11-01,379.0
2002-12-01,465.9
2003-01-01,357.9
2003-02-01,497.5
2003-03-01,393.0
2003-04-01,365.2
2003-05-01,337.9
2003-06-01,359.6
2003-07-01,369.5
2003-08-01,371.3
2003-09-01,360.8
2003-10-01,452.7
2003-11-01,434.2
2003-12-01,509.8
2004-01-01,394.6
2004-02-01,508.1
2004-03-01,581.2
2004-04-01,623.7
2004-05-01,645.0
2004-06-01,636.6
2004-07-01,555.4
2004-08-01,574.6
2004-09-01,507.9
2004-10-01,635.1
2004-11-01,515.3
2004-12-01,592.4
2005-01-01,584.9
2005-02-01,546.9
2005-03-01,677.8
2005-04-01,602.0
2005-05-01,588.0
2005-06-01,655.4
2005-07-01,534.5
2005-08-01,640.6
2005-09-01,596.2
2005-10-01,580.8
2005-11-01,584.7
2005-12-01,621.8
2006-01-01,457.7
2006-02-01,552.5
2006-03-01,625.3
2006-04-01,496.3
2006-05-01,566.2
2006-06-01,663.4
2006-07-01,605.8
2006-08-01,685.3
2006-09-01,600.7
2006-10-01,838.3
2006-11-01,748.6
2006-12-01,962.4
2007-01-01,746.3
2007-02-01,561.3
2007-03-01,840.0
2007-04-01,833.7
2007-05-01,813.4
2007-06-01,930.9
2007-07-01,910.8
2007-08-01,815.9
2007-09-01,742.7
2007-10-01,749.7
2007-11-01,802.5
2007-12-01,765.0
2008-01-01,824.0
2008-02-01,907.4
2008-03-01,819.2
2008-04-01,942.4
2008-05-01,1121.4
2008-06-01,973.1
2008-07-01,830.9
2008-08-01,930.7
2008-09-01,781.5
2008-10-01,877.9
2008-11-01,726.6
2008-12-01,733.1
2009-01-01,811.9
2009-02-01,930.0
2009-03-01,1141.3
2009-04-01,971.7
2009-05-01,1061.9
2009-06-01,1035.7
2009-07-01,1070.6
2009-08-01,889.7
2009-09-01,685.3
2009-10-01,864.0
2009-11-01,841.2
2009-12-01,848.2
2010-01-01,678.7
2010-02-01,899.2
2010-03-01,1040.7
2010-04-01,1096.6
2010-05-01,953.9
2010-06-01,1078.7
2010-07-01,1056.6
2010-08-01,920.6
2010-09-01,1028.2
2010-10-01,1212.7
2010-11-01,1492.4
2010-12-01,1773.8
2011-01-01,994.8
2011-02-01,1036.2
2011-03-01,1347.5
2011-04-01,1050.4
2011-05-01,1411.8
2011-06-01,1530.3
2011-07-01,1289.4
2011-08-01,1386.4
2011-09-01,1554.1
2011-10-01,1572.9
2011-11-01,1748.4
2011-12-01,1887.9
2012-01-01,1307.6
2012-02-01,1289.8
2012-03-01,1710.3
2012-04-01,1555.1
2012-05-01,1833.9
2012-06-01,1617.2
2012-07-01,1513.0
2012-08-01,1401.8
2012-09-01,1489.7
2012-10-01,2073.4
2012-11-01,1611.8
2012-12-01,1962.8
2013-01-01,1497.8
2013-02-01,1628.3
2013-03-01,1945.9
2013-04-01,1568.9
2013-05-01,1796.9
2013-06-01,1544.8
2013-07-01,1341.4
2013-08-01,1475.6
2013-09-01,1661.4
2013-10-01,2069.4
2013-11-01,1997.9
2013-12-01,1963.3
2014-01-01,1333.4
2014-02-01,1332.8
2014-03-01,1682.5
2014-04-01,1631.7
2014-05-01,1804.7
2014-06-01,1708.9
2014-07-01,1557.1
2014-08-01,1579.9
2014-09-01,1610.8
2014-10-01,1743.5
2014-11-01,1551.6
2014-12-01,1758.1
2015-01-01,1277.4
2015-02-01,1412.5
2015-03-01,1695.6
2015-04-01,1850.4
2015-05-01,1720.1
2015-06-01,1727.5
2015-07-01,1751.3
2015-08-01,1673.5
2015-09-01,1593.6
2015-10-01,1819.3
2015-11-01,1800.0
2015-12-01,1859.1
2016-01-01,1609.0
2016-02-01,1640.9
2016-03-01,1776.3
2016-04-01,1550.8
2016-05-01,1561.0
2016-06-01,1652.7
2016-07-01,1599.4
2016-08-01,1769.7
2016-09-01,1552.0
2016-10-01,1876.2
2016-11-01,2089.7
2016-12-01,2295.1
2017-01-01,2045.4
2017-02-01,1706.9
2017-03-01,2367.4
2017-04-01,1916.5
2017-05-01,1882.8
2017-06-01,1884.2
2017-07-01,1829.2
2017-08-01,1708.7
2017-09-01,1909.7
2017-10-01,1973.8
2017-11-01,2154.1
2017-12-01,2231.9
2018-01-01,1562.1
2018-02-01,1728.6
2018-03-01,2226.9
2018-04-01,2176.3
2018-05-01,2316.8
2018-06-01,2203.6
2018-07-01,2150.9
2018-08-01,2029.9
2018-09-01,2608.0
2018-10-01,2854.7
2018-11-01,2743.9
2018-12-01,3091.9
2019-01-01,1835.3
2019-02-01,1775.7
2019-03-01,2148.1
2019-04-01,2031.3
2019-05-01,2194.6
2019-06-01,2099.1
2019-07-01,1643.1
2019-08-01,1880.0
2019-09-01,1927.4
2019-10-01,1697.1
2019-11-01,1738.0
2019-12-01,2314.8
2020-01-01,1658.9
2020-02-01,1478.9
2020-03-01,1880.2
2020-04-01,2000.4
2020-05-01,2485.8
2020-06-01,2469.4
2020-07-01,2050.3
2020-08-01,2026.0
2020-09-01,2229.0
2020-10-01,2251.6
2020-11-01,2129.0
2020-12-01,2636.1
2021-01-01,2190.4
2021-02-01,1897.7
2021-03-01,2711.3
2021-04-01,2330.7
2021-05-01,2615.1
2021-06-01,2720.9
2021-07-01,1925.1
2021-08-01,2125.3
2021-09-01,2236.4
2021-10-01,2810.8
2021-11-01,2326.0
2021-12-01,2227.1
2022-01-01,1776.5
2022-02-01,1733.8
2022-03-01,2287.1
2022-04-01,1980.6
2022-05-01,2112.2
2022-06-01,2432.8
2022-07-01,1940.2
2022-08-01,2236.4
2022-09-01,2624.1
2022-10-01,3581.3
2022-11-01,3243.9
2022-12-01,2778.7
2023-01-01,2631.8
2023-02-01,2567.1
2023-03-01,3145.1
2023-04-01,2273.1
2023-05-01,2342.3
2023-06-01,1909.1
2023-07-01,2036.8
2023-08-01,2111.5
2023-09-01,2617.0
2023-10-01,2790.5
2023-11-01,2910.5
2023-12-01,2834.7
2024-01-01,1989.8
2024-02-01,2185.7
2024-03-01,2641.0
2024-04-01,2134.7
2024-05-01,2578.1
2024-06-01,2758.3
2024-07-01,2316.8
2024-08-01,2446.7
2024-09-01,2595.8
2024-10-01,3066.2
2024-11-01,2746.8
2024-12-01,2543.4
2025-01-01,2781.1
2025-02-01,2399.9
2025-03-01,3140.3
2025-04-01,2818.2
2025-05-01,2412.9
2025-06-01,2840.4
2025-07-01,2422.0
2025-08-01,2526.0
2025-09-01,2601.9
2025-10-01,3902.0
2025-11-01,3966.8
2025-12-01,3222.8
2026-01-01,2767.0
2026-02-01,3260.5
2026-03-01,3663.8
2026-04-01,3744.2
2026-05-01,4081.4
2026-06-01,4027.6
