date,value
1997-01-01,223.9
1997-02-01,185.4
1997-03-01,229.4
1997-04-01,241.2
1997-05-01,224.8
1997-06-01,240.8
1997-07-01,217.1
1997-08-01,232.4
1997-09-01,216.8
1997-10-01,253.9
1997-11-01,217.2
1997-12-01,251.7
1998-01-01,242.3
1998-02-01,227.4
1998-03-01,213.8
1998-04-01,236.9
1998-05-01,211.5
1998-06-01,216.0
1998-07-01,218.9
1998-08-01,248.4
1998-09-01,223.6
1998-10-01,249.8
1998-11-01,197.6
1998-12-01,228.6
1999-01-01,199.5
1999-02-01,170.7
1999-03-01,224.2
1999-04-01,205.5
1999-05-01,179.7
1999-06-01,181.9
1999-07-01,175.1
1999-08-01,227.5
1999-09-01,201.9
1999-10-01,222.5
1999-11-01,217.4
1999-12-01,209.1
2000-01-01,172.3
2000-02-01,253.9
2000-03-01,271.5
2000-04-01,204.5
2000-05-01,321.4
2000-06-01,300.9
2000-07-01,260.1
2000-08-01,247.2
2000-09-01,251.5
2000-10-01,283.9
2000-11-01,272.4
2000-12-01,314.9
2001-01-01,256.9
2001-02-01,215.5
2001-03-01,282.1
2001-04-01,271.2
2001-05-01,227.3
2001-06-01,233.0
2001-07-01,235.7
2001-08-01,168.7
2001-09-01,159.7
2001-10-01,342.9
2001-11-01,308.6
2001-12-01,228.5
2002-01-01,249.3
2002-02-01,309.2
2002-03-01,249.0
2002-04-01,339.2
2002-05-01,235.2
2002-06-01,248.2
2002-07-01,245.0
2002-08-01,262.5
2002-09-01,200.6
2002-10-01,233.5
2002-11-01,188.8
2002-12-01,194.6
2003-01-01,346.8
2003-02-01,261.8
2003-03-01,220.0
2003-04-01,289.8
2003-05-01,235.2
2003-06-01,238.8
2003-07-01,190.2
2003-08-01,219.8
2003-09-01,192.1
2003-10-01,260.3
2003-11-01,263.2
2003-12-01,194.0
2004-01-01,234.9
2004-02-01,214.8
2004-03-01,222.6
2004-04-01,217.4
2004-05-01,228.8
2004-06-01,252.6
2004-07-01,226.6
