date,value
1997-01-01,126.5
1997-02-01,112.3
1997-03-01,163.4
1997-04-01,118.4
1997-05-01,135.3
1997-06-01,145.2
1997-07-01,204.5
1997-08-01,132.9
1997-09-01,142.6
1997-10-01,113.4
1997-11-01,145.7
1997-12-01,129.0
1998-01-01,150.9
1998-02-01,142.9
1998-03-01,221.1
1998-04-01,129.3
1998-05-01,125.6
1998-06-01,143.9
1998-07-01,99.2
1998-08-01,128.0
1998-09-01,114.3
1998-10-01,162.7
1998-11-01,119.4
1998-12-01,154.7
1999-01-01,127.8
1999-02-01,115.9
1999-03-01,209.3
1999-04-01,137.8
1999-05-01,138.2
1999-06-01,240.7
1999-07-01,113.2
1999-08-01,142.8
1999-09-01,174.2
1999-10-01,173.3
1999-11-01,141.6
1999-12-01,175.5
2000-01-01,136.4
2000-02-01,161.7
2000-03-01,213.1
2000-04-01,145.8
2000-05-01,145.4
2000-06-01,157.5
2000-07-01,143.4
2000-08-01,143.5
2000-09-01,149.1
2000-10-01,163.5
2000-11-01,165.6
2000-12-01,175.7
2001-01-01,172.4
2001-02-01,201.8
2001-03-01,265.1
2001-04-01,164.2
2001-05-01,234.0
2001-06-01,150.7
2001-07-01,157.5
2001-08-01,178.3
2001-09-01,184.6
2001-10-01,133.9
2001-11-01,162.7
2001-12-01,165.9
2002-01-01,185.7
2002-02-01,155.0
2002-03-01,169.0
2002-04-01,172.6
2002-05-01,139.9
2002-06-01,138.9
2002-07-01,132.8
2002-08-01,152.5
2002-09-01,161.0
2002-10-01,246.9
2002-11-01,169.3
2002-12-01,179.3
2003-01-01,143.7
2003-02-01,171.0
2003-03-01,219.5
2003-04-01,248.5
2003-05-01,136.3
2003-06-01,200.2
2003-07-01,129.3
2003-08-01,166.8
2003-09-01,174.8
2003-10-01,182.8
2003-11-01,221.3
2003-12-01,196.4
2004-01-01,105.7
2004-02-01,192.4
2004-03-01,196.3
2004-04-01,209.1
2004-05-01,185.4
2004-06-01,209.2
2004-07-01,182.0
2004-08-01,206.0
2004-09-01,245.8
2004-10-01,229.1
2004-11-01,214.5
2004-12-01,207.5
2005-01-01,186.2
2005-02-01,197.5
2005-03-01,186.9
2005-04-01,230.3
2005-05-01,217.4
2005-06-01,213.3
2005-07-01,234.3
2005-08-01,184.5
