date,value
1997-01-01,295.3
1997-02-01,311.1
1997-03-01,364.6
1997-04-01,377.6
1997-05-01,349.4
1997-06-01,303.0
1997-07-01,287.7
1997-08-01,273.4
1997-09-01,296.4
1997-10-01,339.2
1997-11-01,350.9
1997-12-01,319.9
1998-01-01,306.4
1998-02-01,348.0
1998-03-01,387.0
1998-04-01,354.4
1998-05-01,409.1
1998-06-01,348.6
1998-07-01,376.5
1998-08-01,341.6
1998-09-01,352.6
1998-10-01,432.7
1998-11-01,378.1
1998-12-01,377.6
1999-01-01,377.4
1999-02-01,328.9
1999-03-01,390.9
1999-04-01,371.3
1999-05-01,351.0
1999-06-01,399.4
1999-07-01,374.4
1999-08-01,340.0
1999-09-01,408.7
1999-10-01,509.1
1999-11-01,509.5
1999-12-01,467.1
2000-01-01,434.7
2000-02-01,448.7
2000-03-01,505.6
2000-04-01,458.3
2000-05-01,527.5
2000-06-01,482.4
2000-07-01,441.7
2000-08-01,482.4
2000-09-01,434.8
2000-10-01,537.1
2000-11-01,501.2
2000-12-01,492.5
2001-01-01,437.7
2001-02-01,399.7
2001-03-01,602.4
2001-04-01,411.7
2001-05-01,416.9
2001-06-01,441.4
2001-07-01,422.3
2001-08-01,379.2
2001-09-01,377.1
2001-10-01,393.0
2001-11-01,434.7
2001-12-01,342.7
2002-01-01,376.3
2002-02-01,366.0
2002-03-01,398.7
2002-04-01,390.0
2002-05-01,396.9
2002-06-01,393.9
2002-07-01,379.2
2002-08-01,286.6
2002-09-01,342.5
2002-10-01,354.1
2002-11-01,425.7
2002-12-01,321.0
2003-01-01,504.7
2003-02-01,503.1
2003-03-01,548.3
2003-04-01,375.8
2003-05-01,624.2
2003-06-01,447.0
2003-07-01,462.9
2003-08-01,456.4
2003-09-01,371.6
2003-10-01,585.0
2003-11-01,654.9
2003-12-01,555.9
2004-01-01,632.4
2004-02-01,570.9
2004-03-01,576.7
2004-04-01,591.8
2004-05-01,479.8
2004-06-01,724.8
2004-07-01,778.3
2004-08-01,685.5
2004-09-01,707.1
2004-10-01,694.6
2004-11-01,692.6
2004-12-01,602.7
2005-01-01,705.9
2005-02-01,721.2
2005-03-01,675.5
2005-04-01,607.7
2005-05-01,630.5
2005-06-01,624.2
2005-07-01,735.1
2005-08-01,731.1
2005-09-01,598.8
2005-10-01,704.9
2005-11-01,762.2
2005-12-01,758.4
2006-01-01,914.3
2006-02-01,726.6
2006-03-01,852.8
2006-04-01,642.4
2006-05-01,994.3
2006-06-01,889.9
2006-07-01,703.3
2006-08-01,889.2
2006-09-01,845.4
2006-10-01,787.8
2006-11-01,1073.1
2006-12-01,818.1
2007-01-01,1105.6
2007-02-01,1016.6
2007-03-01,1065.1
2007-04-01,1228.9
2007-05-01,1278.8
2007-06-01,1375.4
2007-07-01,1009.5
2007-08-01,951.8
2007-09-01,770.9
2007-10-01,984.3
2007-11-01,1172.6
2007-12-01,829.1
2008-01-01,1235.3
2008-02-01,1161.9
2008-03-01,969.1
2008-04-01,1022.6
2008-05-01,1316.3
2008-06-01,984.5
2008-07-01,1193.0
2008-08-01,1093.6
2008-09-01,1000.0
2008-10-01,1202.5
2008-11-01,678.3
2008-12-01,1138.9
2009-01-01,970.1
2009-02-01,892.5
2009-03-01,1327.6
2009-04-01,854.1
2009-05-01,1103.5
2009-06-01,836.5
2009-07-01,850.7
2009-08-01,703.7
2009-09-01,1229.5
2009-10-01,1236.9
2009-11-01,1233.6
2009-12-01,813.1
2010-01-01,1193.5
2010-02-01,1113.2
2010-03-01,1741.5
2010-04-01,920.5
2010-05-01,1269.7
2010-06-01,889.2
2010-07-01,1291.2
2010-08-01,1444.3
2010-09-01,1368.6
2010-10-01,1469.4
2010-11-01,2000.9
2010-12-01,1665.4
2011-01-01,1615.4
2011-02-01,1202.6
2011-03-01,1479.4
2011-04-01,1133.8
2011-05-01,1662.7
2011-06-01,1500.8
2011-07-01,1551.0
2011-08-01,1994.3
2011-09-01,1777.2
2011-10-01,1246.8
2011-11-01,1863.6
2011-12-01,1764.2
2012-01-01,1542.6
2012-02-01,1830.4
2012-03-01,1650.9
2012-04-01,1594.7
2012-05-01,1605.4
2012-06-01,1496.9
2012-07-01,1535.2
2012-08-01,1620.1
2012-09-01,1702.7
2012-10-01,1715.2
2012-11-01,1162.8
2012-12-01,1302.5
2013-01-01,1665.1
2013-02-01,1780.7
2013-03-01,1341.5
2013-04-01,1332.9
2013-05-01,893.5
2013-06-01,1393.8
2013-07-01,866.4
2013-08-01,724.0
2013-09-01,1223.8
2013-10-01,760.5
2013-11-01,1079.8
2013-12-01,897.9
2014-01-01,806.0
2014-02-01,1186.3
2014-03-01,1399.9
2014-04-01,708.9
2014-05-01,956.9
2014-06-01,1423.8
2014-07-01,1729.9
2014-08-01,1319.0
2014-09-01,1555.6
2014-10-01,1742.6
2014-11-01,984.6
2014-12-01,1408.5
2015-01-01,1763.3
2015-02-01,1241.1
2015-03-01,1371.1
2015-04-01,1272.9
2015-05-01,942.9
2015-06-01,1522.4
2015-07-01,1502.2
2015-08-01,999.2
2015-09-01,1070.9
2015-10-01,1551.1
2015-11-01,1347.5
2015-12-01,1368.6
2016-01-01,1333.8
2016-02-01,1387.4
2016-03-01,1764.6
2016-04-01,1517.2
2016-05-01,807.9
2016-06-01,1059.8
2016-07-01,1430.1
2016-08-01,1792.1
2016-09-01,1947.6
2016-10-01,1496.1
2016-11-01,1273.6
2016-12-01,1287.7
2017-01-01,1278.6
2017-02-01,1494.6
2017-03-01,1487.3
2017-04-01,1326.1
2017-05-01,2000.3
2017-06-01,1499.7
2017-07-01,1301.7
2017-08-01,1637.9
2017-09-01,1664.1
2017-10-01,1424.6
2017-11-01,1207.4
2017-12-01,1372.2
2018-01-01,2028.6
2018-02-01,1057.8
2018-03-01,1631.1
2018-04-01,1371.6
2018-05-01,1324.4
2018-06-01,1220.0
2018-07-01,1686.4
2018-08-01,1118.2
2018-09-01,1218.1
2018-10-01,1124.2
2018-11-01,1552.5
2018-12-01,1272.8
2019-01-01,2035.4
2019-02-01,1298.4
2019-03-01,1728.0
2019-04-01,1743.2
2019-05-01,1195.0
2019-06-01,1417.9
2019-07-01,1354.3
2019-08-01,1496.8
2019-09-01,1801.1
2019-10-01,1839.7
2019-11-01,2227.9
2019-12-01,1664.2
2020-01-01,1909.2
2020-02-01,1500.8
2020-03-01,1136.0
2020-04-01,1153.9
2020-05-01,1042.8
2020-06-01,1877.7
2020-07-01,1528.1
2020-08-01,1211.5
2020-09-01,1618.5
2020-10-01,1846.7
2020-11-01,2733.4
2020-12-01,2365.3
2021-01-01,2050.7
2021-02-01,1639.6
2021-03-01,1470.3
2021-04-01,1336.2
2021-05-01,1095.4
2021-06-01,1193.3
2021-07-01,1561.4
2021-08-01,999.7
2021-09-01,1440.3
2021-10-01,1110.0
2021-11-01,1352.4
2021-12-01,1379.6
2022-01-01,1594.8
2022-02-01,2117.9
2022-03-01,1784.2
2022-04-01,1147.9
2022-05-01,4288.1
2022-06-01,2092.6
2022-07-01,1772.2
2022-08-01,1618.5
2022-09-01,1766.6
2022-10-01,1036.0
2022-11-01,2002.3
2022-12-01,1453.1
2023-01-01,1687.6
2023-02-01,1215.7
2023-03-01,1751.9
2023-04-01,947.3
2023-05-01,709.7
2023-06-01,815.2
2023-07-01,1116.4
2023-08-01,1210.8
2023-09-01,1080.0
2023-10-01,1216.7
2023-11-01,1392.2
2023-12-01,2085.8
2024-01-01,1667.5
2024-02-01,2321.6
2024-03-01,2063.7
2024-04-01,2343.3
2024-05-01,1244.0
2024-06-01,2910.6
2024-07-01,2333.1
2024-08-01,3139.4
2024-09-01,2361.6
2024-10-01,3002.5
2024-11-01,2888.7
2024-12-01,2482.0
2025-01-01,2402.1
2025-02-01,1730.2
2025-03-01,3382.0
2025-04-01,3683.0
2025-05-01,5278.2
2025-06-01,4175.1
2025-07-01,3111.4
2025-08-01,3216.4
2025-09-01,3126.1
2025-10-01,5723.6
2025-11-01,4646.9
2025-12-01,6229.8
2026-01-01,5256.4
2026-02-01,6206.4
2026-03-01,8382.4
2026-04-01,6650.3
2026-05-01,5427.6
2026-06-01,7024.1
