date,value
1997-01-01,197.6
1997-02-01,151.8
1997-03-01,137.3
1997-04-01,137.2
1997-05-01,141.8
1997-06-01,153.7
1997-07-01,133.4
1997-08-01,110.3
1997-09-01,103.5
1997-10-01,163.0
1997-11-01,179.7
1997-12-01,142.0
1998-01-01,161.1
1998-02-01,115.4
1998-03-01,129.8
1998-04-01,138.7
1998-05-01,115.1
1998-06-01,116.2
1998-07-01,117.5
1998-08-01,93.5
1998-09-01,88.8
1998-10-01,104.1
1998-11-01,122.1
1998-12-01,123.5
1999-01-01,87.7
1999-02-01,89.1
1999-03-01,97.2
1999-04-01,98.7
1999-05-01,107.4
1999-06-01,110.1
1999-07-01,89.5
1999-08-01,78.8
1999-09-01,89.9
1999-10-01,96.3
1999-11-01,108.2
1999-12-01,89.5
2000-01-01,91.1
2000-02-01,109.5
2000-03-01,122.4
2000-04-01,99.5
2000-05-01,133.7
2000-06-01,127.8
2000-07-01,106.7
2000-08-01,132.4
2000-09-01,119.6
2000-10-01,142.8
2000-11-01,127.0
2000-12-01,124.5
2001-01-01,114.5
2001-02-01,82.2
2001-03-01,143.8
2001-04-01,91.4
2001-05-01,99.9
2001-06-01,114.4
2001-07-01,100.1
2001-08-01,111.3
2001-09-01,95.6
2001-10-01,96.0
2001-11-01,97.7
2001-12-01,94.7
2002-01-01,78.2
2002-02-01,85.8
2002-03-01,110.3
2002-04-01,127.6
2002-05-01,91.8
2002-06-01,152.5
2002-07-01,80.5
2002-08-01,80.3
2002-09-01,76.5
2002-10-01,93.9
2002-11-01,112.6
2002-12-01,116.3
2003-01-01,84.6
2003-02-01,90.4
2003-03-01,141.7
2003-04-01,96.3
2003-05-01,87.2
2003-06-01,83.8
2003-07-01,95.1
2003-08-01,88.2
2003-09-01,99.8
2003-10-01,95.3
2003-11-01,98.1
2003-12-01,115.2
2004-01-01,86.7
2004-02-01,106.1
2004-03-01,153.3
2004-04-01,118.0
2004-05-01,113.3
2004-06-01,150.9
2004-07-01,95.8
2004-08-01,108.8
2004-09-01,120.8
2004-10-01,107.2
2004-11-01,113.0
2004-12-01,115.5
2005-01-01,83.7
2005-02-01,108.5
2005-03-01,171.3
2005-04-01,135.3
2005-05-01,119.4
2005-06-01,141.1
2005-07-01,88.7
2005-08-01,113.8
2005-09-01,115.3
2005-10-01,121.6
2005-11-01,127.2
2005-12-01,124.4
2006-01-01,104.5
2006-02-01,116.1
2006-03-01,212.0
2006-04-01,102.8
2006-05-01,120.8
2006-06-01,182.3
2006-07-01,95.9
2006-08-01,116.1
2006-09-01,118.6
2006-10-01,139.9
2006-11-01,145.5
2006-12-01,154.6
2007-01-01,123.0
2007-02-01,106.3
2007-03-01,171.3
2007-04-01,131.0
2007-05-01,99.7
2007-06-01,165.9
2007-07-01,137.5
2007-08-01,119.2
2007-09-01,105.7
2007-10-01,122.8
2007-11-01,117.8
2007-12-01,150.8
2008-01-01,91.5
2008-02-01,104.1
2008-03-01,187.6
2008-04-01,165.6
2008-05-01,172.1
2008-06-01,155.3
2008-07-01,133.6
2008-08-01,132.7
2008-09-01,177.7
2008-10-01,123.8
2008-11-01,175.0
2008-12-01,151.9
2009-01-01,142.7
2009-02-01,113.9
2009-03-01,147.7
2009-04-01,111.4
2009-05-01,121.1
2009-06-01,132.7
2009-07-01,172.9
2009-08-01,81.9
2009-09-01,101.2
2009-10-01,108.1
2009-11-01,113.0
2009-12-01,147.2
2010-01-01,146.2
2010-02-01,128.0
2010-03-01,172.2
2010-04-01,161.3
2010-05-01,123.6
2010-06-01,164.5
2010-07-01,137.4
2010-08-01,157.1
2010-09-01,136.7
2010-10-01,165.1
2010-11-01,150.3
2010-12-01,237.6
2011-01-01,360.9
2011-02-01,361.1
2011-03-01,257.6
2011-04-01,144.9
2011-05-01,130.9
2011-06-01,185.5
2011-07-01,257.7
2011-08-01,159.2
2011-09-01,133.8
2011-10-01,270.0
2011-11-01,381.1
2011-12-01,324.1
2012-01-01,162.4
2012-02-01,133.7
