date,value
1997-01-01,60.9
1997-02-01,50.9
1997-03-01,75.4
1997-04-01,107.8
1997-05-01,75.5
1997-06-01,43.6
1997-07-01,80.4
1997-08-01,81.0
1997-09-01,82.9
1997-10-01,57.5
1997-11-01,42.0
1997-12-01,43.5
1998-01-01,53.1
1998-02-01,25.0
1998-03-01,48.1
1998-04-01,55.2
1998-05-01,46.0
1998-06-01,31.8
1998-07-01,37.2
1998-08-01,53.6
1998-09-01,44.1
1998-10-01,59.2
1998-11-01,49.4
1998-12-01,43.6
1999-01-01,29.6
1999-02-01,39.4
1999-03-01,31.0
1999-04-01,23.7
1999-05-01,72.0
1999-06-01,53.1
1999-07-01,50.9
1999-08-01,20.8
1999-09-01,52.5
1999-10-01,71.8
1999-11-01,58.0
1999-12-01,42.1
2000-01-01,54.7
2000-02-01,61.5
2000-03-01,69.5
2000-04-01,74.0
2000-05-01,53.0
2000-06-01,82.1
2000-07-01,51.3
2000-08-01,63.3
2000-09-01,64.2
2000-10-01,39.7
2000-11-01,53.6
2000-12-01,38.7
2001-01-01,41.5
2001-02-01,41.1
2001-03-01,32.8
2001-04-01,35.1
2001-05-01,44.0
2001-06-01,41.9
2001-07-01,65.9
2001-08-01,28.6
2001-09-01,24.5
2001-10-01,38.8
2001-11-01,19.9
2001-12-01,52.6
2002-01-01,44.1
2002-02-01,33.7
2002-03-01,49.0
2002-04-01,39.3
2002-05-01,46.9
2002-06-01,52.6
2002-07-01,33.7
2002-08-01,36.6
2002-09-01,25.5
2002-10-01,45.4
2002-11-01,31.3
2002-12-01,54.8
2003-01-01,26.9
2003-02-01,23.8
2003-03-01,36.8
2003-04-01,26.3
2003-05-01,44.1
2003-06-01,34.5
2003-07-01,37.5
2003-08-01,51.6
2003-09-01,28.8
2003-10-01,40.4
2003-11-01,36.3
2003-12-01,68.4
2004-01-01,45.4
2004-02-01,50.1
2004-03-01,60.7
2004-04-01,67.6
2004-05-01,65.9
2004-06-01,55.1
2004-07-01,69.9
2004-08-01,62.8
2004-09-01,50.1
2004-10-01,45.1
2004-11-01,57.6
2004-12-01,38.5
2005-01-01,49.1
2005-02-01,61.0
2005-03-01,82.6
2005-04-01,57.4
2005-05-01,62.4
2005-06-01,63.4
2005-07-01,59.8
2005-08-01,55.6
2005-09-01,60.1
2005-10-01,39.9
2005-11-01,55.6
2005-12-01,46.3
2006-01-01,58.7
2006-02-01,53.7
2006-03-01,62.0
2006-04-01,50.2
2006-05-01,84.0
2006-06-01,63.5
2006-07-01,65.9
2006-08-01,89.2
2006-09-01,59.9
2006-10-01,45.6
2006-11-01,60.7
2006-12-01,104.0
2007-01-01,64.0
2007-02-01,73.2
2007-03-01,53.0
2007-04-01,74.0
2007-05-01,80.2
2007-06-01,67.4
2007-07-01,113.1
2007-08-01,77.3
2007-09-01,74.9
2007-10-01,72.6
2007-11-01,126.2
2007-12-01,113.5
2008-01-01,87.6
2008-02-01,113.1
2008-03-01,158.3
2008-04-01,133.8
2008-05-01,170.4
2008-06-01,108.6
2008-07-01,118.1
2008-08-01,136.6
2008-09-01,150.9
2008-10-01,69.7
2008-11-01,149.8
2008-12-01,70.3
2009-01-01,49.4
2009-02-01,95.5
2009-03-01,73.6
2009-04-01,90.8
2009-05-01,96.0
2009-06-01,116.0
2009-07-01,73.2
2009-08-01,120.4
2009-09-01,31.0
2009-10-01,55.5
2009-11-01,76.4
2009-12-01,92.9
2010-01-01,52.5
2010-02-01,86.7
2010-03-01,72.9
2010-04-01,116.7
2010-05-01,69.2
2010-06-01,107.7
2010-07-01,72.7
2010-08-01,79.5
2010-09-01,64.0
2010-10-01,87.1
2010-11-01,126.3
2010-12-01,126.3
2011-01-01,139.3
2011-02-01,116.4
2011-03-01,150.2
2011-04-01,99.9
2011-05-01,146.0
2011-06-01,157.2
2011-07-01,132.9
2011-08-01,169.7
2011-09-01,170.7
2011-10-01,142.3
2011-11-01,89.9
2011-12-01,130.2
2012-01-01,111.3
2012-02-01,139.7
2012-03-01,129.1
2012-04-01,153.6
2012-05-01,174.7
2012-06-01,126.1
2012-07-01,126.4
2012-08-01,150.6
