date,value
1997-01-01,36.2
1997-02-01,24.6
1997-03-01,49.8
1997-04-01,64.2
1997-05-01,43.8
1997-06-01,38.5
1997-07-01,52.0
1997-08-01,46.3
1997-09-01,27.0
1997-10-01,39.6
1997-11-01,37.6
1997-12-01,31.2
1998-01-01,35.2
1998-02-01,26.1
1998-03-01,38.3
1998-04-01,29.3
1998-05-01,38.2
1998-06-01,30.2
1998-07-01,23.6
1998-08-01,45.6
1998-09-01,26.5
1998-10-01,30.2
1998-11-01,37.5
1998-12-01,58.9
1999-01-01,46.0
1999-02-01,31.5
1999-03-01,42.3
1999-04-01,44.3
1999-05-01,30.0
1999-06-01,36.3
1999-07-01,39.6
1999-08-01,29.1
1999-09-01,58.4
1999-10-01,54.4
1999-11-01,27.5
1999-12-01,41.9
2000-01-01,46.3
2000-02-01,47.7
2000-03-01,31.6
2000-04-01,49.6
2000-05-01,35.0
2000-06-01,31.9
2000-07-01,45.3
2000-08-01,38.4
2000-09-01,37.4
2000-10-01,63.2
2000-11-01,72.1
2000-12-01,60.9
2001-01-01,63.9
2001-02-01,59.9
2001-03-01,42.7
2001-04-01,66.6
2001-05-01,87.6
2001-06-01,67.7
2001-07-01,47.6
2001-08-01,42.2
2001-09-01,53.2
2001-10-01,46.1
2001-11-01,40.3
2001-12-01,58.6
2002-01-01,36.3
2002-02-01,58.5
2002-03-01,23.1
2002-04-01,34.5
2002-05-01,78.2
2002-06-01,84.6
2002-07-01,94.4
2002-08-01,27.8
2002-09-01,43.4
2002-10-01,66.2
2002-11-01,46.3
2002-12-01,82.0
2003-01-01,45.9
2003-02-01,38.6
2003-03-01,55.3
2003-04-01,47.0
2003-05-01,129.0
2003-06-01,62.0
2003-07-01,57.2
2003-08-01,45.8
2003-09-01,67.2
2003-10-01,55.5
2003-11-01,85.8
2003-12-01,74.0
2004-01-01,61.4
2004-02-01,37.2
2004-03-01,56.4
2004-04-01,44.2
2004-05-01,77.9
2004-06-01,81.7
2004-07-01,74.0
2004-08-01,63.0
2004-09-01,90.5
2004-10-01,84.8
2004-11-01,94.6
2004-12-01,95.8
2005-01-01,63.7
2005-02-01,87.6
2005-03-01,76.7
2005-04-01,73.5
2005-05-01,73.1
2005-06-01,85.2
2005-07-01,69.8
2005-08-01,113.9
2005-09-01,123.0
2005-10-01,109.6
2005-11-01,128.1
2005-12-01,82.8
2006-01-01,61.5
2006-02-01,68.1
2006-03-01,108.7
2006-04-01,148.4
2006-05-01,90.8
2006-06-01,76.6
2006-07-01,173.2
2006-08-01,139.3
2006-09-01,206.6
2006-10-01,260.2
2006-11-01,187.3
2006-12-01,154.1
2007-01-01,94.9
2007-02-01,96.2
2007-03-01,101.6
2007-04-01,127.9
2007-05-01,168.1
2007-06-01,140.7
2007-07-01,141.9
2007-08-01,140.7
2007-09-01,240.1
2007-10-01,187.7
2007-11-01,222.4
2007-12-01,129.7
2008-01-01,163.9
2008-02-01,131.4
2008-03-01,134.1
2008-04-01,157.4
2008-05-01,141.2
2008-06-01,171.2
2008-07-01,178.0
2008-08-01,113.4
2008-09-01,357.5
2008-10-01,333.8
2008-11-01,316.0
2008-12-01,220.2
2009-01-01,104.8
2009-02-01,134.8
2009-03-01,226.3
2009-04-01,112.0
2009-05-01,111.4
2009-06-01,142.7
2009-07-01,196.2
2009-08-01,200.0
2009-09-01,234.4
2009-10-01,272.3
