date,value
1997-01-01,1015.9
1997-02-01,986.8
1997-03-01,1154.3
1997-04-01,1007.8
1997-05-01,918.7
1997-06-01,911.8
1997-07-01,997.4
1997-08-01,871.8
1997-09-01,839.3
1997-10-01,891.5
1997-11-01,734.3
1997-12-01,837.1
1998-01-01,614.5
1998-02-01,743.0
1998-03-01,772.3
1998-04-01,639.7
1998-05-01,757.9
1998-06-01,737.2
1998-07-01,792.2
1998-08-01,723.4
1998-09-01,799.7
1998-10-01,618.0
1998-11-01,724.6
1998-12-01,711.9
1999-01-01,686.1
1999-02-01,632.6
1999-03-01,721.5
1999-04-01,622.4
1999-05-01,843.1
1999-06-01,815.5
1999-07-01,662.3
1999-08-01,641.4
1999-09-01,768.4
1999-10-01,734.4
1999-11-01,691.5
1999-12-01,754.1
2000-01-01,705.1
2000-02-01,639.2
2000-03-01,800.7
2000-04-01,707.5
2000-05-01,917.2
2000-06-01,863.8
2000-07-01,733.8
2000-08-01,722.9
2000-09-01,778.4
2000-10-01,773.1
2000-11-01,822.2
2000-12-01,819.7
2001-01-01,776.6
2001-02-01,666.6
2001-03-01,784.9
2001-04-01,651.4
2001-05-01,801.6
2001-06-01,735.4
2001-07-01,702.0
2001-08-01,583.3
2001-09-01,649.1
2001-10-01,667.7
2001-11-01,702.7
2001-12-01,618.3
2002-01-01,563.1
2002-02-01,548.9
2002-03-01,723.9
2002-04-01,601.9
2002-05-01,810.7
2002-06-01,730.9
2002-07-01,673.6
2002-08-01,721.4
2002-09-01,626.4
2002-10-01,826.4
2002-11-01,773.1
2002-12-01,759.4
2003-01-01,750.5
2003-02-01,693.0
2003-03-01,738.3
2003-04-01,748.0
2003-05-01,694.3
2003-06-01,724.9
2003-07-01,636.8
2003-08-01,625.0
2003-09-01,657.6
2003-10-01,634.2
2003-11-01,601.8
2003-12-01,688.2
2004-01-01,596.1
2004-02-01,623.6
2004-03-01,732.0
2004-04-01,637.5
2004-05-01,877.3
2004-06-01,931.8
2004-07-01,742.8
2004-08-01,723.4
2004-09-01,674.2
2004-10-01,643.9
2004-11-01,703.9
2004-12-01,674.2
2005-01-01,638.3
2005-02-01,674.9
2005-03-01,750.0
2005-04-01,689.5
2005-05-01,761.5
2005-06-01,873.0
2005-07-01,775.8
2005-08-01,788.3
2005-09-01,842.9
2005-10-01,737.3
2005-11-01,764.7
2005-12-01,873.1
2006-01-01,702.2
2006-02-01,635.0
2006-03-01,867.6
2006-04-01,727.0
2006-05-01,793.0
2006-06-01,984.2
2006-07-01,709.6
2006-08-01,855.0
2006-09-01,804.9
2006-10-01,793.6
2006-11-01,758.1
2006-12-01,790.2
2007-01-01,748.8
2007-02-01,682.9
2007-03-01,891.1
2007-04-01,887.9
2007-05-01,931.3
2007-06-01,803.1
2007-07-01,684.6
2007-08-01,756.8
2007-09-01,681.5
2007-10-01,700.9
2007-11-01,770.9
2007-12-01,682.7
2008-01-01,655.9
2008-02-01,764.2
2008-03-01,737.9
2008-04-01,884.1
2008-05-01,1152.6
2008-06-01,1080.4
2008-07-01,793.4
2008-08-01,1111.5
2008-09-01,986.6
2008-10-01,1013.9
2008-11-01,1061.5
2008-12-01,843.9
2009-01-01,693.4
2009-02-01,683.4
2009-03-01,844.2
2009-04-01,765.5
2009-05-01,623.6
2009-06-01,716.8
2009-07-01,702.7
2009-08-01,612.3
2009-09-01,613.6
2009-10-01,748.9
2009-11-01,722.3
2009-12-01,589.6
2010-01-01,641.8
2010-02-01,655.4
2010-03-01,687.7
2010-04-01,652.6
2010-05-01,822.0
2010-06-01,898.3
2010-07-01,770.1
2010-08-01,769.8
2010-09-01,707.9
2010-10-01,914.5
2010-11-01,873.5
2010-12-01,801.5
2011-01-01,812.4
2011-02-01,845.2
2011-03-01,845.1
2011-04-01,829.0
2011-05-01,981.8
2011-06-01,766.6
2011-07-01,907.0
2011-08-01,952.9
2011-09-01,1004.6
2011-10-01,864.6
2011-11-01,946.1
2011-12-01,913.3
2012-01-01,657.1
2012-02-01,849.0
2012-03-01,948.5
2012-04-01,924.3
2012-05-01,800.8
2012-06-01,1054.3
2012-07-01,893.9
2012-08-01,710.8
2012-09-01,1073.0
2012-10-01,824.8
2012-11-01,897.3
2012-12-01,724.7
2013-01-01,767.4
2013-02-01,790.1
2013-03-01,1104.5
2013-04-01,888.9
2013-05-01,935.3
2013-06-01,904.6
2013-07-01,865.1
2013-08-01,864.5
2013-09-01,919.5
2013-10-01,852.8
2013-11-01,808.9
