date,value
1997-01-01,263.5
1997-02-01,227.6
1997-03-01,390.8
1997-04-01,262.9
1997-05-01,305.4
1997-06-01,188.7
1997-07-01,245.8
1997-08-01,314.9
1997-09-01,197.7
1997-10-01,237.6
1997-11-01,250.1
1997-12-01,149.4
1998-01-01,109.8
1998-02-01,147.4
1998-03-01,138.8
1998-04-01,231.7
1998-05-01,158.6
1998-06-01,122.7
1998-07-01,94.4
1998-08-01,119.1
1998-09-01,221.3
1998-10-01,166.4
1998-11-01,158.6
1998-12-01,154.1
1999-01-01,128.1
1999-02-01,169.2
1999-03-01,154.6
1999-04-01,154.9
1999-05-01,182.8
1999-06-01,185.2
1999-07-01,156.7
1999-08-01,189.8
1999-09-01,172.6
1999-10-01,144.3
1999-11-01,169.3
1999-12-01,181.4
2000-01-01,228.3
2000-02-01,185.7
2000-03-01,223.0
2000-04-01,223.0
2000-05-01,204.5
2000-06-01,205.2
2000-07-01,182.3
2000-08-01,213.2
2000-09-01,171.4
2000-10-01,168.4
2000-11-01,168.6
2000-12-01,163.3
2001-01-01,164.9
2001-02-01,165.6
2001-03-01,224.5
2001-04-01,121.8
2001-05-01,171.5
2001-06-01,155.7
2001-07-01,147.4
2001-08-01,169.1
2001-09-01,143.0
2001-10-01,190.0
2001-11-01,153.1
2001-12-01,210.6
2002-01-01,139.5
2002-02-01,139.1
2002-03-01,211.6
2002-04-01,155.5
2002-05-01,147.1
2002-06-01,190.7
2002-07-01,192.9
2002-08-01,162.6
2002-09-01,154.0
2002-10-01,171.0
2002-11-01,197.5
2002-12-01,155.2
2003-01-01,183.7
2003-02-01,163.3
2003-03-01,189.9
2003-04-01,197.6
2003-05-01,166.6
2003-06-01,121.4
2003-07-01,134.6
2003-08-01,156.4
2003-09-01,146.0
2003-10-01,176.3
2003-11-01,173.5
2003-12-01,190.6
2004-01-01,150.9
2004-02-01,166.0
2004-03-01,189.5
2004-04-01,195.3
2004-05-01,237.7
2004-06-01,196.6
2004-07-01,180.2
2004-08-01,188.9
2004-09-01,172.7
2004-10-01,158.1
2004-11-01,172.9
2004-12-01,262.0
2005-01-01,238.8
2005-02-01,175.2
2005-03-01,204.9
2005-04-01,218.2
2005-05-01,226.8
2005-06-01,261.0
2005-07-01,247.7
2005-08-01,293.2
2005-09-01,237.0
2005-10-01,250.6
2005-11-01,224.7
2005-12-01,246.3
2006-01-01,185.7
2006-02-01,229.5
2006-03-01,228.0
2006-04-01,266.9
2006-05-01,243.9
2006-06-01,275.4
2006-07-01,306.8
2006-08-01,218.3
2006-09-01,333.0
2006-10-01,261.1
2006-11-01,402.1
2006-12-01,335.5
2007-01-01,267.8
2007-02-01,186.0
2007-03-01,245.8
2007-04-01,276.5
2007-05-01,292.5
2007-06-01,293.4
2007-07-01,218.1
2007-08-01,246.0
2007-09-01,201.2
2007-10-01,225.8
2007-11-01,300.0
2007-12-01,254.7
2008-01-01,276.4
2008-02-01,240.9
2008-03-01,253.1
2008-04-01,206.6
2008-05-01,429.2
2008-06-01,376.9
2008-07-01,331.3
2008-08-01,299.0
2008-09-01,360.9
2008-10-01,346.0
2008-11-01,355.5
2008-12-01,361.2
2009-01-01,290.4
2009-02-01,263.7
2009-03-01,347.8
2009-04-01,402.2
2009-05-01,224.7
2009-06-01,294.8
2009-07-01,289.0
2009-08-01,261.7
2009-09-01,359.3
2009-10-01,306.1
2009-11-01,222.2
2009-12-01,267.0
2010-01-01,274.1
2010-02-01,290.2
2010-03-01,262.1
2010-04-01,354.4
2010-05-01,402.1
2010-06-01,281.9
2010-07-01,317.2
2010-08-01,211.4
2010-09-01,370.0
2010-10-01,349.8
2010-11-01,243.6
2010-12-01,353.8
2011-01-01,364.1
2011-02-01,297.2
2011-03-01,545.2
2011-04-01,438.0
2011-05-01,434.6
2011-06-01,407.0
2011-07-01,532.0
2011-08-01,402.9
2011-09-01,382.0
2011-10-01,423.4
2011-11-01,455.0
2011-12-01,411.7
2012-01-01,284.4
2012-02-01,305.3
2012-03-01,299.8
2012-04-01,329.3
2012-05-01,316.1
2012-06-01,265.1
2012-07-01,387.0
2012-08-01,295.0
2012-09-01,279.6
2012-10-01,366.9
2012-11-01,312.9
2012-12-01,273.4
2013-01-01,219.2
2013-02-01,294.9
2013-03-01,324.5
2013-04-01,216.9
2013-05-01,313.0
2013-06-01,337.3
2013-07-01,251.7
2013-08-01,295.8
2013-09-01,326.5
2013-10-01,246.7
2013-11-01,262.2
2013-12-01,411.9
2014-01-01,253.7
2014-02-01,300.8
2014-03-01,393.5
2014-04-01,359.5
2014-05-01,446.5
2014-06-01,438.1
2014-07-01,329.8
2014-08-01,429.5
2014-09-01,334.6
2014-10-01,316.8
2014-11-01,278.1
2014-12-01,295.9
2015-01-01,275.4
2015-02-01,336.5
2015-03-01,309.6
2015-04-01,440.7
2015-05-01,283.8
2015-06-01,354.8
2015-07-01,348.9
2015-08-01,352.5
2015-09-01,316.8
2015-10-01,266.3
2015-11-01,369.5
2015-12-01,364.8
2016-01-01,344.9
2016-02-01,271.7
2016-03-01,352.7
2016-04-01,329.4
2016-05-01,332.0
2016-06-01,413.8
2016-07-01,317.6
2016-08-01,403.1
2016-09-01,346.1
2016-10-01,320.5
2016-11-01,452.8
2016-12-01,492.3
2017-01-01,545.7
2017-02-01,245.0
2017-03-01,493.9
2017-04-01,508.9
2017-05-01,482.6
2017-06-01,436.7
2017-07-01,369.3
2017-08-01,416.4
2017-09-01,415.3
2017-10-01,476.2
2017-11-01,394.1
2017-12-01,517.8
2018-01-01,401.3
2018-02-01,426.3
2018-03-01,649.0
2018-04-01,482.3
2018-05-01,478.1
2018-06-01,462.5
2018-07-01,371.3
2018-08-01,533.8
2018-09-01,516.4
2018-10-01,506.4
2018-11-01,476.5
2018-12-01,560.7
2019-01-01,493.5
2019-02-01,503.8
2019-03-01,450.7
2019-04-01,434.1
2019-05-01,594.1
2019-06-01,509.2
2019-07-01,388.9
2019-08-01,420.8
2019-09-01,457.6
2019-10-01,507.5
2019-11-01,384.8
2019-12-01,405.8
2020-01-01,319.7
2020-02-01,439.6
2020-03-01,373.7
2020-04-01,401.0
2020-05-01,448.7
2020-06-01,411.5
2020-07-01,356.5
2020-08-01,338.7
2020-09-01,384.2
2020-10-01,355.4
2020-11-01,372.2
2020-12-01,509.0
2021-01-01,396.3
2021-02-01,359.8
2021-03-01,647.3
2021-04-01,516.0
2021-05-01,571.8
2021-06-01,536.5
2021-07-01,474.0
2021-08-01,614.7
2021-09-01,490.0
2021-10-01,627.8
2021-11-01,750.4
2021-12-01,336.9
2022-01-01,705.9
2022-02-01,686.0
2022-03-01,938.0
2022-04-01,787.0
2022-05-01,824.5
2022-06-01,760.8
2022-07-01,1013.0
2022-08-01,574.3
2022-09-01,476.9
2022-10-01,712.8
2022-11-01,549.9
2022-12-01,628.8
2023-01-01,564.2
2023-02-01,533.8
2023-03-01,583.6
2023-04-01,763.6
2023-05-01,641.7
2023-06-01,549.9
2023-07-01,377.9
2023-08-01,485.8
2023-09-01,597.6
2023-10-01,616.1
2023-11-01,618.2
2023-12-01,629.1
2024-01-01,736.7
2024-02-01,689.1
2024-03-01,621.8
2024-04-01,577.9
2024-05-01,588.9
2024-06-01,612.6
2024-07-01,729.9
2024-08-01,618.4
2024-09-01,547.5
2024-10-01,645.8
2024-11-01,584.4
2024-12-01,669.1
2025-01-01,474.3
2025-02-01,558.4
2025-03-01,768.4
2025-04-01,595.5
2025-05-01,604.5
2025-06-01,650.8
2025-07-01,548.5
2025-08-01,509.5
2025-09-01,547.0
2025-10-01,497.5
2025-11-01,549.1
2025-12-01,765.9
2026-01-01,530.9
2026-02-01,543.2
2026-03-01,756.6
2026-04-01,827.7
2026-05-01,654.6
