date,value
1997-01-01,106.7
1997-02-01,101.1
1997-03-01,98.0
1997-04-01,83.5
1997-05-01,107.4
1997-06-01,71.3
1997-07-01,102.6
1997-08-01,86.4
1997-09-01,116.3
1997-10-01,114.2
1997-11-01,126.7
1997-12-01,162.9
1998-01-01,105.0
1998-02-01,148.7
1998-03-01,126.2
1998-04-01,120.4
1998-05-01,90.2
1998-06-01,134.1
1998-07-01,132.5
1998-08-01,100.2
1998-09-01,112.9
1998-10-01,131.9
1998-11-01,134.1
1998-12-01,130.4
1999-01-01,116.8
1999-02-01,126.2
1999-03-01,127.2
1999-04-01,114.4
1999-05-01,111.5
1999-06-01,113.0
1999-07-01,107.6
1999-08-01,125.0
1999-09-01,142.8
1999-10-01,158.4
1999-11-01,164.4
1999-12-01,205.2
2000-01-01,129.0
2000-02-01,160.9
2000-03-01,150.3
2000-04-01,119.7
2000-05-01,182.6
2000-06-01,170.1
2000-07-01,143.2
2000-08-01,195.7
2000-09-01,139.4
2000-10-01,199.5
2000-11-01,210.7
2000-12-01,233.1
2001-01-01,221.8
2001-02-01,185.9
2001-03-01,194.3
2001-04-01,247.5
2001-05-01,236.2
2001-06-01,241.5
2001-07-01,248.2
2001-08-01,218.4
2001-09-01,210.4
2001-10-01,270.7
2001-11-01,275.5
2001-12-01,204.3
2002-01-01,193.6
2002-02-01,268.5
2002-03-01,214.5
2002-04-01,234.7
2002-05-01,194.5
2002-06-01,168.0
2002-07-01,153.3
2002-08-01,179.1
2002-09-01,158.9
2002-10-01,221.4
2002-11-01,228.6
2002-12-01,204.8
2003-01-01,186.9
2003-02-01,161.9
2003-03-01,163.8
2003-04-01,170.1
2003-05-01,182.8
2003-06-01,187.2
2003-07-01,183.3
2003-08-01,162.0
2003-09-01,186.2
2003-10-01,207.6
2003-11-01,224.6
2003-12-01,195.4
2004-01-01,190.8
2004-02-01,202.3
2004-03-01,276.1
2004-04-01,232.4
2004-05-01,252.8
2004-06-01,267.6
2004-07-01,279.7
2004-08-01,212.7
2004-09-01,239.7
2004-10-01,299.1
2004-11-01,351.0
2004-12-01,291.9
2005-01-01,185.1
2005-02-01,242.0
2005-03-01,257.4
2005-04-01,237.9
2005-05-01,287.7
2005-06-01,311.9
2005-07-01,239.5
2005-08-01,292.4
2005-09-01,281.4
2005-10-01,342.2
2005-11-01,358.2
2005-12-01,330.3
2006-01-01,305.5
2006-02-01,352.8
2006-03-01,360.4
2006-04-01,326.1
2006-05-01,413.0
2006-06-01,345.2
2006-07-01,372.8
2006-08-01,381.5
2006-09-01,351.2
2006-10-01,360.9
2006-11-01,378.1
2006-12-01,428.3
2007-01-01,387.3
2007-02-01,361.3
2007-03-01,465.7
2007-04-01,454.1
2007-05-01,456.2
2007-06-01,434.6
2007-07-01,367.5
2007-08-01,407.4
2007-09-01,400.9
2007-10-01,443.5
2007-11-01,418.6
2007-12-01,360.9
2008-01-01,390.6
2008-02-01,346.5
2008-03-01,452.9
2008-04-01,402.5
2008-05-01,489.4
2008-06-01,561.2
2008-07-01,556.9
2008-08-01,459.9
2008-09-01,630.4
2008-10-01,594.8
2008-11-01,547.3
2008-12-01,411.7
2009-01-01,367.2
2009-02-01,318.4
2009-03-01,420.0
2009-04-01,389.2
2009-05-01,379.1
2009-06-01,417.3
2009-07-01,467.7
2009-08-01,364.1
2009-09-01,419.0
2009-10-01,470.8
2009-11-01,425.0
2009-12-01,365.6
2010-01-01,383.1
2010-02-01,415.3
2010-03-01,446.7
2010-04-01,398.7
2010-05-01,384.7
2010-06-01,429.7
2010-07-01,381.8
2010-08-01,420.9
2010-09-01,475.0
2010-10-01,467.6
2010-11-01,374.6
2010-12-01,429.9
2011-01-01,289.3
2011-02-01,470.0
2011-03-01,461.7
2011-04-01,364.4
2011-05-01,429.6
2011-06-01,447.0
2011-07-01,481.4
2011-08-01,511.0
2011-09-01,515.0
2011-10-01,606.6
2011-11-01,524.7
2011-12-01,385.5
2012-01-01,437.8
2012-02-01,448.7
2012-03-01,441.8
2012-04-01,416.6
2012-05-01,400.8
2012-06-01,456.8
2012-07-01,391.6
2012-08-01,433.4
2012-09-01,508.0
2012-10-01,555.4
2012-11-01,485.0
2012-12-01,410.4
2013-01-01,420.4
2013-02-01,391.9
2013-03-01,515.6
2013-04-01,449.4
2013-05-01,512.2
2013-06-01,465.4
2013-07-01,414.9
2013-08-01,396.5
2013-09-01,486.3
2013-10-01,552.6
2013-11-01,438.5
2013-12-01,391.5
2014-01-01,449.7
2014-02-01,404.1
2014-03-01,436.8
