date,value
1997-01-01,139.3
1997-02-01,107.5
1997-03-01,123.4
1997-04-01,131.7
1997-05-01,147.1
1997-06-01,160.8
1997-07-01,132.9
1997-08-01,145.1
1997-09-01,145.1
1997-10-01,162.3
1997-11-01,171.9
1997-12-01,133.7
1998-01-01,158.3
1998-02-01,137.4
1998-03-01,162.2
1998-04-01,151.3
1998-05-01,165.6
1998-06-01,173.4
1998-07-01,162.2
1998-08-01,151.3
1998-09-01,148.7
1998-10-01,173.0
1998-11-01,137.4
1998-12-01,147.5
1999-01-01,115.7
1999-02-01,145.3
1999-03-01,127.9
1999-04-01,119.7
1999-05-01,137.3
1999-06-01,118.2
1999-07-01,112.4
1999-08-01,114.2
1999-09-01,125.2
1999-10-01,121.3
1999-11-01,167.5
1999-12-01,153.5
2000-01-01,93.8
2000-02-01,164.5
2000-03-01,138.6
2000-04-01,104.8
2000-05-01,145.6
2000-06-01,131.2
2000-07-01,107.1
2000-08-01,113.4
2000-09-01,113.2
2000-10-01,108.7
2000-11-01,95.2
2000-12-01,116.0
2001-01-01,113.9
2001-02-01,96.8
2001-03-01,126.4
2001-04-01,120.0
2001-05-01,141.9
2001-06-01,132.2
2001-07-01,138.7
2001-08-01,131.1
2001-09-01,118.3
2001-10-01,115.6
2001-11-01,187.9
2001-12-01,133.5
2002-01-01,122.7
2002-02-01,145.6
2002-03-01,149.6
2002-04-01,138.0
2002-05-01,157.4
2002-06-01,154.8
2002-07-01,137.3
2002-08-01,132.4
2002-09-01,180.4
2002-10-01,137.3
2002-11-01,135.2
2002-12-01,183.6
2003-01-01,151.6
2003-02-01,110.7
2003-03-01,138.0
2003-04-01,133.9
2003-05-01,128.4
2003-06-01,140.8
2003-07-01,105.2
2003-08-01,115.3
2003-09-01,146.4
2003-10-01,143.1
2003-11-01,144.9
2003-12-01,163.7
2004-01-01,111.8
2004-02-01,220.9
2004-03-01,151.7
2004-04-01,159.1
2004-05-01,140.0
2004-06-01,124.5
2004-07-01,139.4
2004-08-01,312.1
2004-09-01,130.7
2004-10-01,123.6
2004-11-01,180.0
2004-12-01,134.5
2005-01-01,146.4
2005-02-01,206.1
2005-03-01,162.5
2005-04-01,142.9
2005-05-01,177.0
2005-06-01,205.9
2005-07-01,196.4
2005-08-01,291.0
2005-09-01,160.8
2005-10-01,155.0
2005-11-01,201.1
2005-12-01,150.4
2006-01-01,129.4
2006-02-01,279.6
2006-03-01,214.5
2006-04-01,190.6
2006-05-01,234.6
2006-06-01,319.7
2006-07-01,247.8
2006-08-01,211.9
2006-09-01,297.5
2006-10-01,268.4
2006-11-01,328.8
2006-12-01,340.5
2007-01-01,350.2
