date,value
1997-01-01,49.5
1997-02-01,97.8
1997-03-01,35.2
1997-04-01,51.3
1997-05-01,26.1
1997-06-01,53.4
1997-07-01,41.2
1997-08-01,31.9
1997-09-01,29.0
1997-10-01,50.1
1997-11-01,37.3
1997-12-01,54.9
1998-01-01,44.1
1998-02-01,55.5
1998-03-01,29.9
1998-04-01,29.8
1998-05-01,29.4
1998-06-01,17.7
1998-07-01,26.5
1998-08-01,16.2
1998-09-01,22.6
1998-10-01,14.6
1998-11-01,12.1
1998-12-01,17.2
1999-01-01,10.9
1999-02-01,40.4
1999-03-01,17.7
1999-04-01,72.5
1999-05-01,20.5
1999-06-01,14.7
1999-07-01,21.2
1999-08-01,19.0
1999-09-01,13.8
1999-10-01,16.5
1999-11-01,37.5
1999-12-01,12.3
2000-01-01,14.1
2000-02-01,24.3
2000-03-01,38.3
2000-04-01,17.7
2000-05-01,17.7
2000-06-01,36.6
2000-07-01,22.9
2000-08-01,16.0
2000-09-01,14.3
2000-10-01,30.8
2000-11-01,20.7
2000-12-01,79.3
2001-01-01,36.0
2001-02-01,20.4
2001-03-01,30.0
2001-04-01,32.4
2001-05-01,17.1
2001-06-01,80.0
2001-07-01,23.8
2001-08-01,17.9
2001-09-01,19.2
2001-10-01,21.2
2001-11-01,17.3
2001-12-01,24.4
2002-01-01,15.7
2002-02-01,25.9
2002-03-01,17.7
2002-04-01,40.2
2002-05-01,32.4
2002-06-01,35.8
2002-07-01,35.5
2002-08-01,24.6
2002-09-01,13.4
2002-10-01,64.4
2002-11-01,33.7
2002-12-01,16.9
2003-01-01,18.1
2003-02-01,26.6
2003-03-01,22.7
2003-04-01,24.3
2003-05-01,44.2
2003-06-01,17.8
2003-07-01,40.0
2003-08-01,25.1
2003-09-01,62.5
2003-10-01,60.5
2003-11-01,53.7
2003-12-01,73.6
2004-01-01,32.5
2004-02-01,112.5
2004-03-01,63.9
2004-04-01,95.0
2004-05-01,42.4
2004-06-01,54.7
2004-07-01,26.6
2004-08-01,36.5
2004-09-01,37.5
2004-10-01,26.4
2004-11-01,29.3
2004-12-01,29.2
2005-01-01,28.7
2005-02-01,20.3
2005-03-01,33.3
2005-04-01,25.1
2005-05-01,28.3
2005-06-01,35.4
2005-07-01,33.3
2005-08-01,51.5
2005-09-01,40.2
2005-10-01,42.8
2005-11-01,49.3
2005-12-01,51.2
2006-01-01,59.1
2006-02-01,61.9
2006-03-01,54.5
2006-04-01,26.0
2006-05-01,52.9
2006-06-01,48.9
2006-07-01,26.1
2006-08-01,34.5
2006-09-01,36.5
2006-10-01,36.2
2006-11-01,33.9
2006-12-01,73.2
2007-01-01,47.7
2007-02-01,40.0
2007-03-01,63.7
2007-04-01,41.5
2007-05-01,49.0
2007-06-01,33.5
2007-07-01,54.0
2007-08-01,34.6
2007-09-01,71.1
2007-10-01,83.7
2007-11-01,97.3
2007-12-01,66.6
2008-01-01,113.4
2008-02-01,70.8
2008-03-01,70.7
2008-04-01,64.4
2008-05-01,163.6
2008-06-01,80.8
2008-07-01,48.2
2008-08-01,101.5
2008-09-01,62.6
2008-10-01,72.4
2008-11-01,84.3
2008-12-01,76.2
2009-01-01,98.9
2009-02-01,135.6
2009-03-01,94.9
2009-04-01,69.8
2009-05-01,207.6
2009-06-01,100.7
2009-07-01,90.9
2009-08-01,46.0
2009-09-01,47.3
2009-10-01,77.1
2009-11-01,107.6
2009-12-01,83.5
2010-01-01,120.3
2010-02-01,34.8
2010-03-01,52.0
