date,value
1997-01-01,42.3
1997-02-01,39.3
1997-03-01,44.1
1997-04-01,46.7
1997-05-01,75.8
1997-06-01,40.0
1997-07-01,40.1
1997-08-01,40.2
1997-09-01,56.8
1997-10-01,48.8
1997-11-01,34.1
1997-12-01,39.4
1998-01-01,30.4
1998-02-01,37.3
1998-03-01,39.1
1998-04-01,42.7
1998-05-01,36.7
1998-06-01,36.7
1998-07-01,36.4
1998-08-01,42.7
1998-09-01,28.4
1998-10-01,30.2
1998-11-01,35.1
1998-12-01,28.2
1999-01-01,38.4
1999-02-01,26.9
1999-03-01,28.3
1999-04-01,32.9
1999-05-01,37.6
1999-06-01,30.8
1999-07-01,39.4
1999-08-01,32.0
1999-09-01,33.0
1999-10-01,28.1
1999-11-01,30.8
1999-12-01,29.5
2000-01-01,22.1
2000-02-01,39.3
2000-03-01,32.2
2000-04-01,29.6
2000-05-01,37.7
2000-06-01,33.1
2000-07-01,21.9
2000-08-01,31.9
2000-09-01,30.7
2000-10-01,29.8
2000-11-01,31.1
2000-12-01,33.7
2001-01-01,25.4
2001-02-01,23.5
2001-03-01,38.3
2001-04-01,32.2
2001-05-01,29.0
2001-06-01,32.4
2001-07-01,27.4
2001-08-01,27.7
2001-09-01,28.4
2001-10-01,39.1
2001-11-01,44.7
2001-12-01,47.2
2002-01-01,31.2
2002-02-01,40.8
2002-03-01,39.1
2002-04-01,34.5
2002-05-01,43.7
2002-06-01,49.8
2002-07-01,43.2
2002-08-01,44.3
2002-09-01,51.5
2002-10-01,57.5
2002-11-01,74.5
2002-12-01,65.9
2003-01-01,39.7
2003-02-01,32.6
2003-03-01,59.0
2003-04-01,35.6
2003-05-01,29.0
2003-06-01,44.2
2003-07-01,29.7
2003-08-01,27.0
2003-09-01,36.9
2003-10-01,39.9
2003-11-01,30.1
2003-12-01,40.6
2004-01-01,49.4
2004-02-01,47.0
2004-03-01,50.0
2004-04-01,98.0
2004-05-01,73.1
2004-06-01,47.0
2004-07-01,43.3
2004-08-01,86.8
2004-09-01,79.2
2004-10-01,49.5
2004-11-01,52.6
2004-12-01,85.9
2005-01-01,41.0
2005-02-01,42.9
2005-03-01,50.8
2005-04-01,46.7
2005-05-01,45.5
2005-06-01,63.6
2005-07-01,49.7
2005-08-01,63.5
2005-09-01,54.4
2005-10-01,53.3
2005-11-01,67.8
2005-12-01,61.0
2006-01-01,47.3
2006-02-01,72.3
2006-03-01,67.5
2006-04-01,58.1
2006-05-01,55.9
2006-06-01,58.8
2006-07-01,117.3
2006-08-01,53.7
2006-09-01,52.1
2006-10-01,48.2
2006-11-01,53.2
2006-12-01,58.0
2007-01-01,68.4
2007-02-01,67.8
2007-03-01,76.1
2007-04-01,70.3
2007-05-01,71.6
2007-06-01,65.3
2007-07-01,63.9
2007-08-01,61.8
2007-09-01,107.0
2007-10-01,99.5
2007-11-01,99.2
2007-12-01,62.7
2008-01-01,81.0
2008-02-01,59.8
2008-03-01,80.9
2008-04-01,79.3
2008-05-01,66.4
2008-06-01,66.4
2008-07-01,63.3
2008-08-01,72.0
2008-09-01,73.0
2008-10-01,64.3
2008-11-01,71.0
2008-12-01,46.2
2009-01-01,45.9
2009-02-01,49.6
2009-03-01,158.0
2009-04-01,116.6
2009-05-01,162.3
2009-06-01,128.6
2009-07-01,127.1
2009-08-01,62.2
2009-09-01,63.7
2009-10-01,53.5
2009-11-01,59.6
2009-12-01,57.4
2010-01-01,115.1
2010-02-01,56.2
2010-03-01,66.5
2010-04-01,66.7
2010-05-01,68.1
2010-06-01,55.5
2010-07-01,65.4
2010-08-01,65.1
2010-09-01,83.9
2010-10-01,67.0
2010-11-01,57.2
2010-12-01,68.1
2011-01-01,59.0
2011-02-01,84.8
2011-03-01,71.9
2011-04-01,65.5
2011-05-01,64.2
2011-06-01,58.4
2011-07-01,54.7
2011-08-01,80.1
2011-09-01,57.4
2011-10-01,70.6
2011-11-01,60.2
2011-12-01,79.2
2012-01-01,72.5
2012-02-01,71.3
2012-03-01,83.7
2012-04-01,65.3
2012-05-01,81.9
2012-06-01,78.5
2012-07-01,66.5
2012-08-01,85.9
2012-09-01,72.3
2012-10-01,71.9
2012-11-01,94.6
2012-12-01,64.2
2013-01-01,86.1
2013-02-01,63.7
2013-03-01,84.2
2013-04-01,75.0
2013-05-01,82.4
2013-06-01,73.1
2013-07-01,89.3
2013-08-01,75.9
2013-09-01,98.3
2013-10-01,115.9
2013-11-01,69.0
2013-12-01,61.7
2014-01-01,122.6
2014-02-01,118.3
2014-03-01,96.0
2014-04-01,151.0
2014-05-01,111.4
2014-06-01,140.4
2014-07-01,85.0
2014-08-01,70.0
2014-09-01,160.2
2014-10-01,86.1
2014-11-01,68.4
2014-12-01,99.3
2015-01-01,102.1
2015-02-01,96.7
2015-03-01,184.5
2015-04-01,95.5
2015-05-01,122.8
2015-06-01,105.8
2015-07-01,87.4
2015-08-01,119.6
2015-09-01,103.1
2015-10-01,160.3
2015-11-01,82.5
2015-12-01,246.6
2016-01-01,93.4
2016-02-01,119.7
2016-03-01,116.3
2016-04-01,109.3
2016-05-01,89.3
2016-06-01,92.6
2016-07-01,89.9
2016-08-01,113.6
2016-09-01,94.6
2016-10-01,111.4
2016-11-01,112.8
2016-12-01,133.8
2017-01-01,87.4
2017-02-01,88.3
2017-03-01,105.4
2017-04-01,189.6
2017-05-01,133.6
2017-06-01,113.3
2017-07-01,92.6
2017-08-01,91.8
2017-09-01,94.8
2017-10-01,88.6
2017-11-01,117.9
2017-12-01,101.9
2018-01-01,89.1
2018-02-01,84.3
2018-03-01,90.5
2018-04-01,89.6
2018-05-01,96.2
2018-06-01,108.2
2018-07-01,113.8
2018-08-01,117.1
2018-09-01,78.4
2018-10-01,108.8
2018-11-01,108.9
2018-12-01,116.7
2019-01-01,119.2
2019-02-01,95.8
2019-03-01,133.5
2019-04-01,122.2
2019-05-01,138.9
2019-06-01,108.0
2019-07-01,110.3
2019-08-01,112.4
2019-09-01,105.9
2019-10-01,150.4
2019-11-01,163.1
2019-12-01,164.5
2020-01-01,147.9
2020-02-01,119.2
2020-03-01,144.8
2020-04-01,113.4
2020-05-01,135.7
2020-06-01,104.2
2020-07-01,86.7
2020-08-01,67.2
2020-09-01,61.1
2020-10-01,113.3
