date,value
1997-01-01,24494.6
1997-02-01,24226.4
1997-03-01,24415.2
1997-04-01,24404.3
1997-05-01,24755.6
1997-06-01,24188.8
1997-07-01,25314.8
1997-08-01,24688.0
1997-09-01,25072.4
1997-10-01,24706.1
1997-11-01,25500.6
1997-12-01,26302.5
1998-01-01,25165.2
1998-02-01,26004.6
1998-03-01,25544.9
1998-04-01,26341.5
1998-05-01,26122.2
1998-06-01,25494.1
1998-07-01,25579.6
1998-08-01,26753.6
1998-09-01,27335.3
1998-10-01,27989.4
1998-11-01,27889.9
1998-12-01,28195.0
1999-01-01,28452.0
1999-02-01,28619.9
1999-03-01,28326.9
1999-04-01,28248.7
1999-05-01,28357.6
1999-06-01,29116.9
1999-07-01,29938.5
1999-08-01,30426.7
1999-09-01,30175.9
1999-10-01,30638.7
1999-11-01,31459.8
1999-12-01,31659.3
2000-01-01,32909.6
2000-02-01,32204.5
2000-03-01,33492.5
2000-04-01,32994.6
2000-05-01,34479.7
2000-06-01,35210.6
2000-07-01,34580.4
2000-08-01,34412.4
2000-09-01,34904.6
2000-10-01,35820.0
2000-11-01,35582.6
2000-12-01,36623.8
2001-01-01,37968.8
2001-02-01,34783.0
2001-03-01,35480.9
2001-04-01,35432.1
2001-05-01,34964.2
2001-06-01,33906.8
2001-07-01,32839.3
2001-08-01,32132.2
2001-09-01,31501.2
2001-10-01,31206.6
2001-11-01,32694.2
2001-12-01,31176.4
2002-01-01,31725.5
2002-02-01,32806.9
2002-03-01,32168.3
2002-04-01,33157.2
2002-05-01,33231.8
2002-06-01,31966.7
2002-07-01,32985.2
2002-08-01,33523.6
2002-09-01,33847.9
2002-10-01,34119.8
2002-11-01,33796.9
2002-12-01,33052.0
2003-01-01,33454.5
2003-02-01,33105.8
2003-03-01,34229.0
2003-04-01,31862.2
2003-05-01,31091.9
2003-06-01,30073.3
2003-07-01,31298.2
2003-08-01,30354.8
2003-09-01,32062.0
2003-10-01,31091.7
2003-11-01,31077.8
2003-12-01,31471.1
2004-01-01,30634.3
2004-02-01,32910.7
2004-03-01,33846.6
2004-04-01,34668.2
2004-05-01,35655.1
2004-06-01,37245.2
2004-07-01,35904.0
2004-08-01,35715.7
2004-09-01,34079.5
2004-10-01,33994.9
2004-11-01,33761.5
2004-12-01,33874.3
2005-01-01,34390.6
2005-02-01,34852.7
2005-03-01,34301.3
2005-04-01,35053.1
2005-05-01,35978.4
2005-06-01,35412.0
2005-07-01,35422.4
2005-08-01,36765.2
2005-09-01,37898.6
2005-10-01,39289.8
2005-11-01,37831.7
2005-12-01,39154.8
2006-01-01,38034.7
2006-02-01,36555.2
2006-03-01,36335.5
2006-04-01,36011.2
2006-05-01,36121.4
2006-06-01,36584.3
2006-07-01,36463.4
2006-08-01,36591.8
2006-09-01,36450.5
2006-10-01,35680.2
2006-11-01,36797.3
2006-12-01,38739.6
2007-01-01,38676.8
2007-02-01,38094.1
2007-03-01,39673.3
2007-04-01,39460.0
2007-05-01,38587.7
2007-06-01,38441.2
2007-07-01,37161.9
2007-08-01,36989.9
2007-09-01,36104.6
2007-10-01,35392.6
2007-11-01,36371.8
2007-12-01,35366.8
2008-01-01,36791.0
2008-02-01,38288.4
2008-03-01,38869.7
2008-04-01,40390.0
2008-05-01,41647.9
2008-06-01,42187.0
2008-07-01,44955.1
2008-08-01,42110.6
2008-09-01,41838.7
2008-10-01,42660.9
2008-11-01,38862.2
2008-12-01,34886.7
2009-01-01,30472.6
2009-02-01,31709.7
2009-03-01,30871.8
2009-04-01,29675.9
2009-05-01,27527.7
2009-06-01,28489.7
2009-07-01,31109.2
2009-08-01,28945.8
2009-09-01,29346.5
2009-10-01,29879.0
2009-11-01,30257.8
2009-12-01,31467.9
2010-01-01,31581.9
2010-02-01,32232.1
2010-03-01,32592.4
2010-04-01,32348.0
2010-05-01,33809.0
2010-06-01,33255.6
2010-07-01,32597.5
2010-08-01,33464.4
2010-09-01,32842.7
2010-10-01,33332.0
2010-11-01,33831.2
2010-12-01,36970.1
2011-01-01,36195.4
2011-02-01,34696.0
2011-03-01,36119.7
2011-04-01,35331.7
2011-05-01,36096.8
2011-06-01,35798.2
2011-07-01,37019.1
2011-08-01,38365.4
2011-09-01,39329.7
2011-10-01,38004.0
2011-11-01,39357.7
2011-12-01,40393.3
2012-01-01,38893.0
2012-02-01,38768.9
2012-03-01,38283.9
2012-04-01,38861.2
2012-05-01,38008.1
2012-06-01,37701.4
2012-07-01,37828.2
2012-08-01,37127.5
2012-09-01,36601.2
2012-10-01,37662.4
2012-11-01,38055.5
2012-12-01,37379.5
2013-01-01,38677.8
2013-02-01,39109.9
2013-03-01,38970.3
2013-04-01,39303.8
2013-05-01,39572.3
2013-06-01,38095.4
2013-07-01,38359.0
2013-08-01,39169.1
2013-09-01,39801.9
2013-10-01,40289.3
2013-11-01,40500.4
2013-12-01,40097.8
2014-01-01,40323.4
2014-02-01,42123.8
2014-03-01,43636.6
2014-04-01,43502.7
2014-05-01,45097.3
2014-06-01,44355.4
2014-07-01,44670.3
2014-08-01,44147.0
2014-09-01,45104.1
2014-10-01,45192.2
2014-11-01,43639.1
2014-12-01,44980.9
2015-01-01,43291.1
2015-02-01,42997.1
2015-03-01,43243.0
2015-04-01,42351.7
2015-05-01,41531.0
2015-06-01,44624.4
2015-07-01,45567.0
2015-08-01,45475.5
2015-09-01,44697.7
2015-10-01,42752.5
2015-11-01,43006.5
2015-12-01,44528.5
2016-01-01,45405.5
2016-02-01,43654.7
2016-03-01,40896.2
2016-04-01,40878.1
2016-05-01,40170.5
2016-06-01,40972.1
2016-07-01,42323.9
2016-08-01,43807.1
2016-09-01,43704.2
2016-10-01,43822.6
2016-11-01,46301.6
2016-12-01,44835.0
2017-01-01,46020.4
2017-02-01,46269.7
2017-03-01,46513.5
2017-04-01,47175.0
2017-05-01,47835.8
2017-06-01,45691.4
2017-07-01,43478.2
2017-08-01,43105.3
2017-09-01,43015.6
2017-10-01,44105.6
2017-11-01,46246.4
2017-12-01,46629.8
2018-01-01,45407.9
2018-02-01,46448.2
2018-03-01,48021.0
2018-04-01,48391.2
2018-05-01,48730.2
2018-06-01,51314.5
2018-07-01,51238.4
2018-08-01,50080.3
2018-09-01,49730.2
2018-10-01,49598.4
2018-11-01,48439.4
2018-12-01,46895.0
2019-01-01,46344.1
2019-02-01,46508.2
2019-03-01,49856.9
2019-04-01,50378.0
2019-05-01,52801.5
2019-06-01,50290.3
2019-07-01,49995.4
2019-08-01,49953.7
2019-09-01,49285.4
2019-10-01,48798.7
2019-11-01,48270.3
2019-12-01,49600.0
2020-01-01,48081.0
2020-02-01,48809.2
2020-03-01,45535.2
2020-04-01,32817.4
2020-05-01,33722.0
2020-06-01,39526.6
2020-07-01,43862.5
2020-08-01,44729.1
2020-09-01,45985.7
2020-10-01,46196.6
2020-11-01,46506.9
2020-12-01,46754.9
2021-01-01,50744.0
2021-02-01,50147.9
2021-03-01,49969.9
2021-04-01,49214.3
2021-05-01,48944.2
2021-06-01,53212.3
2021-07-01,52504.8
2021-08-01,53833.4
2021-09-01,52129.4
2021-10-01,54565.7
2021-11-01,58424.5
2021-12-01,58027.8
2022-01-01,57963.8
2022-02-01,60253.9
2022-03-01,63578.9
2022-04-01,65478.9
2022-05-01,71522.6
2022-06-01,69234.1
2022-07-01,68005.1
2022-08-01,66314.7
2022-09-01,65909.0
2022-10-01,65810.0
2022-11-01,64326.7
2022-12-01,65028.1
2023-01-01,66184.6
2023-02-01,63400.3
2023-03-01,63994.7
2023-04-01,64687.1
2023-05-01,63587.3
2023-06-01,60251.8
2023-07-01,61511.4
2023-08-01,64664.0
2023-09-01,64905.6
2023-10-01,65627.8
2023-11-01,65953.3
2023-12-01,63115.7
2024-01-01,61020.7
2024-02-01,64294.0
2024-03-01,62529.7
2024-04-01,65127.3
2024-05-01,63314.4
2024-06-01,66780.7
2024-07-01,66499.9
2024-08-01,64509.6
2024-09-01,65313.8
2024-10-01,65406.3
2024-11-01,66477.7
2024-12-01,69580.0
2025-01-01,74249.0
2025-02-01,69751.5
2025-03-01,68397.6
2025-04-01,61876.6
2025-05-01,62194.3
