date,value
1997-01-01,146.3
1997-02-01,140.8
1997-03-01,146.3
1997-04-01,171.7
1997-05-01,150.1
1997-06-01,154.5
1997-07-01,129.5
1997-08-01,107.8
1997-09-01,111.9
1997-10-01,120.5
1997-11-01,128.3
1997-12-01,113.9
1998-01-01,117.6
1998-02-01,91.8
1998-03-01,112.3
1998-04-01,110.0
1998-05-01,130.3
1998-06-01,90.0
1998-07-01,74.0
1998-08-01,84.4
1998-09-01,88.2
1998-10-01,106.7
1998-11-01,96.9
1998-12-01,79.0
1999-01-01,112.1
1999-02-01,85.7
1999-03-01,89.5
1999-04-01,115.0
1999-05-01,99.6
1999-06-01,106.7
1999-07-01,104.3
1999-08-01,81.0
1999-09-01,101.4
1999-10-01,90.2
1999-11-01,69.5
1999-12-01,100.4
2000-01-01,104.0
2000-02-01,103.3
2000-03-01,105.3
2000-04-01,106.4
2000-05-01,98.7
2000-06-01,100.6
2000-07-01,111.0
2000-08-01,90.6
2000-09-01,97.8
2000-10-01,91.7
2000-11-01,93.7
2000-12-01,78.2
2001-01-01,88.8
2001-02-01,86.1
2001-03-01,99.9
2001-04-01,94.2
2001-05-01,84.2
2001-06-01,81.2
2001-07-01,70.9
2001-08-01,81.7
2001-09-01,96.7
2001-10-01,81.5
2001-11-01,78.8
2001-12-01,76.0
2002-01-01,48.8
2002-02-01,83.9
2002-03-01,92.3
2002-04-01,69.6
2002-05-01,86.0
2002-06-01,104.2
2002-07-01,88.1
2002-08-01,99.8
2002-09-01,96.8
2002-10-01,131.9
2002-11-01,107.7
2002-12-01,117.4
2003-01-01,117.6
2003-02-01,101.3
2003-03-01,119.2
2003-04-01,122.0
2003-05-01,108.3
2003-06-01,87.7
2003-07-01,92.6
2003-08-01,105.5
2003-09-01,106.6
2003-10-01,90.7
2003-11-01,86.6
2003-12-01,105.0
2004-01-01,82.6
2004-02-01,87.9
2004-03-01,120.5
2004-04-01,97.3
2004-05-01,121.4
2004-06-01,119.5
2004-07-01,95.6
2004-08-01,115.0
2004-09-01,97.1
2004-10-01,100.6
2004-11-01,94.7
2004-12-01,106.1
2005-01-01,84.0
2005-02-01,104.1
2005-03-01,92.2
2005-04-01,110.8
2005-05-01,100.7
2005-06-01,145.6
2005-07-01,95.1
2005-08-01,144.4
2005-09-01,105.1
2005-10-01,124.4
2005-11-01,104.7
2005-12-01,146.7
2006-01-01,81.9
2006-02-01,121.9
2006-03-01,133.5
2006-04-01,109.0
2006-05-01,113.8
2006-06-01,126.3
2006-07-01,116.1
2006-08-01,127.3
2006-09-01,113.6
2006-10-01,120.4
2006-11-01,118.7
2006-12-01,118.1
2007-01-01,94.3
2007-02-01,158.6
2007-03-01,162.6
2007-04-01,157.6
2007-05-01,145.0
2007-06-01,148.4
2007-07-01,100.0
2007-08-01,126.0
2007-09-01,91.9
2007-10-01,111.1
2007-11-01,106.6
2007-12-01,145.4
2008-01-01,146.7
2008-02-01,102.2
2008-03-01,107.4
2008-04-01,163.7
2008-05-01,136.2
2008-06-01,157.4
2008-07-01,107.3
2008-08-01,177.9
2008-09-01,93.7
2008-10-01,170.4
2008-11-01,127.2
2008-12-01,66.6
2009-01-01,61.2
2009-02-01,77.5
2009-03-01,104.6
2009-04-01,104.4
2009-05-01,104.6
2009-06-01,77.5
2009-07-01,98.5
2009-08-01,77.8
2009-09-01,116.0
2009-10-01,79.9
2009-11-01,87.6
2009-12-01,114.5
2010-01-01,90.9
2010-02-01,73.4
2010-03-01,86.7
2010-04-01,124.5
2010-05-01,113.0
2010-06-01,92.2
2010-07-01,111.4
2010-08-01,81.7
2010-09-01,149.8
2010-10-01,127.1
2010-11-01,126.2
2010-12-01,110.5
2011-01-01,157.0
2011-02-01,160.4
2011-03-01,131.6
2011-04-01,184.8
2011-05-01,110.7
2011-06-01,105.3
2011-07-01,150.1
2011-08-01,199.2
2011-09-01,126.9
2011-10-01,131.7
2011-11-01,135.7
2011-12-01,153.0
2012-01-01,115.6
2012-02-01,123.2
2012-03-01,103.4
2012-04-01,129.3
2012-05-01,118.3
2012-06-01,134.1
2012-07-01,144.6
2012-08-01,117.8
2012-09-01,134.6
2012-10-01,106.8
2012-11-01,124.7
2012-12-01,111.5
2013-01-01,120.2
2013-02-01,109.2
2013-03-01,147.0
2013-04-01,109.9
2013-05-01,174.0
2013-06-01,114.9
2013-07-01,145.8
2013-08-01,120.9
2013-09-01,127.4
2013-10-01,101.0
2013-11-01,99.2
2013-12-01,136.1
2014-01-01,99.4
2014-02-01,123.0
2014-03-01,64.0
2014-04-01,149.0
2014-05-01,117.2
2014-06-01,125.6
2014-07-01,137.9
2014-08-01,107.5
2014-09-01,119.3
2014-10-01,132.5
2014-11-01,123.2
2014-12-01,98.8
2015-01-01,100.4
2015-02-01,138.8
2015-03-01,155.3
2015-04-01,122.9
2015-05-01,133.8
2015-06-01,93.6
2015-07-01,120.4
