date,value
1997-01-01,19863.7
1997-02-01,19812.1
1997-03-01,19662.8
1997-04-01,19696.9
1997-05-01,20282.9
1997-06-01,19879.2
1997-07-01,20664.7
1997-08-01,20142.7
1997-09-01,20665.4
1997-10-01,20322.8
1997-11-01,21068.8
1997-12-01,21826.4
1998-01-01,20888.8
1998-02-01,21676.3
1998-03-01,21328.4
1998-04-01,21992.8
1998-05-01,22068.5
1998-06-01,21481.1
1998-07-01,21621.7
1998-08-01,22926.5
1998-09-01,23398.6
1998-10-01,24088.2
1998-11-01,24095.8
1998-12-01,24338.7
1999-01-01,24607.8
1999-02-01,24645.4
1999-03-01,24619.7
1999-04-01,24573.8
1999-05-01,24565.7
1999-06-01,25151.5
1999-07-01,26162.2
1999-08-01,26665.7
1999-09-01,26060.0
1999-10-01,26524.2
1999-11-01,27136.4
1999-12-01,27363.7
2000-01-01,28516.1
2000-02-01,27752.8
2000-03-01,28975.9
2000-04-01,28768.8
2000-05-01,29814.3
2000-06-01,30616.5
2000-07-01,30030.7
2000-08-01,29802.1
2000-09-01,30289.1
2000-10-01,31370.6
2000-11-01,31284.1
2000-12-01,32068.0
2001-01-01,33186.0
2001-02-01,30569.5
2001-03-01,30574.7
2001-04-01,30845.9
2001-05-01,30409.9
2001-06-01,29643.7
2001-07-01,28552.2
2001-08-01,28097.8
2001-09-01,27600.2
2001-10-01,27034.5
2001-11-01,28078.7
2001-12-01,27158.6
2002-01-01,27775.2
2002-02-01,28554.4
2002-03-01,28145.3
2002-04-01,28859.2
2002-05-01,29162.3
2002-06-01,27722.3
2002-07-01,28773.6
2002-08-01,29192.9
2002-09-01,29706.3
2002-10-01,29538.4
2002-11-01,29391.3
2002-12-01,28544.9
2003-01-01,28729.1
2003-02-01,28684.6
2003-03-01,29571.5
2003-04-01,27339.4
2003-05-01,26581.3
2003-06-01,25942.2
2003-07-01,27156.5
2003-08-01,26076.1
2003-09-01,27461.3
2003-10-01,26335.8
2003-11-01,26346.4
2003-12-01,26576.0
2004-01-01,25933.9
2004-02-01,27947.6
2004-03-01,28680.2
2004-04-01,29379.5
2004-05-01,30171.3
2004-06-01,31523.0
2004-07-01,30354.6
2004-08-01,30045.7
2004-09-01,28746.0
2004-10-01,28495.1
2004-11-01,28380.8
2004-12-01,28486.2
2005-01-01,28736.3
2005-02-01,29363.8
2005-03-01,28774.0
2005-04-01,29296.6
2005-05-01,30214.9
2005-06-01,29278.2
2005-07-01,29671.6
2005-08-01,30514.0
2005-09-01,31784.0
2005-10-01,33362.0
2005-11-01,31766.4
2005-12-01,32978.9
2006-01-01,31824.6
2006-02-01,30315.2
2006-03-01,29826.3
2006-04-01,29986.7
2006-05-01,29655.0
2006-06-01,29842.1
2006-07-01,29829.6
2006-08-01,29791.4
2006-09-01,29051.0
2006-10-01,28476.1
2006-11-01,29566.8
2006-12-01,30969.9
2007-01-01,30654.7
2007-02-01,30592.6
2007-03-01,31703.1
2007-04-01,30837.5
2007-05-01,30083.0
2007-06-01,30189.4
2007-07-01,29231.8
2007-08-01,29155.4
2007-09-01,28697.5
2007-10-01,27868.1
2007-11-01,28377.2
2007-12-01,28219.6
2008-01-01,28458.3
2008-02-01,29890.8
2008-03-01,30553.3
2008-04-01,31777.9
2008-05-01,31626.7
2008-06-01,32828.4
2008-07-01,35588.1
2008-08-01,32425.6
2008-09-01,32489.9
2008-10-01,33066.4
2008-11-01,30057.9
2008-12-01,26716.4
2009-01-01,22805.7
2009-02-01,23934.0
2009-03-01,22579.7
2009-04-01,21957.2
2009-05-01,20017.0
2009-06-01,21188.8
2009-07-01,23458.6
2009-08-01,22148.7
2009-09-01,22120.4
2009-10-01,22572.1
2009-11-01,22980.3
2009-12-01,24328.1
2010-01-01,23919.9
2010-02-01,24428.9
2010-03-01,24225.8
2010-04-01,24442.4
2010-05-01,25744.0
2010-06-01,25585.2
2010-07-01,24747.0
2010-08-01,25354.7
2010-09-01,24413.6
2010-10-01,24414.0
2010-11-01,24526.5
2010-12-01,26847.1
2011-01-01,26554.5
2011-02-01,25801.3
2011-03-01,26807.7
2011-04-01,26509.6
2011-05-01,26763.7
2011-06-01,26333.2
2011-07-01,27397.9
2011-08-01,27568.7
2011-09-01,28481.2
2011-10-01,28286.9
2011-11-01,28747.3
2011-12-01,29723.3
2012-01-01,28931.3
2012-02-01,28775.7
2012-03-01,28316.7
2012-04-01,28926.7
2012-05-01,28017.9
2012-06-01,28434.6
2012-07-01,28211.2
2012-08-01,27789.5
2012-09-01,27252.9
2012-10-01,27519.2
2012-11-01,29093.0
2012-12-01,27914.3
2013-01-01,29180.6
2013-02-01,29512.7
2013-03-01,29018.1
2013-04-01,29825.6
2013-05-01,29672.7
2013-06-01,28740.2
2013-07-01,29438.3
2013-08-01,30133.2
2013-09-01,30160.8
2013-10-01,30637.7
2013-11-01,31086.6
2013-12-01,30508.6
2014-01-01,31105.8
2014-02-01,32486.8
2014-03-01,33701.4
2014-04-01,34082.9
2014-05-01,34603.7
2014-06-01,33521.5
2014-07-01,34036.9
2014-08-01,33685.0
2014-09-01,34563.7
2014-10-01,34473.2
2014-11-01,33769.1
2014-12-01,34680.9
2015-01-01,33344.8
2015-02-01,33083.5
2015-03-01,32648.2
2015-04-01,32571.3
2015-05-01,31696.3
2015-06-01,34480.9
2015-07-01,35279.1
2015-08-01,35515.5
2015-09-01,34756.6
2015-10-01,32197.7
2015-11-01,32847.4
2015-12-01,33749.4
2016-01-01,35097.4
2016-02-01,33682.3
2016-03-01,30797.6
2016-04-01,30927.5
2016-05-01,31414.0
2016-06-01,31676.1
2016-07-01,32706.6
2016-08-01,33266.1
2016-09-01,33127.2
2016-10-01,33146.6
2016-11-01,34944.3
2016-12-01,33397.7
2017-01-01,34893.1
2017-02-01,35669.8
2017-03-01,34570.7
2017-04-01,36205.0
2017-05-01,36222.9
2017-06-01,34434.7
2017-07-01,33063.2
2017-08-01,32781.0
2017-09-01,32109.5
2017-10-01,33332.2
2017-11-01,35588.7
2017-12-01,35313.6
2018-01-01,34445.3
2018-02-01,35220.3
2018-03-01,35591.5
2018-04-01,36442.4
2018-05-01,36704.2
2018-06-01,37969.5
2018-07-01,38939.4
2018-08-01,37773.9
2018-09-01,37239.4
2018-10-01,36917.6
2018-11-01,35820.9
2018-12-01,34783.1
2019-01-01,33627.4
2019-02-01,35255.9
2019-03-01,37644.5
2019-04-01,38230.7
2019-05-01,39538.5
2019-06-01,38110.5
2019-07-01,37893.3
2019-08-01,37848.2
2019-09-01,37640.6
2019-10-01,37175.6
2019-11-01,35857.2
2019-12-01,37255.7
2020-01-01,36317.6
2020-02-01,37322.8
2020-03-01,34552.4
2020-04-01,22672.3
2020-05-01,23181.9
2020-06-01,27972.9
2020-07-01,32123.0
2020-08-01,33987.6
2020-09-01,34045.0
2020-10-01,34068.1
2020-11-01,33432.5
2020-12-01,33205.6
2021-01-01,37031.5
2021-02-01,38043.1
2021-03-01,36375.8
2021-04-01,36395.0
2021-05-01,36445.7
2021-06-01,39544.6
2021-07-01,40072.5
2021-08-01,40733.1
2021-09-01,39572.3
2021-10-01,41330.9
2021-11-01,45639.4
2021-12-01,45002.3
2022-01-01,45137.9
2022-02-01,46049.0
2022-03-01,49155.7
2022-04-01,51636.5
2022-05-01,53552.3
2022-06-01,53307.5
2022-07-01,52388.5
2022-08-01,51055.5
2022-09-01,50010.6
2022-10-01,49863.5
2022-11-01,47906.1
2022-12-01,49309.4
2023-01-01,49937.5
2023-02-01,48346.8
2023-03-01,48215.8
2023-04-01,49942.5
2023-05-01,49630.9
2023-06-01,47437.3
2023-07-01,48523.7
2023-08-01,50765.4
2023-09-01,50672.9
2023-10-01,50970.0
2023-11-01,51621.2
2023-12-01,48004.0
2024-01-01,47005.9
2024-02-01,48300.3
2024-03-01,47409.6
2024-04-01,49705.1
2024-05-01,49693.2
2024-06-01,51048.1
2024-07-01,51603.4
2024-08-01,48441.8
2024-09-01,49930.6
2024-10-01,48322.0
2024-11-01,51099.1
2024-12-01,53379.8
2025-01-01,58134.6
2025-02-01,55991.1
2025-03-01,50870.1
2025-04-01,44162.9
2025-05-01,43291.7
2025-06-01,43090.1
2025-07-01,45886.7
2025-08-01,44562.4
2025-09-01,45466.8
2025-10-01,44139.1
2025-11-01,44245.6
2025-12-01,44806.3
2026-01-01,41567.8
2026-02-01,45050.0
2026-03-01,45495.8
