date,value
1997-01-01,19495.0
1997-02-01,19273.7
1997-03-01,20344.9
1997-04-01,20724.9
1997-05-01,20842.2
1997-06-01,20202.5
1997-07-01,18038.2
1997-08-01,19831.4
1997-09-01,21177.9
1997-10-01,21783.8
1997-11-01,20994.2
1997-12-01,21179.6
1998-01-01,20025.4
1998-02-01,20985.4
1998-03-01,22864.9
1998-04-01,22475.4
1998-05-01,22305.0
1998-06-01,22094.8
1998-07-01,19287.4
1998-08-01,22656.3
1998-09-01,24074.7
1998-10-01,25358.0
1998-11-01,24362.5
1998-12-01,23415.7
1999-01-01,23055.4
1999-02-01,23886.2
1999-03-01,27028.7
1999-04-01,25087.4
1999-05-01,24936.5
1999-06-01,26241.4
1999-07-01,22803.7
1999-08-01,26887.4
1999-09-01,26695.9
1999-10-01,27411.6
1999-11-01,27913.9
1999-12-01,26128.1
2000-01-01,26664.9
2000-02-01,27470.7
2000-03-01,31592.5
2000-04-01,28396.2
2000-05-01,31081.0
2000-06-01,31436.2
2000-07-01,26219.0
2000-08-01,30815.0
2000-09-01,30273.8
2000-10-01,32575.6
2000-11-01,32336.8
2000-12-01,30427.3
2001-01-01,32793.1
2001-02-01,29304.8
2001-03-01,32642.0
2001-04-01,30695.0
2001-05-01,31774.2
2001-06-01,30104.5
2001-07-01,25433.4
2001-08-01,29033.5
2001-09-01,27410.0
2001-10-01,28892.0
2001-11-01,28765.1
2001-12-01,24903.9
2002-01-01,27400.1
2002-02-01,27078.7
2002-03-01,29072.8
2002-04-01,30220.8
2002-05-01,30497.7
2002-06-01,27953.0
2002-07-01,26086.8
2002-08-01,29559.8
2002-09-01,29645.6
2002-10-01,31591.3
2002-11-01,29596.4
2002-12-01,26663.4
2003-01-01,28614.7
2003-02-01,27300.5
2003-03-01,31009.1
2003-04-01,28227.8
2003-05-01,27277.6
2003-06-01,26446.5
2003-07-01,24885.6
2003-08-01,25908.6
2003-09-01,27811.6
2003-10-01,28020.9
2003-11-01,25938.3
2003-12-01,25358.9
2004-01-01,25484.8
2004-02-01,26790.8
2004-03-01,30988.6
2004-04-01,29955.7
2004-05-01,30495.6
2004-06-01,32841.1
2004-07-01,27319.9
2004-08-01,30183.4
2004-09-01,29164.6
2004-10-01,29130.1
2004-11-01,28536.7
2004-12-01,27253.0
2005-01-01,27881.1
2005-02-01,27742.1
2005-03-01,30448.3
2005-04-01,30251.7
2005-05-01,30837.6
2005-06-01,30586.1
2005-07-01,26869.2
2005-08-01,31416.0
2005-09-01,31770.8
2005-10-01,33933.3
2005-11-01,32305.7
2005-12-01,31698.7
2006-01-01,31408.5
2006-02-01,28542.0
2006-03-01,32033.1
2006-04-01,29731.4
2006-05-01,30675.0
2006-06-01,30971.2
2006-07-01,27360.5
2006-08-01,30615.2
2006-09-01,28966.7
2006-10-01,29659.3
2006-11-01,29905.9
2006-12-01,29265.8
2007-01-01,30791.4
2007-02-01,28816.4
2007-03-01,33313.7
2007-04-01,30928.0
2007-05-01,30992.4
