date,value
1997-01-01,20677.4
1997-02-01,20689.3
1997-03-01,21965.5
1997-04-01,24034.7
1997-05-01,23097.4
1997-06-01,23218.2
1997-07-01,20869.8
1997-08-01,22167.9
1997-09-01,24360.5
1997-10-01,25492.3
1997-11-01,23592.6
1997-12-01,22780.9
1998-01-01,22534.5
1998-02-01,23792.0
1998-03-01,26184.4
1998-04-01,25591.8
1998-05-01,24652.3
1998-06-01,25615.3
1998-07-01,21367.2
1998-08-01,23938.8
1998-09-01,25974.3
1998-10-01,27739.8
1998-11-01,26420.6
1998-12-01,24575.4
1999-01-01,23331.7
1999-02-01,25037.7
1999-03-01,28944.7
1999-04-01,26768.7
1999-05-01,26256.8
1999-06-01,27606.5
1999-07-01,23102.4
1999-08-01,26755.6
1999-09-01,27828.4
1999-10-01,28514.9
1999-11-01,29304.9
1999-12-01,26956.4
2000-01-01,25930.1
2000-02-01,28329.6
2000-03-01,32381.0
2000-04-01,29010.9
2000-05-01,32090.5
2000-06-01,31412.1
2000-07-01,25617.7
2000-08-01,30450.4
2000-09-01,30079.1
2000-10-01,32071.8
2000-11-01,32154.5
2000-12-01,27464.4
2001-01-01,28517.8
2001-02-01,26991.2
2001-03-01,31973.2
2001-04-01,30068.3
2001-05-01,30935.7
2001-06-01,30379.8
2001-07-01,25390.3
2001-08-01,29511.8
2001-09-01,26490.6
2001-10-01,30174.7
2001-11-01,28557.1
2001-12-01,24120.0
2002-01-01,26168.1
2002-02-01,26627.1
2002-03-01,29495.7
2002-04-01,30486.3
2002-05-01,30608.9
2002-06-01,29681.7
2002-07-01,26711.6
2002-08-01,30283.3
2002-09-01,29379.9
2002-10-01,32280.7
2002-11-01,29914.8
2002-12-01,27318.6
2003-01-01,27768.2
2003-02-01,27830.3
2003-03-01,30868.8
2003-04-01,30446.8
2003-05-01,29518.1
2003-06-01,28422.7
2003-07-01,25194.7
2003-08-01,25557.3
2003-09-01,28292.9
2003-10-01,29104.7
2003-11-01,26929.7
2003-12-01,26207.2
2004-01-01,24127.7
2004-02-01,26904.5
2004-03-01,31676.9
2004-04-01,30187.7
2004-05-01,31958.8
2004-06-01,31775.8
2004-07-01,28094.5
2004-08-01,30646.9
2004-09-01,30697.1
2004-10-01,31114.2
2004-11-01,30009.5
2004-12-01,28692.6
2005-01-01,28001.9
2005-02-01,29292.2
2005-03-01,33520.8
2005-04-01,32119.9
2005-05-01,33440.3
2005-06-01,33919.4
2005-07-01,28069.0
2005-08-01,33052.2
2005-09-01,32838.6
2005-10-01,33074.6
2005-11-01,32875.0
2005-12-01,30654.4
2006-01-01,30544.4
2006-02-01,29530.2
2006-03-01,35650.9
2006-04-01,32242.2
2006-05-01,34932.5
2006-06-01,34683.4
2006-07-01,30561.8
2006-08-01,35168.6
2006-09-01,33386.0
2006-10-01,34606.5
2006-11-01,34292.7
2006-12-01,31444.7
2007-01-01,32223.0
2007-02-01,32243.3
2007-03-01,37577.2
2007-04-01,34872.7
2007-05-01,35547.7
2007-06-01,34400.3
2007-07-01,32251.7
2007-08-01,34838.0
2007-09-01,33173.6
2007-10-01,35328.9
2007-11-01,34024.3
2007-12-01,30820.2
2008-01-01,32304.3
2008-02-01,32622.7
2008-03-01,35166.8
2008-04-01,35925.9
2008-05-01,37407.0
2008-06-01,38172.6
2008-07-01,37340.5
2008-08-01,35963.1
2008-09-01,38189.1
2008-10-01,41131.3
2008-11-01,36080.6
2008-12-01,33695.1
2009-01-01,29213.2
2009-02-01,29605.2
2009-03-01,32100.7
2009-04-01,30905.7
2009-05-01,28341.1
2009-06-01,29716.5
2009-07-01,30426.2
2009-08-01,30120.2
2009-09-01,31178.6
2009-10-01,31577.0
2009-11-01,31318.6
2009-12-01,30856.3
2010-01-01,28242.1
2010-02-01,29870.1
2010-03-01,35142.5
2010-04-01,32642.5
2010-05-01,34038.8
2010-06-01,35371.1
2010-07-01,33182.1
2010-08-01,35140.9
2010-09-01,35946.9
2010-10-01,36085.9
2010-11-01,34793.5
2010-12-01,33244.8
2011-01-01,33125.6
2011-02-01,32757.0
2011-03-01,38967.9
2011-04-01,36114.0
2011-05-01,37523.1
2011-06-01,38755.9
2011-07-01,35642.2
2011-08-01,39349.4
2011-09-01,38576.8
2011-10-01,39999.1
2011-11-01,39297.4
2011-12-01,36557.6
2012-01-01,35957.5
2012-02-01,37188.2
2012-03-01,40557.0
2012-04-01,38466.7
2012-05-01,40237.3
2012-06-01,40583.2
2012-07-01,38170.5
2012-08-01,39581.7
2012-09-01,37228.6
2012-10-01,39961.7
2012-11-01,39231.7
2012-12-01,34907.6
2013-01-01,36830.3
2013-02-01,36266.1
2013-03-01,40123.6
2013-04-01,40955.8
2013-05-01,40309.4
2013-06-01,39809.9
2013-07-01,39073.0
2013-08-01,40930.3
2013-09-01,40399.5
2013-10-01,42342.7
2013-11-01,40299.4
2013-12-01,38320.5
2014-01-01,37887.2
2014-02-01,38481.9
2014-03-01,43236.8
2014-04-01,43552.8
2014-05-01,44543.3
2014-06-01,43725.7
2014-07-01,41978.0
2014-08-01,43622.6
2014-09-01,44084.0
2014-10-01,46769.3
2014-11-01,42169.7
2014-12-01,42148.7
2015-01-01,40301.5
2015-02-01,40377.3
2015-03-01,47572.8
2015-04-01,45315.3
2015-05-01,44608.8
2015-06-01,46262.8
2015-07-01,45035.8
2015-08-01,45823.4
2015-09-01,46148.2
2015-10-01,46173.6
2015-11-01,44797.3
2015-12-01,43735.2
2016-01-01,41572.4
2016-02-01,43035.2
2016-03-01,45776.1
2016-04-01,44054.4
2016-05-01,44586.6
2016-06-01,46334.7
2016-07-01,42082.0
2016-08-01,46434.9
2016-09-01,47727.3
2016-10-01,45017.4
2016-11-01,44628.2
2016-12-01,42002.1
2017-01-01,41925.8
2017-02-01,42630.2
2017-03-01,49822.2
2017-04-01,46675.8
2017-05-01,50915.6
2017-06-01,51063.9
2017-07-01,44180.6
2017-08-01,48098.6
2017-09-01,46014.8
2017-10-01,46475.8
2017-11-01,48880.0
2017-12-01,45345.8
2018-01-01,43871.7
2018-02-01,44372.4
2018-03-01,52665.3
2018-04-01,50307.9
2018-05-01,53202.5
2018-06-01,52779.9
2018-07-01,49772.2
2018-08-01,52137.3
2018-09-01,49041.7
2018-10-01,51617.3
2018-11-01,49381.9
2018-12-01,46735.5
2019-01-01,48034.8
2019-02-01,46335.4
2019-03-01,53602.3
2019-04-01,52031.1
2019-05-01,54237.5
2019-06-01,50676.0
2019-07-01,49965.4
2019-08-01,51819.1
2019-09-01,49357.8
2019-10-01,51807.9
2019-11-01,48067.9
2019-12-01,46027.3
2020-01-01,45648.7
2020-02-01,45007.1
2020-03-01,49405.9
2020-04-01,36372.1
2020-05-01,34626.1
2020-06-01,43686.2
2020-07-01,46908.1
2020-08-01,47162.6
2020-09-01,48708.0
2020-10-01,50783.2
2020-11-01,48380.2
2020-12-01,46931.8
2021-01-01,43931.9
2021-02-01,43712.1
2021-03-01,54964.3
2021-04-01,49966.7
2021-05-01,50551.8
2021-06-01,52014.2
2021-07-01,51397.9
2021-08-01,52590.1
2021-09-01,51366.8
2021-10-01,54396.5
2021-11-01,55253.5
2021-12-01,56478.8
2022-01-01,48967.6
2022-02-01,51187.7
2022-03-01,66015.3
2022-04-01,63048.3
2022-05-01,63984.2
2022-06-01,67037.4
2022-07-01,62517.6
2022-08-01,67054.1
2022-09-01,65478.1
2022-10-01,66586.4
2022-11-01,63319.1
2022-12-01,59226.0
2023-01-01,58929.2
2023-02-01,57254.4
2023-03-01,66808.5
2023-04-01,60721.6
2023-05-01,67142.2
2023-06-01,66686.1
2023-07-01,59951.8
2023-08-01,66879.8
2023-09-01,64224.7
2023-10-01,65308.1
2023-11-01,64026.3
2023-12-01,59184.4
2024-01-01,56260.2
2024-02-01,59849.2
2024-03-01,64759.5
2024-04-01,65600.2
2024-05-01,66191.9
2024-06-01,65213.4
2024-07-01,63940.9
2024-08-01,66694.0
2024-09-01,64567.3
2024-10-01,68163.9
2024-11-01,64208.6
2024-12-01,61845.5
2025-01-01,62956.8
2025-02-01,62178.7
2025-03-01,72473.9
2025-04-01,66414.0
2025-05-01,67629.3
2025-06-01,67486.0
2025-07-01,65775.0
2025-08-01,65633.2
2025-09-01,63804.6
2025-10-01,69237.9
2025-11-01,63236.8
2025-12-01,62144.9
2026-01-01,59663.2
2026-02-01,64316.2
2026-03-01,73639.2
2026-04-01,69347.8
