date,value
1997-01-01,76.7
1997-02-01,86.5
1997-03-01,64.3
1997-04-01,92.5
1997-05-01,117.0
1997-06-01,94.5
1997-07-01,79.2
1997-08-01,104.2
1997-09-01,106.7
1997-10-01,129.8
1997-11-01,138.4
1997-12-01,96.0
1998-01-01,114.1
1998-02-01,95.3
1998-03-01,68.6
1998-04-01,127.1
1998-05-01,121.8
1998-06-01,82.9
1998-07-01,114.5
1998-08-01,116.1
1998-09-01,89.6
1998-10-01,142.9
1998-11-01,148.2
1998-12-01,74.0
1999-01-01,99.5
1999-02-01,98.8
1999-03-01,93.3
1999-04-01,136.6
1999-05-01,99.0
1999-06-01,82.7
1999-07-01,87.8
1999-08-01,92.1
1999-09-01,76.9
1999-10-01,117.8
1999-11-01,132.8
1999-12-01,102.5
2000-01-01,107.0
2000-02-01,99.3
2000-03-01,123.5
2000-04-01,126.2
2000-05-01,110.9
2000-06-01,109.2
2000-07-01,116.3
2000-08-01,78.1
2000-09-01,153.0
2000-10-01,156.9
2000-11-01,222.7
2000-12-01,145.7
2001-01-01,156.5
2001-02-01,122.5
2001-03-01,150.3
2001-04-01,105.2
2001-05-01,151.3
2001-06-01,137.8
2001-07-01,131.7
2001-08-01,143.5
2001-09-01,94.7
2001-10-01,169.3
2001-11-01,170.7
2001-12-01,90.8
2002-01-01,159.7
2002-02-01,152.2
2002-03-01,90.8
2002-04-01,198.1
2002-05-01,132.5
2002-06-01,143.5
2002-07-01,136.4
2002-08-01,159.7
2002-09-01,164.0
2002-10-01,120.4
2002-11-01,131.1
2002-12-01,133.1
2003-01-01,139.1
2003-02-01,151.3
2003-03-01,90.0
2003-04-01,163.7
2003-05-01,158.0
2003-06-01,153.6
2003-07-01,149.9
2003-08-01,120.4
2003-09-01,138.5
2003-10-01,94.7
2003-11-01,137.7
2003-12-01,137.4
2004-01-01,98.6
2004-02-01,131.4
2004-03-01,123.0
2004-04-01,196.1
2004-05-01,182.5
2004-06-01,142.2
2004-07-01,226.5
2004-08-01,158.3
2004-09-01,146.1
2004-10-01,133.1
2004-11-01,165.2
2004-12-01,141.5
2005-01-01,146.5
2005-02-01,131.9
2005-03-01,127.8
2005-04-01,182.1
2005-05-01,154.5
2005-06-01,164.6
2005-07-01,176.8
2005-08-01,158.8
2005-09-01,123.7
2005-10-01,140.3
2005-11-01,104.1
2005-12-01,135.9
2006-01-01,123.0
2006-02-01,127.8
2006-03-01,152.1
2006-04-01,132.5
2006-05-01,139.8
2006-06-01,106.7
2006-07-01,117.7
2006-08-01,152.5
2006-09-01,97.9
2006-10-01,153.1
2006-11-01,177.5
2006-12-01,111.1
2007-01-01,139.1
2007-02-01,103.0
2007-03-01,116.6
2007-04-01,225.3
2007-05-01,131.2
2007-06-01,174.1
2007-07-01,133.2
2007-08-01,113.5
2007-09-01,138.9
2007-10-01,208.1
2007-11-01,148.0
2007-12-01,149.7
2008-01-01,159.4
2008-02-01,138.0
2008-03-01,136.1
2008-04-01,126.7
2008-05-01,111.4
2008-06-01,171.8
2008-07-01,121.8
2008-08-01,127.0
2008-09-01,148.7
2008-10-01,153.3
2008-11-01,136.1
2008-12-01,115.4
2009-01-01,136.2
2009-02-01,95.7
2009-03-01,173.9
2009-04-01,97.3
2009-05-01,112.7
2009-06-01,152.7
2009-07-01,149.1
2009-08-01,145.2
2009-09-01,117.6
2009-10-01,130.9
2009-11-01,179.5
2009-12-01,134.1
2010-01-01,107.6
2010-02-01,114.1
2010-03-01,116.0
2010-04-01,142.6
2010-05-01,147.5
2010-06-01,192.0
2010-07-01,137.5
2010-08-01,100.2
2010-09-01,166.3
2010-10-01,84.3
2010-11-01,141.8
2010-12-01,169.4
2011-01-01,87.2
2011-02-01,107.6
2011-03-01,232.8
2011-04-01,102.9
2011-05-01,172.7
2011-06-01,163.1
2011-07-01,112.0
2011-08-01,189.8
2011-09-01,158.6
2011-10-01,149.4
2011-11-01,134.4
2011-12-01,156.5
2012-01-01,247.9
2012-02-01,126.1
2012-03-01,121.8
2012-04-01,178.2
2012-05-01,151.8
2012-06-01,231.8
2012-07-01,159.0
2012-08-01,156.3
2012-09-01,197.9
2012-10-01,195.0
2012-11-01,145.0
2012-12-01,169.7
2013-01-01,220.6
2013-02-01,117.6
2013-03-01,229.5
2013-04-01,165.9
2013-05-01,121.1
2013-06-01,143.1
2013-07-01,148.9
2013-08-01,157.4
2013-09-01,102.5
2013-10-01,183.0
2013-11-01,117.0
2013-12-01,88.6
2014-01-01,111.4
2014-02-01,81.1
2014-03-01,115.7
2014-04-01,142.1
2014-05-01,129.9
2014-06-01,106.7
2014-07-01,112.2
2014-08-01,136.7
2014-09-01,158.5
2014-10-01,147.2
2014-11-01,83.4
2014-12-01,116.3
2015-01-01,103.6
2015-02-01,96.7
2015-03-01,164.5
2015-04-01,123.2
2015-05-01,169.4
2015-06-01,155.6
2015-07-01,133.3
2015-08-01,171.8
2015-09-01,112.9
2015-10-01,197.7
2015-11-01,125.6
2015-12-01,125.3
2016-01-01,171.5
2016-02-01,156.2
2016-03-01,198.1
2016-04-01,162.6
2016-05-01,187.2
2016-06-01,140.9
2016-07-01,177.1
2016-08-01,180.8
2016-09-01,146.1
2016-10-01,167.8
2016-11-01,155.8
2016-12-01,160.4
2017-01-01,143.0
2017-02-01,117.9
2017-03-01,204.1
2017-04-01,174.1
2017-05-01,158.5
2017-06-01,151.4
2017-07-01,178.4
2017-08-01,145.8
2017-09-01,169.1
2017-10-01,134.1
2017-11-01,168.5
2017-12-01,155.5
2018-01-01,153.0
2018-02-01,158.3
2018-03-01,175.6
2018-04-01,168.1
2018-05-01,165.8
2018-06-01,161.9
2018-07-01,198.4
2018-08-01,246.1
2018-09-01,154.1
2018-10-01,153.8
2018-11-01,137.7
2018-12-01,226.8
2019-01-01,261.4
2019-02-01,114.5
2019-03-01,237.0
2019-04-01,243.1
2019-05-01,230.1
2019-06-01,174.2
2019-07-01,188.6
2019-08-01,208.5
2019-09-01,132.3
2019-10-01,206.7
2019-11-01,182.0
2019-12-01,155.6
2020-01-01,214.6
2020-02-01,133.5
2020-03-01,146.5
2020-04-01,171.8
2020-05-01,223.5
2020-06-01,269.9
2020-07-01,220.4
2020-08-01,138.0
2020-09-01,224.1
2020-10-01,190.3
2020-11-01,202.2
2020-12-01,225.4
2021-01-01,164.9
2021-02-01,114.2
2021-03-01,298.5
2021-04-01,248.0
2021-05-01,195.2
2021-06-01,199.2
2021-07-01,195.8
2021-08-01,149.5
2021-09-01,124.2
2021-10-01,218.0
2021-11-01,147.6
2021-12-01,185.3
2022-01-01,149.6
2022-02-01,181.9
2022-03-01,188.2
2022-04-01,243.0
2022-05-01,186.2
2022-06-01,337.8
2022-07-01,236.0
2022-08-01,149.8
2022-09-01,181.3
2022-10-01,255.5
2022-11-01,343.9
2022-12-01,204.7
2023-01-01,209.4
2023-02-01,270.9
2023-03-01,195.7
2023-04-01,232.9
2023-05-01,357.4
2023-06-01,501.7
2023-07-01,166.1
2023-08-01,299.3
2023-09-01,238.7
2023-10-01,306.7
2023-11-01,263.1
2023-12-01,201.9
2024-01-01,206.5
2024-02-01,194.9
2024-03-01,159.3
2024-04-01,203.2
2024-05-01,224.9
2024-06-01,218.8
2024-07-01,234.4
2024-08-01,303.6
2024-09-01,238.1
2024-10-01,333.1
2024-11-01,269.8
2024-12-01,401.9
2025-01-01,248.6
2025-02-01,258.4
2025-03-01,250.6
2025-04-01,342.1
2025-05-01,313.6
2025-06-01,208.3
2025-07-01,308.3
2025-08-01,358.3
2025-09-01,490.4
2025-10-01,421.0
2025-11-01,360.7
2025-12-01,415.1
2026-01-01,407.2
2026-02-01,433.5
2026-03-01,258.9
2026-04-01,435.1
2026-05-01,309.8
2026-06-01,269.1
