date,value
1997-01-01,496.4
1997-02-01,474.2
1997-03-01,361.3
1997-04-01,457.9
1997-05-01,470.4
1997-06-01,490.8
1997-07-01,587.4
1997-08-01,637.9
1997-09-01,676.3
1997-10-01,686.4
1997-11-01,540.7
1997-12-01,461.8
1998-01-01,607.6
1998-02-01,551.9
1998-03-01,515.5
1998-04-01,541.2
1998-05-01,529.2
1998-06-01,580.9
1998-07-01,719.7
1998-08-01,726.4
1998-09-01,797.4
1998-10-01,806.1
1998-11-01,713.8
1998-12-01,561.2
1999-01-01,616.6
1999-02-01,656.1
1999-03-01,663.5
1999-04-01,666.1
1999-05-01,637.7
1999-06-01,729.6
1999-07-01,787.9
1999-08-01,879.1
1999-09-01,914.4
1999-10-01,860.2
1999-11-01,825.6
1999-12-01,714.2
2000-01-01,788.1
2000-02-01,850.2
2000-03-01,767.3
2000-04-01,760.8
2000-05-01,899.7
2000-06-01,917.1
2000-07-01,960.2
2000-08-01,1154.2
2000-09-01,1163.8
2000-10-01,1175.4
2000-11-01,1071.9
2000-12-01,785.2
2001-01-01,1081.2
2001-02-01,823.9
2001-03-01,995.2
2001-04-01,980.6
2001-05-01,979.8
2001-06-01,984.7
2001-07-01,1104.1
2001-08-01,1306.2
2001-09-01,1132.7
2001-10-01,1317.2
2001-11-01,1144.0
2001-12-01,874.3
2002-01-01,1176.1
2002-02-01,1158.3
2002-03-01,991.2
2002-04-01,1240.0
2002-05-01,1190.2
2002-06-01,1157.2
2002-07-01,1474.0
2002-08-01,1532.3
2002-09-01,1536.2
2002-10-01,1629.5
2002-11-01,1551.3
2002-12-01,1367.8
2003-01-01,1470.9
2003-02-01,1347.2
2003-03-01,1374.6
2003-04-01,1488.1
2003-05-01,1441.2
2003-06-01,1403.6
2003-07-01,1625.1
2003-08-01,1614.9
2003-09-01,1834.5
2003-10-01,1872.3
2003-11-01,1623.7
2003-12-01,1486.5
2004-01-01,1600.1
2004-02-01,1422.7
2004-03-01,1725.0
2004-04-01,1789.8
2004-05-01,1902.2
2004-06-01,1979.4
2004-07-01,2277.6
2004-08-01,2383.1
2004-09-01,2338.5
2004-10-01,2374.1
2004-11-01,2381.4
2004-12-01,1929.8
2005-01-01,1911.5
2005-02-01,2084.0
2005-03-01,2167.5
2005-04-01,2168.3
2005-05-01,2345.7
2005-06-01,2368.9
2005-07-01,2389.7
2005-08-01,2913.9
2005-09-01,2929.1
2005-10-01,2977.8
2005-11-01,2898.3
2005-12-01,2361.5
2006-01-01,2615.3
2006-02-01,2306.2
2006-03-01,2570.4
2006-04-01,2588.6
2006-05-01,2681.0
2006-06-01,2757.9
2006-07-01,3044.4
2006-08-01,3195.7
2006-09-01,3192.8
2006-10-01,3461.6
2006-11-01,3320.1
2006-12-01,2773.9
2007-01-01,3232.9
2007-02-01,2916.6
2007-03-01,3073.7
2007-04-01,3011.5
2007-05-01,3062.1
2007-06-01,3029.2
2007-07-01,3415.6
2007-08-01,3582.5
2007-09-01,3318.1
2007-10-01,3675.5
2007-11-01,3260.5
2007-12-01,2752.4
2008-01-01,3145.8
2008-02-01,2984.4
2008-03-01,2780.7
2008-04-01,3040.5
2008-05-01,3196.3
2008-06-01,3235.4
2008-07-01,3842.8
2008-08-01,3948.4
2008-09-01,4209.0
2008-10-01,4383.2
2008-11-01,4073.3
2008-12-01,3787.9
2009-01-01,3645.6
2009-02-01,3148.5
2009-03-01,3159.7
2009-04-01,3132.0
2009-05-01,2821.7
2009-06-01,3007.6
2009-07-01,3529.4
2009-08-01,3501.3
2009-09-01,3520.9
2009-10-01,3546.0
2009-11-01,3405.2
2009-12-01,3243.2
2010-01-01,3090.0
2010-02-01,2862.3
2010-03-01,3181.7
2010-04-01,2925.5
2010-05-01,3346.2
2010-06-01,3800.9
2010-07-01,4215.5
2010-08-01,4412.2
2010-09-01,4477.0
2010-10-01,4283.1
