date,value
1997-01-01,409.9
1997-02-01,415.5
1997-03-01,448.5
1997-04-01,487.9
1997-05-01,466.4
1997-06-01,441.2
1997-07-01,480.6
1997-08-01,397.2
1997-09-01,422.9
1997-10-01,485.3
1997-11-01,471.2
1997-12-01,474.6
1998-01-01,405.2
1998-02-01,543.4
1998-03-01,567.8
1998-04-01,520.4
1998-05-01,518.3
1998-06-01,483.6
1998-07-01,500.9
1998-08-01,501.6
1998-09-01,451.9
1998-10-01,583.9
1998-11-01,521.1
1998-12-01,483.1
1999-01-01,445.2
1999-02-01,558.6
1999-03-01,663.0
1999-04-01,569.1
1999-05-01,567.8
1999-06-01,579.6
1999-07-01,580.9
1999-08-01,574.0
1999-09-01,578.6
1999-10-01,614.6
1999-11-01,614.1
1999-12-01,603.4
2000-01-01,649.1
2000-02-01,609.2
2000-03-01,786.3
2000-04-01,665.6
2000-05-01,704.6
2000-06-01,600.0
2000-07-01,653.4
2000-08-01,645.8
2000-09-01,572.1
2000-10-01,641.7
2000-11-01,655.9
2000-12-01,589.9
2001-01-01,703.0
2001-02-01,641.4
2001-03-01,699.9
2001-04-01,866.0
2001-05-01,694.7
2001-06-01,624.0
2001-07-01,651.1
2001-08-01,641.6
2001-09-01,571.4
2001-10-01,703.4
2001-11-01,650.4
2001-12-01,552.7
2002-01-01,541.2
2002-02-01,567.2
2002-03-01,667.0
2002-04-01,732.9
2002-05-01,724.8
2002-06-01,720.0
2002-07-01,731.5
2002-08-01,691.6
2002-09-01,699.1
2002-10-01,750.9
2002-11-01,721.8
2002-12-01,745.6
2003-01-01,628.0
2003-02-01,663.3
2003-03-01,834.7
2003-04-01,850.6
2003-05-01,796.2
2003-06-01,695.9
2003-07-01,737.5
2003-08-01,668.3
2003-09-01,671.8
2003-10-01,727.0
2003-11-01,650.2
2003-12-01,721.7
2004-01-01,593.4
2004-02-01,690.1
2004-03-01,888.3
2004-04-01,837.2
2004-05-01,860.3
2004-06-01,754.2
2004-07-01,837.6
2004-08-01,743.4
2004-09-01,758.5
2004-10-01,859.0
2004-11-01,827.9
2004-12-01,775.3
2005-01-01,775.4
2005-02-01,758.1
2005-03-01,939.1
2005-04-01,910.0
2005-05-01,970.4
2005-06-01,915.6
2005-07-01,789.4
2005-08-01,861.2
2005-09-01,807.0
2005-10-01,874.4
2005-11-01,851.4
2005-12-01,819.9
2006-01-01,993.9
2006-02-01,881.5
2006-03-01,1020.6
2006-04-01,921.2
2006-05-01,1000.7
