date,value
1997-01-01,335.2
1997-02-01,271.5
1997-03-01,434.3
1997-04-01,599.0
1997-05-01,776.9
1997-06-01,379.0
1997-07-01,402.0
1997-08-01,357.3
1997-09-01,356.5
1997-10-01,522.0
1997-11-01,335.9
1997-12-01,367.7
1998-01-01,370.5
1998-02-01,382.9
1998-03-01,362.0
1998-04-01,550.6
1998-05-01,574.9
1998-06-01,534.9
1998-07-01,336.8
1998-08-01,316.3
1998-09-01,333.3
1998-10-01,375.0
1998-11-01,368.9
1998-12-01,372.5
1999-01-01,300.7
1999-02-01,658.2
1999-03-01,389.3
1999-04-01,481.9
1999-05-01,449.5
1999-06-01,614.6
1999-07-01,320.9
1999-08-01,336.8
1999-09-01,304.1
1999-10-01,614.8
1999-11-01,468.7
1999-12-01,376.9
2000-01-01,405.3
2000-02-01,298.6
2000-03-01,341.5
2000-04-01,285.3
2000-05-01,506.7
2000-06-01,419.8
2000-07-01,310.7
2000-08-01,320.9
2000-09-01,299.6
2000-10-01,343.5
2000-11-01,346.0
2000-12-01,284.3
2001-01-01,307.9
2001-02-01,304.0
2001-03-01,503.6
2001-04-01,322.0
2001-05-01,534.6
2001-06-01,559.9
2001-07-01,348.7
2001-08-01,640.6
2001-09-01,485.5
2001-10-01,460.0
2001-11-01,474.6
2001-12-01,566.2
2002-01-01,325.1
2002-02-01,341.6
2002-03-01,401.4
2002-04-01,628.2
2002-05-01,512.8
2002-06-01,854.1
2002-07-01,480.3
2002-08-01,449.3
2002-09-01,460.2
2002-10-01,437.8
2002-11-01,421.4
2002-12-01,544.5
2003-01-01,482.2
2003-02-01,353.4
2003-03-01,430.7
2003-04-01,418.7
2003-05-01,394.9
2003-06-01,414.5
2003-07-01,490.2
2003-08-01,384.5
2003-09-01,329.4
2003-10-01,402.3
2003-11-01,458.3
2003-12-01,513.2
2004-01-01,350.5
2004-02-01,452.6
2004-03-01,405.6
2004-04-01,462.6
2004-05-01,560.9
2004-06-01,546.2
2004-07-01,500.1
2004-08-01,416.9
2004-09-01,376.3
2004-10-01,476.0
2004-11-01,449.2
2004-12-01,340.9
2005-01-01,419.7
2005-02-01,401.0
2005-03-01,527.3
2005-04-01,388.1
2005-05-01,443.4
2005-06-01,554.1
2005-07-01,417.6
2005-08-01,378.2
2005-09-01,349.7
2005-10-01,374.4
2005-11-01,398.2
2005-12-01,346.1
2006-01-01,375.8
2006-02-01,351.7
2006-03-01,413.7
2006-04-01,460.9
2006-05-01,463.4
2006-06-01,509.9
2006-07-01,367.7
2006-08-01,432.9
2006-09-01,385.5
2006-10-01,463.4
2006-11-01,552.6
2006-12-01,385.3
2007-01-01,471.6
2007-02-01,361.8
2007-03-01,434.7
2007-04-01,397.7
2007-05-01,448.5
2007-06-01,431.3
2007-07-01,422.0
2007-08-01,459.9
2007-09-01,323.9
2007-10-01,425.1
2007-11-01,512.8
2007-12-01,394.3
2008-01-01,399.8
2008-02-01,400.1
2008-03-01,456.9
2008-04-01,486.3
2008-05-01,492.8
2008-06-01,552.0
2008-07-01,529.5
2008-08-01,548.9
2008-09-01,554.3
2008-10-01,532.1
2008-11-01,457.5
2008-12-01,642.5
2009-01-01,435.5
2009-02-01,465.6
2009-03-01,496.8
2009-04-01,493.3
2009-05-01,460.6
2009-06-01,472.6
2009-07-01,624.3
2009-08-01,458.5
2009-09-01,460.6
2009-10-01,441.6
2009-11-01,436.4
2009-12-01,384.5
2010-01-01,363.6
2010-02-01,433.6
2010-03-01,455.5
2010-04-01,397.4
2010-05-01,425.4
2010-06-01,435.0
2010-07-01,364.1
