date,value
1997-01-01,516.9
1997-02-01,531.5
1997-03-01,524.4
1997-04-01,632.9
1997-05-01,490.9
1997-06-01,545.1
1997-07-01,441.4
1997-08-01,472.1
1997-09-01,644.7
1997-10-01,506.4
1997-11-01,674.4
1997-12-01,518.1
1998-01-01,468.2
1998-02-01,488.0
1998-03-01,523.0
1998-04-01,540.4
1998-05-01,518.7
1998-06-01,602.0
1998-07-01,517.8
1998-08-01,492.3
1998-09-01,524.2
1998-10-01,620.1
1998-11-01,500.0
1998-12-01,519.3
1999-01-01,523.0
1999-02-01,541.7
1999-03-01,630.3
1999-04-01,511.1
1999-05-01,649.7
1999-06-01,646.4
1999-07-01,729.0
1999-08-01,762.2
1999-09-01,827.7
1999-10-01,713.1
1999-11-01,766.2
1999-12-01,806.4
2000-01-01,582.5
2000-02-01,884.0
2000-03-01,1136.8
2000-04-01,1264.8
2000-05-01,1185.4
2000-06-01,1109.7
2000-07-01,1021.3
2000-08-01,883.2
2000-09-01,1319.3
2000-10-01,1176.9
2000-11-01,1257.1
2000-12-01,1206.2
2001-01-01,1151.7
2001-02-01,857.6
2001-03-01,1198.1
2001-04-01,1299.4
2001-05-01,999.5
2001-06-01,970.9
2001-07-01,820.5
2001-08-01,978.9
2001-09-01,772.9
2001-10-01,984.7
2001-11-01,828.1
2001-12-01,855.6
2002-01-01,700.9
2002-02-01,689.2
2002-03-01,863.1
2002-04-01,917.5
2002-05-01,882.6
2002-06-01,821.1
2002-07-01,923.0
2002-08-01,814.0
2002-09-01,743.6
2002-10-01,753.9
2002-11-01,761.0
2002-12-01,868.0
2003-01-01,610.9
2003-02-01,907.8
2003-03-01,1016.0
2003-04-01,988.8
2003-05-01,710.1
2003-06-01,812.8
2003-07-01,672.8
2003-08-01,640.0
2003-09-01,768.2
2003-10-01,683.8
2003-11-01,664.9
2003-12-01,748.6
2004-01-01,526.7
2004-02-01,782.1
2004-03-01,784.4
2004-04-01,878.9
2004-05-01,817.8
2004-06-01,864.5
2004-07-01,937.2
2004-08-01,960.6
2004-09-01,784.3
2004-10-01,845.6
2004-11-01,748.5
2004-12-01,727.4
2005-01-01,850.6
2005-02-01,836.1
2005-03-01,953.6
2005-04-01,854.6
2005-05-01,769.0
2005-06-01,881.3
2005-07-01,970.6
2005-08-01,931.1
2005-09-01,754.9
2005-10-01,1002.0
2005-11-01,913.0
2005-12-01,702.3
2006-01-01,725.4
2006-02-01,690.6
2006-03-01,1156.4
2006-04-01,670.8
2006-05-01,1133.6
2006-06-01,785.3
2006-07-01,1063.2
2006-08-01,821.8
2006-09-01,1260.7
2006-10-01,943.6
2006-11-01,787.7
2006-12-01,837.2
2007-01-01,782.9
2007-02-01,807.9
2007-03-01,1043.4
2007-04-01,1033.3
2007-05-01,1162.8
2007-06-01,939.7
2007-07-01,984.2
2007-08-01,896.1
2007-09-01,988.4
2007-10-01,920.0
2007-11-01,912.2
2007-12-01,1000.6
2008-01-01,722.6
2008-02-01,763.5
2008-03-01,914.3
2008-04-01,974.0
2008-05-01,963.2
2008-06-01,1097.4
2008-07-01,1369.2
2008-08-01,1317.1
2008-09-01,1169.8
2008-10-01,1330.4
2008-11-01,820.2
2008-12-01,1113.4
2009-01-01,660.8
2009-02-01,799.6
2009-03-01,864.4
2009-04-01,736.3
2009-05-01,876.6
