date,value
1997-01-01,115.2
1997-02-01,89.8
1997-03-01,66.3
1997-04-01,87.0
1997-05-01,88.4
1997-06-01,104.4
1997-07-01,147.3
1997-08-01,131.6
1997-09-01,121.3
1997-10-01,129.2
1997-11-01,100.1
1997-12-01,83.0
1998-01-01,119.8
1998-02-01,93.8
1998-03-01,81.5
1998-04-01,79.8
1998-05-01,81.8
1998-06-01,110.5
1998-07-01,137.9
1998-08-01,123.4
1998-09-01,115.5
1998-10-01,122.4
1998-11-01,103.4
1998-12-01,81.8
1999-01-01,107.3
1999-02-01,105.3
1999-03-01,92.7
1999-04-01,87.8
1999-05-01,82.3
1999-06-01,104.7
1999-07-01,130.7
1999-08-01,132.9
1999-09-01,124.5
1999-10-01,120.1
1999-11-01,110.3
1999-12-01,104.9
2000-01-01,125.7
2000-02-01,109.2
2000-03-01,90.7
2000-04-01,81.4
2000-05-01,105.1
2000-06-01,113.6
2000-07-01,146.9
2000-08-01,160.8
2000-09-01,131.3
2000-10-01,153.3
2000-11-01,132.2
2000-12-01,100.2
2001-01-01,142.7
2001-02-01,97.3
2001-03-01,92.1
2001-04-01,81.7
2001-05-01,94.5
2001-06-01,105.9
2001-07-01,129.2
2001-08-01,128.5
2001-09-01,102.4
2001-10-01,116.5
2001-11-01,78.4
2001-12-01,59.5
2002-01-01,90.2
2002-02-01,73.6
2002-03-01,62.7
2002-04-01,77.5
2002-05-01,74.6
2002-06-01,79.3
2002-07-01,111.7
2002-08-01,92.1
2002-09-01,84.1
2002-10-01,98.5
2002-11-01,82.5
2002-12-01,68.7
2003-01-01,103.2
2003-02-01,69.4
2003-03-01,70.0
2003-04-01,61.2
2003-05-01,56.2
2003-06-01,66.6
2003-07-01,96.9
2003-08-01,75.7
2003-09-01,76.7
2003-10-01,74.1
2003-11-01,55.6
2003-12-01,52.9
2004-01-01,60.1
2004-02-01,45.2
2004-03-01,53.2
2004-04-01,47.5
2004-05-01,50.6
2004-06-01,62.4
2004-07-01,71.2
2004-08-01,73.2
2004-09-01,65.8
2004-10-01,68.9
2004-11-01,63.6
2004-12-01,57.3
2005-01-01,53.0
2005-02-01,41.6
2005-03-01,35.6
2005-04-01,38.2
2005-05-01,46.8
2005-06-01,63.2
2005-07-01,50.2
2005-08-01,48.3
2005-09-01,46.7
2005-10-01,44.2
2005-11-01,48.3
2005-12-01,43.0
2006-01-01,51.0
2006-02-01,30.3
2006-03-01,42.0
2006-04-01,40.1
2006-05-01,52.0
2006-06-01,43.0
2006-07-01,40.8
2006-08-01,44.6
2006-09-01,37.4
2006-10-01,49.4
2006-11-01,44.5
2006-12-01,37.7
2007-01-01,42.4
2007-02-01,38.2
2007-03-01,42.5
2007-04-01,86.9
2007-05-01,38.6
2007-06-01,36.6
2007-07-01,41.7
2007-08-01,42.5
2007-09-01,39.0
2007-10-01,45.7
2007-11-01,42.6
2007-12-01,35.1
2008-01-01,38.5
2008-02-01,33.3
2008-03-01,32.3
2008-04-01,35.8
2008-05-01,37.2
2008-06-01,38.9
2008-07-01,41.1
2008-08-01,42.8
2008-09-01,43.6
2008-10-01,40.1
2008-11-01,42.5
2008-12-01,38.2
2009-01-01,29.9
2009-02-01,32.3
2009-03-01,35.8
2009-04-01,27.6
2009-05-01,28.3
2009-06-01,28.5
2009-07-01,30.7
2009-08-01,30.9
2009-09-01,29.3
2009-10-01,34.6
2009-11-01,31.3
2009-12-01,25.2
2010-01-01,22.9
