date,value
1997-01-01,66.1
1997-02-01,53.6
1997-03-01,52.5
1997-04-01,70.5
1997-05-01,70.3
1997-06-01,76.6
1997-07-01,69.4
1997-08-01,70.8
1997-09-01,79.8
1997-10-01,74.0
1997-11-01,66.2
1997-12-01,64.6
1998-01-01,76.2
1998-02-01,60.4
1998-03-01,64.2
1998-04-01,66.9
1998-05-01,65.8
1998-06-01,101.3
1998-07-01,85.2
1998-08-01,90.2
1998-09-01,86.2
1998-10-01,76.4
1998-11-01,75.4
1998-12-01,74.6
1999-01-01,79.0
1999-02-01,57.6
1999-03-01,73.0
1999-04-01,66.7
1999-05-01,57.9
1999-06-01,68.1
1999-07-01,75.5
1999-08-01,86.7
1999-09-01,78.6
1999-10-01,76.0
1999-11-01,76.6
1999-12-01,70.0
2000-01-01,63.6
2000-02-01,64.0
2000-03-01,89.5
2000-04-01,65.9
2000-05-01,70.7
2000-06-01,73.1
2000-07-01,68.6
2000-08-01,83.5
2000-09-01,83.4
2000-10-01,77.3
2000-11-01,93.2
2000-12-01,60.9
2001-01-01,84.1
2001-02-01,56.9
2001-03-01,73.2
2001-04-01,68.3
2001-05-01,100.3
2001-06-01,88.7
2001-07-01,80.6
2001-08-01,90.3
2001-09-01,79.1
2001-10-01,93.9
2001-11-01,83.3
2001-12-01,63.1
2002-01-01,72.1
2002-02-01,61.8
2002-03-01,68.7
2002-04-01,83.5
2002-05-01,77.4
2002-06-01,73.9
2002-07-01,92.0
2002-08-01,91.3
2002-09-01,89.9
2002-10-01,89.0
2002-11-01,82.9
2002-12-01,81.1
2003-01-01,73.5
2003-02-01,73.2
2003-03-01,73.4
2003-04-01,84.6
2003-05-01,78.2
2003-06-01,67.4
2003-07-01,82.6
2003-08-01,79.0
2003-09-01,86.5
2003-10-01,78.1
2003-11-01,77.8
2003-12-01,73.7
2004-01-01,60.5
2004-02-01,69.6
2004-03-01,84.0
2004-04-01,69.0
2004-05-01,77.4
2004-06-01,73.0
2004-07-01,85.2
2004-08-01,77.6
2004-09-01,86.6
2004-10-01,110.4
2004-11-01,79.9
2004-12-01,57.9
2005-01-01,71.2
2005-02-01,65.9
2005-03-01,75.0
2005-04-01,82.3
2005-05-01,72.9
2005-06-01,79.9
2005-07-01,70.1
2005-08-01,92.6
2005-09-01,98.4
2005-10-01,113.0
