date,value
1997-01-01,54.1
1997-02-01,57.8
1997-03-01,62.2
1997-04-01,63.5
1997-05-01,59.3
1997-06-01,55.3
1997-07-01,75.3
1997-08-01,68.9
1997-09-01,67.4
1997-10-01,67.1
1997-11-01,52.9
1997-12-01,59.4
1998-01-01,74.1
1998-02-01,67.5
1998-03-01,80.0
1998-04-01,78.8
1998-05-01,66.6
1998-06-01,73.3
1998-07-01,96.6
1998-08-01,86.5
1998-09-01,79.6
1998-10-01,72.4
1998-11-01,63.5
1998-12-01,59.6
1999-01-01,78.9
1999-02-01,74.1
1999-03-01,97.8
1999-04-01,84.4
1999-05-01,75.5
1999-06-01,95.1
1999-07-01,90.3
1999-08-01,91.7
1999-09-01,90.1
1999-10-01,76.9
1999-11-01,92.6
1999-12-01,70.5
2000-01-01,104.0
2000-02-01,82.9
2000-03-01,135.0
2000-04-01,87.8
2000-05-01,92.5
2000-06-01,107.4
2000-07-01,95.2
2000-08-01,129.8
2000-09-01,108.6
2000-10-01,102.2
2000-11-01,110.3
2000-12-01,76.2
2001-01-01,98.7
2001-02-01,96.7
2001-03-01,107.5
2001-04-01,101.0
2001-05-01,100.8
2001-06-01,77.7
2001-07-01,108.0
2001-08-01,104.6
2001-09-01,84.6
2001-10-01,114.3
2001-11-01,84.8
2001-12-01,76.0
2002-01-01,114.5
2002-02-01,103.8
2002-03-01,109.0
2002-04-01,118.6
2002-05-01,98.8
2002-06-01,98.9
2002-07-01,118.5
2002-08-01,130.1
2002-09-01,108.4
2002-10-01,120.4
2002-11-01,102.1
2002-12-01,104.2
2003-01-01,116.8
2003-02-01,115.8
2003-03-01,129.3
2003-04-01,125.4
2003-05-01,112.1
2003-06-01,107.5
2003-07-01,127.9
2003-08-01,121.5
2003-09-01,133.1
2003-10-01,132.3
2003-11-01,104.6
2003-12-01,97.3
2004-01-01,109.8
2004-02-01,113.6
2004-03-01,139.7
2004-04-01,133.6
2004-05-01,123.3
2004-06-01,134.3
2004-07-01,137.3
2004-08-01,152.1
2004-09-01,145.9
2004-10-01,143.0
2004-11-01,129.0
2004-12-01,115.8
2005-01-01,118.3
2005-02-01,133.8
2005-03-01,176.8
2005-04-01,153.8
2005-05-01,145.9
2005-06-01,135.6
2005-07-01,131.1
2005-08-01,161.0
2005-09-01,146.0
2005-10-01,145.0
2005-11-01,202.8
2005-12-01,136.0
2006-01-01,156.2
2006-02-01,141.1
2006-03-01,182.9
2006-04-01,224.5
2006-05-01,145.8
2006-06-01,153.8
2006-07-01,156.1
2006-08-01,173.1
2006-09-01,149.9
2006-10-01,164.8
2006-11-01,147.5
2006-12-01,123.6
2007-01-01,175.0
2007-02-01,161.8
2007-03-01,167.4
2007-04-01,161.4
2007-05-01,156.2
2007-06-01,139.7
2007-07-01,178.2
2007-08-01,184.8
2007-09-01,159.9
2007-10-01,185.1
2007-11-01,166.0
2007-12-01,143.7
2008-01-01,178.9
2008-02-01,162.0
2008-03-01,171.1
2008-04-01,195.2
2008-05-01,165.9
2008-06-01,160.0
2008-07-01,190.5
2008-08-01,199.6
2008-09-01,206.2
2008-10-01,232.4
2008-11-01,179.4
2008-12-01,195.7
2009-01-01,181.3
2009-02-01,184.7
2009-03-01,196.1
2009-04-01,181.8
2009-05-01,163.8
2009-06-01,153.8
2009-07-01,165.2
2009-08-01,143.9
2009-09-01,198.9
2009-10-01,157.0
2009-11-01,136.0
2009-12-01,140.9
2010-01-01,147.1
2010-02-01,144.1
2010-03-01,199.6
2010-04-01,156.1
2010-05-01,148.6
2010-06-01,167.0
2010-07-01,172.7
2010-08-01,190.7
2010-09-01,188.8
2010-10-01,199.9
2010-11-01,196.4
2010-12-01,212.1
2011-01-01,199.1
2011-02-01,182.2
2011-03-01,271.7
2011-04-01,193.2
2011-05-01,191.8
2011-06-01,224.2
2011-07-01,181.6
2011-08-01,203.8
2011-09-01,216.1
2011-10-01,240.3
2011-11-01,219.3
2011-12-01,210.5
2012-01-01,302.1
2012-02-01,271.4
2012-03-01,243.5
2012-04-01,230.8
2012-05-01,220.1
2012-06-01,228.0
2012-07-01,249.3
2012-08-01,243.8
2012-09-01,210.6
2012-10-01,245.9
2012-11-01,222.7
2012-12-01,188.2
2013-01-01,225.3
2013-02-01,202.1
2013-03-01,233.5
2013-04-01,284.0
2013-05-01,230.0
2013-06-01,193.9
2013-07-01,245.6
2013-08-01,245.8
2013-09-01,261.9
2013-10-01,328.4
2013-11-01,308.7
2013-12-01,217.3
2014-01-01,232.9
2014-02-01,228.3
2014-03-01,272.2
2014-04-01,283.6
2014-05-01,244.6
2014-06-01,243.7
2014-07-01,256.0
2014-08-01,261.2
2014-09-01,287.9
2014-10-01,337.1
2014-11-01,253.5
2014-12-01,280.2
2015-01-01,275.9
2015-02-01,272.6
2015-03-01,311.7
2015-04-01,367.3
2015-05-01,335.1
2015-06-01,340.8
2015-07-01,327.5
2015-08-01,345.1
2015-09-01,375.1
2015-10-01,373.2
2015-11-01,302.8
2015-12-01,308.0
2016-01-01,317.3
2016-02-01,343.6
2016-03-01,352.9
2016-04-01,298.3
2016-05-01,289.3
2016-06-01,348.4
2016-07-01,362.0
2016-08-01,353.7
2016-09-01,386.5
2016-10-01,335.9
2016-11-01,357.5
2016-12-01,293.1
2017-01-01,352.1
2017-02-01,304.9
2017-03-01,370.6
2017-04-01,331.5
2017-05-01,398.2
2017-06-01,373.3
2017-07-01,335.9
2017-08-01,330.8
2017-09-01,345.6
2017-10-01,360.1
2017-11-01,332.2
2017-12-01,323.2
2018-01-01,341.4
2018-02-01,504.5
2018-03-01,408.4
2018-04-01,513.3
2018-05-01,427.6
2018-06-01,411.9
2018-07-01,423.5
2018-08-01,398.6
2018-09-01,400.7
2018-10-01,414.0
2018-11-01,429.9
2018-12-01,400.9
2019-01-01,407.4
2019-02-01,428.7
2019-03-01,453.1
2019-04-01,476.6
2019-05-01,524.5
2019-06-01,417.7
2019-07-01,448.6
2019-08-01,403.8
2019-09-01,408.6
2019-10-01,468.8
2019-11-01,436.7
2019-12-01,407.7
2020-01-01,411.6
2020-02-01,398.6
2020-03-01,488.1
2020-04-01,404.5
2020-05-01,256.6
2020-06-01,314.3
2020-07-01,391.3
2020-08-01,384.3
2020-09-01,476.5
2020-10-01,535.7
2020-11-01,489.7
2020-12-01,419.9
2021-01-01,453.9
2021-02-01,376.8
2021-03-01,500.6
2021-04-01,507.9
2021-05-01,512.2
2021-06-01,453.8
2021-07-01,499.6
2021-08-01,517.8
2021-09-01,499.1
2021-10-01,573.2
2021-11-01,558.5
2021-12-01,578.9
2022-01-01,539.9
2022-02-01,524.5
2022-03-01,671.9
2022-04-01,699.0
2022-05-01,685.9
2022-06-01,810.5
2022-07-01,716.4
2022-08-01,714.8
2022-09-01,792.6
2022-10-01,811.5
2022-11-01,694.1
2022-12-01,683.8
2023-01-01,608.8
2023-02-01,570.8
2023-03-01,675.6
2023-04-01,601.1
2023-05-01,713.8
2023-06-01,617.8
2023-07-01,555.9
2023-08-01,616.3
2023-09-01,734.4
2023-10-01,644.1
2023-11-01,606.5
2023-12-01,575.0
2024-01-01,598.3
2024-02-01,564.5
2024-03-01,689.2
2024-04-01,770.2
2024-05-01,690.3
2024-06-01,623.1
2024-07-01,648.1
2024-08-01,635.2
2024-09-01,680.8
2024-10-01,766.7
2024-11-01,705.0
2024-12-01,659.3
2025-01-01,763.4
2025-02-01,711.8
2025-03-01,857.7
2025-04-01,821.6
2025-05-01,947.3
2025-06-01,772.9
2025-07-01,737.7
2025-08-01,784.2
2025-09-01,784.1
2025-10-01,859.8
2025-11-01,850.6
2025-12-01,803.2
2026-01-01,790.9
2026-02-01,740.8
2026-03-01,906.8
2026-04-01,992.3
2026-05-01,917.0
