date,value
1997-01-01,957.2
1997-02-01,958.4
1997-03-01,1069.2
1997-04-01,1049.9
1997-05-01,961.0
1997-06-01,988.3
1997-07-01,978.7
1997-08-01,948.0
1997-09-01,1176.2
1997-10-01,1218.7
1997-11-01,1164.8
1997-12-01,1080.1
1998-01-01,1126.5
1998-02-01,1176.9
1998-03-01,1349.7
1998-04-01,1182.4
1998-05-01,1105.1
1998-06-01,1156.9
1998-07-01,1129.5
1998-08-01,1070.4
1998-09-01,1254.5
1998-10-01,1247.2
1998-11-01,1112.6
1998-12-01,1103.3
1999-01-01,1033.7
1999-02-01,1198.1
1999-03-01,1429.5
1999-04-01,1201.2
1999-05-01,1204.8
1999-06-01,1258.6
1999-07-01,1118.4
1999-08-01,1202.0
1999-09-01,1361.4
1999-10-01,1340.8
1999-11-01,1417.7
1999-12-01,1272.6
2000-01-01,1188.8
2000-02-01,1386.0
2000-03-01,1605.8
2000-04-01,1333.7
2000-05-01,1412.9
2000-06-01,1417.2
2000-07-01,1274.9
2000-08-01,1430.2
2000-09-01,1365.2
2000-10-01,1574.2
2000-11-01,1372.6
2000-12-01,1250.3
2001-01-01,1244.4
2001-02-01,1251.8
2001-03-01,1353.9
2001-04-01,1285.9
2001-05-01,1152.8
2001-06-01,1097.4
2001-07-01,1206.8
2001-08-01,1315.1
2001-09-01,1064.7
2001-10-01,1315.3
2001-11-01,1310.1
2001-12-01,1042.7
2002-01-01,1037.9
2002-02-01,1247.9
2002-03-01,1386.6
2002-04-01,1502.8
2002-05-01,1429.2
2002-06-01,1208.5
2002-07-01,1094.4
2002-08-01,1214.8
2002-09-01,1356.9
2002-10-01,1360.1
2002-11-01,1248.7
2002-12-01,1340.2
2003-01-01,1055.8
2003-02-01,1171.5
2003-03-01,1411.6
2003-04-01,1358.0
2003-05-01,1117.8
2003-06-01,1328.0
2003-07-01,1102.6
2003-08-01,904.1
2003-09-01,1093.7
2003-10-01,1146.2
2003-11-01,1012.4
2003-12-01,1118.5
2004-01-01,817.9
2004-02-01,1146.6
2004-03-01,1308.1
2004-04-01,1155.1
2004-05-01,1153.1
2004-06-01,1196.4
2004-07-01,1105.8
2004-08-01,1071.4
2004-09-01,1129.4
2004-10-01,1103.1
2004-11-01,1241.4
2004-12-01,1086.0
2005-01-01,1077.0
2005-02-01,1152.1
2005-03-01,1550.8
2005-04-01,1283.8
2005-05-01,1247.6
2005-06-01,1294.6
2005-07-01,1100.0
2005-08-01,1149.5
2005-09-01,1287.1
2005-10-01,1253.0
2005-11-01,1249.0
2005-12-01,1156.6
2006-01-01,1054.8
2006-02-01,1216.7
2006-03-01,1430.6
2006-04-01,1466.9
2006-05-01,1382.7
2006-06-01,1366.7
2006-07-01,1194.0
2006-08-01,1307.4
2006-09-01,1258.5
2006-10-01,1328.3
2006-11-01,1175.6
2006-12-01,1144.7
2007-01-01,1149.7
2007-02-01,1373.3
2007-03-01,1544.1
2007-04-01,1374.5
2007-05-01,1262.7
