date,value
1997-01-01,210.9
1997-02-01,215.0
1997-03-01,238.7
1997-04-01,249.6
1997-05-01,230.4
1997-06-01,224.8
1997-07-01,247.3
1997-08-01,226.1
1997-09-01,283.7
1997-10-01,278.0
1997-11-01,244.9
1997-12-01,188.1
1998-01-01,248.1
1998-02-01,218.8
1998-03-01,329.5
1998-04-01,242.5
1998-05-01,239.6
1998-06-01,251.6
1998-07-01,267.6
1998-08-01,239.9
1998-09-01,371.9
1998-10-01,400.1
1998-11-01,276.9
1998-12-01,225.5
1999-01-01,270.1
1999-02-01,240.5
1999-03-01,288.4
1999-04-01,273.8
1999-05-01,282.9
1999-06-01,311.2
1999-07-01,301.0
1999-08-01,280.0
1999-09-01,325.6
1999-10-01,330.5
1999-11-01,333.1
1999-12-01,335.5
2000-01-01,328.6
2000-02-01,351.5
2000-03-01,359.5
2000-04-01,334.4
2000-05-01,800.7
2000-06-01,353.4
2000-07-01,407.6
2000-08-01,450.5
2000-09-01,441.1
2000-10-01,464.2
2000-11-01,646.3
2000-12-01,344.2
2001-01-01,388.8
2001-02-01,327.5
2001-03-01,413.7
2001-04-01,345.0
2001-05-01,401.8
2001-06-01,438.6
2001-07-01,470.7
2001-08-01,402.0
2001-09-01,328.2
2001-10-01,414.3
2001-11-01,389.2
2001-12-01,285.0
2002-01-01,371.1
2002-02-01,323.9
2002-03-01,326.6
2002-04-01,408.9
2002-05-01,434.7
2002-06-01,404.6
2002-07-01,408.4
2002-08-01,414.2
2002-09-01,444.9
2002-10-01,472.4
2002-11-01,419.4
2002-12-01,435.5
2003-01-01,470.6
2003-02-01,326.9
2003-03-01,416.8
2003-04-01,440.7
2003-05-01,437.0
2003-06-01,372.6
2003-07-01,409.1
2003-08-01,321.1
2003-09-01,415.9
2003-10-01,530.4
2003-11-01,551.7
2003-12-01,416.9
2004-01-01,393.0
2004-02-01,347.4
2004-03-01,510.6
2004-04-01,423.9
2004-05-01,777.0
2004-06-01,469.3
2004-07-01,391.7
2004-08-01,443.1
2004-09-01,510.0
2004-10-01,435.7
2004-11-01,657.0
2004-12-01,471.9
2005-01-01,458.4
2005-02-01,415.8
2005-03-01,454.3
2005-04-01,433.5
2005-05-01,493.7
2005-06-01,458.9
2005-07-01,401.9
2005-08-01,403.1
2005-09-01,396.4
2005-10-01,455.2
2005-11-01,515.0
2005-12-01,489.1
2006-01-01,431.6
2006-02-01,376.9
2006-03-01,457.1
2006-04-01,476.8
2006-05-01,852.1
2006-06-01,423.6
2006-07-01,413.8
2006-08-01,385.3
2006-09-01,459.8
2006-10-01,455.4
2006-11-01,526.0
2006-12-01,505.4
2007-01-01,404.8
2007-02-01,319.7
2007-03-01,478.4
2007-04-01,499.4
2007-05-01,458.6
2007-06-01,472.9
2007-07-01,447.8
2007-08-01,446.1
2007-09-01,404.3
2007-10-01,457.2
2007-11-01,573.8
2007-12-01,403.0
2008-01-01,411.3
2008-02-01,403.9
2008-03-01,438.1
2008-04-01,454.1
2008-05-01,554.1
2008-06-01,512.4
2008-07-01,504.8
2008-08-01,518.6
2008-09-01,640.0
2008-10-01,603.3
2008-11-01,479.6
2008-12-01,492.2
2009-01-01,469.2
2009-02-01,376.7
2009-03-01,441.3
2009-04-01,509.4
2009-05-01,591.8
2009-06-01,591.4
2009-07-01,489.2
2009-08-01,382.9
2009-09-01,558.1
2009-10-01,548.9
2009-11-01,491.5
2009-12-01,480.9
2010-01-01,410.2
2010-02-01,458.1
2010-03-01,489.2
2010-04-01,539.6
2010-05-01,496.1
2010-06-01,452.5
2010-07-01,509.0
2010-08-01,494.7
2010-09-01,530.8
2010-10-01,771.5
2010-11-01,572.7
2010-12-01,422.8
2011-01-01,446.2
2011-02-01,456.8
2011-03-01,514.9
2011-04-01,506.1
2011-05-01,582.2
2011-06-01,701.7
2011-07-01,735.7
2011-08-01,580.1
2011-09-01,552.2
2011-10-01,549.4
2011-11-01,581.0
2011-12-01,469.6
2012-01-01,495.4
2012-02-01,480.4
2012-03-01,633.5
2012-04-01,571.7
2012-05-01,618.0
2012-06-01,578.8
2012-07-01,543.1
2012-08-01,554.4
2012-09-01,482.0
2012-10-01,478.8
2012-11-01,460.0
2012-12-01,476.3
2013-01-01,513.9
2013-02-01,561.1
2013-03-01,584.8
2013-04-01,721.5
2013-05-01,774.3
2013-06-01,699.7
2013-07-01,681.6
2013-08-01,541.9
2013-09-01,597.8
2013-10-01,554.0
2013-11-01,593.1
2013-12-01,514.0
2014-01-01,608.2
2014-02-01,543.1
2014-03-01,711.3
2014-04-01,665.4
2014-05-01,628.8
2014-06-01,614.6
2014-07-01,590.7
2014-08-01,557.2
2014-09-01,561.2
2014-10-01,610.0
2014-11-01,528.7
2014-12-01,626.2
2015-01-01,627.0
2015-02-01,609.0
2015-03-01,797.1
2015-04-01,614.7
2015-05-01,655.9
2015-06-01,671.7
2015-07-01,746.2
2015-08-01,642.1
2015-09-01,689.4
2015-10-01,627.2
2015-11-01,1025.3
2015-12-01,535.6
2016-01-01,594.1
2016-02-01,621.6
2016-03-01,871.7
2016-04-01,626.9
2016-05-01,678.1
2016-06-01,757.5
2016-07-01,581.3
2016-08-01,583.4
2016-09-01,3530.6
2016-10-01,489.7
2016-11-01,683.8
2016-12-01,583.4
2017-01-01,547.5
2017-02-01,650.9
2017-03-01,789.1
2017-04-01,709.7
2017-05-01,671.5
2017-06-01,913.6
2017-07-01,695.2
2017-08-01,671.9
2017-09-01,787.7
2017-10-01,678.7
2017-11-01,799.7
2017-12-01,682.3
2018-01-01,547.8
2018-02-01,564.4
2018-03-01,711.6
2018-04-01,884.1
2018-05-01,953.1
2018-06-01,1006.2
2018-07-01,854.7
2018-08-01,797.7
2018-09-01,750.9
2018-10-01,717.7
2018-11-01,846.8
2018-12-01,810.9
2019-01-01,703.6
2019-02-01,770.9
2019-03-01,766.5
2019-04-01,840.1
2019-05-01,887.9
2019-06-01,949.6
2019-07-01,924.5
2019-08-01,807.3
2019-09-01,792.0
2019-10-01,706.6
2019-11-01,757.4
2019-12-01,599.4
2020-01-01,655.4
2020-02-01,597.7
2020-03-01,774.4
2020-04-01,645.5
2020-05-01,400.9
2020-06-01,719.4
2020-07-01,1499.1
2020-08-01,791.1
2020-09-01,893.3
2020-10-01,898.5
2020-11-01,914.1
2020-12-01,812.1
2021-01-01,780.9
2021-02-01,691.2
2021-03-01,969.8
2021-04-01,908.4
2021-05-01,928.1
2021-06-01,830.9
2021-07-01,843.0
2021-08-01,892.9
2021-09-01,921.8
2021-10-01,749.8
2021-11-01,909.7
2021-12-01,983.1
2022-01-01,1003.6
2022-02-01,942.6
2022-03-01,1212.0
2022-04-01,1401.7
2022-05-01,1269.0
2022-06-01,1120.9
2022-07-01,1149.2
2022-08-01,1041.3
2022-09-01,1065.6
2022-10-01,1164.2
2022-11-01,1107.7
2022-12-01,867.5
2023-01-01,998.8
2023-02-01,1016.6
2023-03-01,1171.2
2023-04-01,1101.7
2023-05-01,1174.8
2023-06-01,1109.7
2023-07-01,1016.9
2023-08-01,1346.3
2023-09-01,1298.2
2023-10-01,1311.1
2023-11-01,1163.6
2023-12-01,1479.7
2024-01-01,1120.9
2024-02-01,1303.3
2024-03-01,1609.5
2024-04-01,1585.0
2024-05-01,1545.5
2024-06-01,1588.1
2024-07-01,1379.1
2024-08-01,1371.7
2024-09-01,1512.5
2024-10-01,1438.4
2024-11-01,1268.4
2024-12-01,1359.1
2025-01-01,1645.7
2025-02-01,1204.2
2025-03-01,1414.7
2025-04-01,1588.5
2025-05-01,1720.4
2025-06-01,1644.9
2025-07-01,1727.6
2025-08-01,1300.9
2025-09-01,1492.5
2025-10-01,1293.7
2025-11-01,1390.6
2025-12-01,1471.1
2026-01-01,1469.2
2026-02-01,1350.0
2026-03-01,1446.8
