date,value
1997-01-01,495.1
1997-02-01,508.9
1997-03-01,584.8
1997-04-01,603.6
1997-05-01,550.2
1997-06-01,593.5
1997-07-01,526.0
1997-08-01,599.1
1997-09-01,644.8
1997-10-01,666.5
1997-11-01,667.3
1997-12-01,581.8
1998-01-01,503.2
1998-02-01,585.2
1998-03-01,709.1
1998-04-01,701.8
1998-05-01,645.9
1998-06-01,688.5
1998-07-01,504.7
1998-08-01,612.7
1998-09-01,655.4
1998-10-01,717.9
1998-11-01,722.2
1998-12-01,635.1
1999-01-01,637.6
1999-02-01,649.8
1999-03-01,863.0
1999-04-01,770.0
1999-05-01,778.5
1999-06-01,843.7
1999-07-01,642.3
1999-08-01,827.3
1999-09-01,863.0
1999-10-01,836.6
1999-11-01,974.0
1999-12-01,850.3
2000-01-01,787.7
2000-02-01,860.5
2000-03-01,1030.2
2000-04-01,924.9
2000-05-01,1027.5
2000-06-01,1126.7
2000-07-01,849.3
2000-08-01,1043.5
2000-09-01,1092.8
2000-10-01,1145.1
2000-11-01,1197.0
2000-12-01,974.8
2001-01-01,886.1
2001-02-01,971.9
2001-03-01,1150.3
2001-04-01,1042.5
2001-05-01,1068.7
2001-06-01,1078.0
2001-07-01,825.3
2001-08-01,1028.9
2001-09-01,911.8
2001-10-01,1115.2
2001-11-01,1133.5
2001-12-01,910.8
2002-01-01,922.5
2002-02-01,986.2
2002-03-01,1167.6
2002-04-01,1036.4
2002-05-01,1072.0
2002-06-01,1092.6
2002-07-01,875.3
2002-08-01,997.1
2002-09-01,1111.5
2002-10-01,1208.3
2002-11-01,1167.7
2002-12-01,1106.3
2003-01-01,956.1
2003-02-01,1089.5
2003-03-01,1140.2
2003-04-01,1050.4
2003-05-01,1088.7
2003-06-01,1056.7
2003-07-01,768.1
2003-08-01,923.8
2003-09-01,1024.9
2003-10-01,1083.2
2003-11-01,1039.7
2003-12-01,969.0
2004-01-01,875.3
2004-02-01,1058.0
2004-03-01,1213.4
2004-04-01,1085.3
2004-05-01,1273.2
2004-06-01,1178.0
2004-07-01,1007.6
2004-08-01,1189.0
2004-09-01,1158.6
2004-10-01,1149.7
2004-11-01,1210.0
2004-12-01,1037.0
2005-01-01,1089.1
2005-02-01,1074.8
2005-03-01,1193.2
2005-04-01,1206.9
2005-05-01,1296.4
2005-06-01,1261.1
2005-07-01,940.1
2005-08-01,1212.2
2005-09-01,1340.9
2005-10-01,1384.7
2005-11-01,1319.5
2005-12-01,1276.1
2006-01-01,1238.5
2006-02-01,1096.0
2006-03-01,1372.8
2006-04-01,1266.8
2006-05-01,1302.6
2006-06-01,1383.8
2006-07-01,1220.2
2006-08-01,1413.9
2006-09-01,1424.3
2006-10-01,1418.6
2006-11-01,1541.5
2006-12-01,1339.6
2007-01-01,1212.8
2007-02-01,1358.9
2007-03-01,1685.5
2007-04-01,1424.3
2007-05-01,1369.8
2007-06-01,1454.3
2007-07-01,1213.6
2007-08-01,1493.8
2007-09-01,1609.3
2007-10-01,1518.8
2007-11-01,1515.1
2007-12-01,1323.2
2008-01-01,1130.0
2008-02-01,1313.4
2008-03-01,1359.8
2008-04-01,1333.7
2008-05-01,1505.9
2008-06-01,1494.0
2008-07-01,1281.7
2008-08-01,1555.2
2008-09-01,1591.2
2008-10-01,1809.1
2008-11-01,1995.4
2008-12-01,1546.3
2009-01-01,1040.2
2009-02-01,1163.9
2009-03-01,1337.2
2009-04-01,1326.2
2009-05-01,1253.2
2009-06-01,1240.8
2009-07-01,1330.5
2009-08-01,1664.7
2009-09-01,1453.4
2009-10-01,1427.9
2009-11-01,1714.4
2009-12-01,1583.3
2010-01-01,1458.6
2010-02-01,1670.7
2010-03-01,1892.1
2010-04-01,1752.3
2010-05-01,1912.3
2010-06-01,1855.7
2010-07-01,1599.2
2010-08-01,1880.3
2010-09-01,2036.9
2010-10-01,2127.4
2010-11-01,2051.0
2010-12-01,1874.8
2011-01-01,1810.8
2011-02-01,1890.1
2011-03-01,2124.5
2011-04-01,1964.9
2011-05-01,2071.7
2011-06-01,2162.9
2011-07-01,1847.5
2011-08-01,2275.2
2011-09-01,2170.4
2011-10-01,2113.7
2011-11-01,2354.7
2011-12-01,1785.4
2012-01-01,1852.4
2012-02-01,2199.6
2012-03-01,2295.5
2012-04-01,2173.3
2012-05-01,2162.9
2012-06-01,2203.7
2012-07-01,1905.9
2012-08-01,2071.4
2012-09-01,2056.8
2012-10-01,2211.1
2012-11-01,2362.5
