date,value
1997-01-01,67.0
1997-02-01,61.2
1997-03-01,88.4
1997-04-01,112.6
1997-05-01,77.0
1997-06-01,78.5
1997-07-01,80.2
1997-08-01,99.7
1997-09-01,92.5
1997-10-01,98.0
1997-11-01,85.9
1997-12-01,117.6
1998-01-01,87.4
1998-02-01,80.9
1998-03-01,101.0
1998-04-01,88.9
1998-05-01,82.1
1998-06-01,100.6
1998-07-01,109.9
1998-08-01,94.8
1998-09-01,111.8
1998-10-01,129.7
1998-11-01,93.1
1998-12-01,83.7
1999-01-01,80.7
1999-02-01,81.0
1999-03-01,110.5
1999-04-01,93.8
1999-05-01,92.1
1999-06-01,105.2
1999-07-01,96.2
1999-08-01,119.7
1999-09-01,91.0
1999-10-01,105.0
1999-11-01,141.1
1999-12-01,107.9
2000-01-01,78.3
2000-02-01,82.4
2000-03-01,99.5
2000-04-01,79.7
2000-05-01,121.5
2000-06-01,99.4
2000-07-01,107.6
2000-08-01,114.7
2000-09-01,117.0
2000-10-01,146.8
2000-11-01,117.3
2000-12-01,103.1
2001-01-01,111.9
2001-02-01,104.9
2001-03-01,117.3
2001-04-01,126.4
2001-05-01,122.4
2001-06-01,107.9
2001-07-01,121.8
2001-08-01,109.5
2001-09-01,138.2
2001-10-01,135.6
2001-11-01,109.4
2001-12-01,86.0
2002-01-01,96.6
2002-02-01,103.7
2002-03-01,104.8
2002-04-01,106.2
2002-05-01,104.1
2002-06-01,99.4
2002-07-01,240.3
2002-08-01,122.6
2002-09-01,117.1
2002-10-01,135.6
2002-11-01,116.0
2002-12-01,122.2
2003-01-01,120.6
2003-02-01,142.6
2003-03-01,148.9
2003-04-01,151.3
2003-05-01,131.3
2003-06-01,126.9
2003-07-01,159.2
2003-08-01,131.2
2003-09-01,209.2
2003-10-01,129.1
2003-11-01,131.9
2003-12-01,115.6
2004-01-01,94.7
2004-02-01,112.6
2004-03-01,144.6
2004-04-01,141.8
2004-05-01,123.9
2004-06-01,118.8
2004-07-01,137.7
2004-08-01,140.3
2004-09-01,130.4
2004-10-01,141.5
2004-11-01,114.2
2004-12-01,146.2
2005-01-01,126.4
2005-02-01,116.6
2005-03-01,134.9
2005-04-01,105.8
2005-05-01,137.0
2005-06-01,119.4
2005-07-01,153.5
2005-08-01,130.8
2005-09-01,114.6
2005-10-01,148.5
2005-11-01,132.0
2005-12-01,109.4
2006-01-01,116.9
2006-02-01,106.7
2006-03-01,140.2
2006-04-01,115.5
2006-05-01,186.0
2006-06-01,116.5
2006-07-01,134.7
2006-08-01,154.4
2006-09-01,99.3
2006-10-01,156.2
2006-11-01,146.4
2006-12-01,115.4
2007-01-01,152.6
2007-02-01,150.6
2007-03-01,126.7
2007-04-01,186.8
2007-05-01,133.6
2007-06-01,123.8
2007-07-01,190.6
2007-08-01,143.1
2007-09-01,157.8
2007-10-01,145.5
2007-11-01,130.6
2007-12-01,130.4
2008-01-01,114.4
2008-02-01,139.4
2008-03-01,141.8
2008-04-01,189.6
2008-05-01,232.4
2008-06-01,272.5
2008-07-01,204.7
2008-08-01,164.4
2008-09-01,229.3
2008-10-01,181.1
2008-11-01,162.5
2008-12-01,145.1
2009-01-01,121.5
2009-02-01,136.3
2009-03-01,151.8
2009-04-01,223.6
2009-05-01,174.2
2009-06-01,184.4
2009-07-01,167.0
2009-08-01,145.9
2009-09-01,149.1
2009-10-01,140.3
2009-11-01,159.2
2009-12-01,118.3
2010-01-01,90.5
2010-02-01,133.9
2010-03-01,170.4
2010-04-01,158.9
2010-05-01,129.6
2010-06-01,129.6
2010-07-01,189.5
2010-08-01,192.2
2010-09-01,124.4
2010-10-01,125.0
2010-11-01,125.3
2010-12-01,105.3
2011-01-01,120.9
2011-02-01,90.0
2011-03-01,127.9
2011-04-01,222.3
2011-05-01,269.3
2011-06-01,201.0
2011-07-01,215.3
2011-08-01,333.4
2011-09-01,240.1
2011-10-01,165.5
2011-11-01,251.7
2011-12-01,326.0
2012-01-01,323.8
2012-02-01,285.7
2012-03-01,218.6
2012-04-01,264.9
2012-05-01,313.0
2012-06-01,425.5
2012-07-01,385.8
2012-08-01,403.8
2012-09-01,248.7
2012-10-01,374.0
2012-11-01,162.9
2012-12-01,141.0
2013-01-01,237.1
2013-02-01,226.8
2013-03-01,318.1
2013-04-01,337.7
2013-05-01,327.4
2013-06-01,417.0
2013-07-01,279.2
2013-08-01,346.7
2013-09-01,316.1
2013-10-01,213.3
2013-11-01,186.9
2013-12-01,155.6
2014-01-01,143.2
2014-02-01,156.4
2014-03-01,258.1
2014-04-01,376.0
2014-05-01,425.0
2014-06-01,454.2
2014-07-01,583.5
2014-08-01,305.4
2014-09-01,282.3
2014-10-01,316.9
2014-11-01,237.4
2014-12-01,146.9
2015-01-01,160.8
2015-02-01,190.1
2015-03-01,241.8
2015-04-01,285.9
2015-05-01,260.4
2015-06-01,346.1
2015-07-01,440.5
2015-08-01,422.3
2015-09-01,282.4
2015-10-01,318.8
2015-11-01,297.3
2015-12-01,188.2
2016-01-01,198.5
2016-02-01,174.9
2016-03-01,219.3
2016-04-01,231.1
2016-05-01,428.6
2016-06-01,525.4
2016-07-01,320.3
2016-08-01,322.8
2016-09-01,401.7
2016-10-01,343.1
2016-11-01,324.9
2016-12-01,183.8
2017-01-01,384.9
