date,value
1997-01-01,72.6
1997-02-01,62.1
1997-03-01,52.6
1997-04-01,53.9
1997-05-01,50.0
1997-06-01,46.3
1997-07-01,46.7
1997-08-01,49.0
1997-09-01,52.5
1997-10-01,57.0
1997-11-01,49.3
1997-12-01,55.8
1998-01-01,40.5
1998-02-01,36.6
1998-03-01,38.7
1998-04-01,36.3
1998-05-01,0.6
1998-06-01,37.8
1998-07-01,17.9
1998-08-01,33.2
1998-09-01,38.1
1998-10-01,50.2
1998-11-01,32.8
1998-12-01,31.0
1999-01-01,32.7
1999-02-01,29.2
1999-03-01,33.9
1999-04-01,43.6
1999-05-01,41.4
1999-06-01,47.8
1999-07-01,9.4
1999-08-01,54.5
1999-09-01,62.6
1999-10-01,69.2
1999-11-01,4.4
1999-12-01,0.9
2000-01-01,80.1
2000-02-01,7.7
2000-03-01,91.4
2000-04-01,70.2
2000-05-01,12.9
2000-06-01,77.9
2000-07-01,113.0
2000-08-01,111.6
2000-09-01,3.7
2000-10-01,137.6
2000-11-01,108.6
2000-12-01,101.5
2001-01-01,74.7
2001-02-01,7.4
2001-03-01,97.6
2001-04-01,77.9
2001-05-01,87.3
2001-06-01,2.7
2001-07-01,100.6
2001-08-01,92.0
2001-09-01,73.7
2001-10-01,105.8
2001-11-01,25.8
2001-12-01,55.0
2002-01-01,49.9
2002-02-01,58.1
2002-03-01,6.2
2002-04-01,79.7
2002-05-01,107.3
2002-06-01,7.6
2002-07-01,86.5
2002-08-01,78.8
2002-09-01,82.0
2002-10-01,95.6
2002-11-01,18.4
2002-12-01,78.6
2003-01-01,72.2
2003-02-01,9.2
2003-03-01,103.2
2003-04-01,134.8
2003-05-01,91.3
2003-06-01,85.9
2003-07-01,92.0
2003-08-01,15.1
2003-09-01,83.2
2003-10-01,92.3
2003-11-01,68.4
2003-12-01,71.8
2004-01-01,82.8
2004-02-01,0.5
2004-03-01,80.6
2004-04-01,87.3
2004-05-01,92.2
2004-06-01,100.4
2004-07-01,98.4
2004-08-01,101.8
2004-09-01,97.0
2004-10-01,227.3
2004-11-01,13.7
2004-12-01,246.3
2005-01-01,110.3
2005-02-01,92.5
2005-03-01,235.9
2005-04-01,14.0
2005-05-01,101.6
2005-06-01,125.2
2005-07-01,125.5
2005-08-01,140.9
2005-09-01,334.0
2005-10-01,150.4
2005-11-01,41.6
2005-12-01,229.6
2006-01-01,192.9
2006-02-01,125.3
2006-03-01,123.2
2006-04-01,126.4
2006-05-01,62.5
2006-06-01,144.9
2006-07-01,185.9
2006-08-01,344.6
2006-09-01,142.7
2006-10-01,1.0
2006-11-01,156.3
2006-12-01,113.6
2007-01-01,118.6
2007-02-01,114.8
2007-03-01,125.2
2007-04-01,123.0
2007-05-01,268.3
2007-06-01,35.9
2007-07-01,0.7
2007-08-01,426.0
2007-09-01,141.6
2007-10-01,188.1
2007-11-01,161.0
2007-12-01,167.8
2008-01-01,192.5
2008-02-01,161.3
2008-03-01,178.2
2008-04-01,205.7
2008-05-01,322.8
2008-06-01,331.6
2008-07-01,236.2
2008-08-01,69.6
2008-09-01,65.3
2008-10-01,341.2
2008-11-01,2.2
2008-12-01,94.2
2009-01-01,162.4
2009-02-01,79.8
2009-03-01,101.5
2009-04-01,119.8
2009-05-01,160.4
2009-06-01,139.1
2009-07-01,156.3
2009-08-01,142.2
2009-09-01,145.0
2009-10-01,171.5
2009-11-01,0.6
2009-12-01,155.5
2010-01-01,164.9
2010-02-01,158.5
2010-03-01,185.2
2010-04-01,201.4
2010-05-01,177.2
2010-06-01,154.8
2010-07-01,158.5
2010-08-01,156.5
2010-09-01,314.4
2010-10-01,11.1
2010-11-01,168.1
2010-12-01,172.2
2011-01-01,192.8
2011-02-01,194.7
2011-03-01,199.9
2011-04-01,228.0
2011-05-01,237.8
2011-06-01,221.2
2011-07-01,485.5
2011-08-01,40.4
2011-09-01,244.6
2011-10-01,222.0
2011-11-01,239.8
2011-12-01,229.8
2012-01-01,236.9
2012-02-01,359.3
2012-03-01,380.6
2012-04-01,251.4
2012-05-01,7.2
2012-06-01,404.9
2012-07-01,223.6
2012-08-01,83.4
2012-09-01,230.7
2012-10-01,226.2
2012-11-01,224.4
2012-12-01,220.4
2013-01-01,218.9
2013-02-01,270.2
2013-03-01,235.7
2013-04-01,228.6
2013-05-01,221.0
2013-06-01,218.7
2013-07-01,211.8
2013-08-01,231.3
2013-09-01,231.2
2013-10-01,221.0
2013-11-01,206.0
2013-12-01,206.9
2014-01-01,226.4
2014-02-01,259.7
2014-03-01,248.3
2014-04-01,226.5
2014-05-01,242.8
2014-06-01,226.9
2014-07-01,246.1
2014-08-01,230.6
2014-09-01,264.1
2014-10-01,201.1
2014-11-01,2.6
2014-12-01,235.9
2015-01-01,51.1
2015-02-01,136.3
2015-03-01,138.1
2015-04-01,279.8
2015-05-01,231.9
2015-06-01,233.9
2015-07-01,210.3
2015-08-01,176.4
2015-09-01,179.1
2015-10-01,7.9
2015-11-01,124.8
2015-12-01,205.7
2016-01-01,123.3
2016-02-01,74.8
2016-03-01,80.8
2016-04-01,199.6
2016-05-01,109.2
2016-06-01,231.0
2016-07-01,250.6
2016-08-01,242.6
2016-09-01,117.6
2016-10-01,18.4
2016-11-01,130.0
2016-12-01,149.3
2017-01-01,143.9
2017-02-01,204.6
2017-03-01,259.8
2017-04-01,145.7
2017-05-01,263.3
2017-06-01,216.1
2017-07-01,247.9
2017-08-01,123.8
2017-09-01,273.1
2017-10-01,145.9
2017-11-01,307.9
2017-12-01,330.4
2018-01-01,247.9
2018-02-01,252.9
2018-03-01,270.8
2018-04-01,487.9
2018-05-01,335.5
2018-06-01,407.1
2018-07-01,395.1
2018-08-01,488.1
2018-09-01,304.3
2018-10-01,127.9
2018-11-01,311.1
2018-12-01,174.7
2019-01-01,308.2
2019-02-01,195.3
2019-03-01,300.5
2019-04-01,120.7
2019-05-01,396.1
2019-06-01,215.8
2019-07-01,354.5
2019-08-01,340.5
2019-09-01,333.3
2019-10-01,255.1
2019-11-01,272.7
2019-12-01,192.3
2020-01-01,255.7
2020-02-01,217.7
2020-03-01,142.6
2020-04-01,89.4
2020-05-01,120.6
2020-06-01,133.7
2020-07-01,67.7
2020-08-01,6.2
2020-09-01,65.8
2020-10-01,182.2
2020-11-01,197.8
2020-12-01,62.1
2021-01-01,65.2
2021-02-01,253.8
2021-03-01,254.9
2021-04-01,93.3
2021-05-01,175.2
2021-06-01,104.3
2021-07-01,271.1
2021-08-01,250.3
2021-09-01,234.9
2021-10-01,120.2
2021-11-01,291.7
2021-12-01,306.8
2022-01-01,216.4
2022-02-01,228.3
2022-03-01,583.0
2022-04-01,280.0
2022-05-01,559.4
2022-06-01,300.0
2022-07-01,307.1
2022-08-01,385.2
2022-09-01,257.1
2022-10-01,246.1
2022-11-01,255.2
2022-12-01,236.7
2023-01-01,200.5
2023-02-01,235.8
2023-03-01,304.4
2023-04-01,202.7
2023-05-01,399.9
2023-06-01,116.9
2023-07-01,234.7
2023-08-01,126.6
2023-09-01,135.9
2023-10-01,6.4
2023-11-01,120.5
2023-12-01,108.6
2024-01-01,2.7
2024-02-01,4.5
2024-03-01,128.5
2024-04-01,248.8
2024-05-01,236.7
2024-06-01,248.3
2024-07-01,243.9
2024-08-01,213.3
2024-09-01,93.4
2024-10-01,207.2
2024-11-01,215.3
2024-12-01,238.2
2025-01-01,250.6
2025-02-01,238.9
2025-03-01,229.2
2025-04-01,218.9
2025-05-01,233.5
2025-06-01,227.9
2025-07-01,111.9
2025-08-01,102.7
2025-09-01,109.6
2025-10-01,185.5
2025-11-01,202.1
2025-12-01,111.7
2026-01-01,101.1
2026-02-01,132.7
2026-03-01,163.6
2026-04-01,306.4
2026-05-01,163.6
2026-06-01,330.0
2026-07-01,327.9
