date,value
1997-01-01,98.6
1997-02-01,92.9
1997-03-01,92.0
1997-04-01,96.4
1997-05-01,84.5
1997-06-01,94.1
1997-07-01,90.9
1997-08-01,92.2
1997-09-01,109.7
1997-10-01,121.6
1997-11-01,101.6
1997-12-01,100.1
1998-01-01,97.1
1998-02-01,86.6
1998-03-01,111.8
1998-04-01,90.3
1998-05-01,67.5
1998-06-01,108.0
1998-07-01,100.8
1998-08-01,80.1
1998-09-01,103.1
1998-10-01,104.0
1998-11-01,108.3
1998-12-01,123.2
1999-01-01,115.4
1999-02-01,122.2
1999-03-01,121.3
1999-04-01,95.3
1999-05-01,83.4
1999-06-01,103.0
1999-07-01,95.1
1999-08-01,89.9
1999-09-01,85.6
1999-10-01,107.0
1999-11-01,112.2
1999-12-01,122.0
2000-01-01,97.6
2000-02-01,111.8
2000-03-01,119.5
2000-04-01,90.4
2000-05-01,100.6
2000-06-01,107.0
2000-07-01,109.7
2000-08-01,123.5
2000-09-01,106.2
2000-10-01,163.4
2000-11-01,142.4
2000-12-01,127.8
2001-01-01,122.3
2001-02-01,97.7
2001-03-01,114.4
2001-04-01,92.2
2001-05-01,79.6
2001-06-01,105.1
2001-07-01,84.3
2001-08-01,70.7
2001-09-01,91.2
2001-10-01,106.0
2001-11-01,83.7
2001-12-01,90.1
2002-01-01,86.5
2002-02-01,79.2
2002-03-01,93.2
2002-04-01,86.1
2002-05-01,77.5
2002-06-01,63.8
2002-07-01,71.8
2002-08-01,68.5
2002-09-01,89.7
2002-10-01,86.8
2002-11-01,86.3
2002-12-01,99.4
2003-01-01,79.1
2003-02-01,70.8
2003-03-01,102.0
2003-04-01,88.7
2003-05-01,72.8
2003-06-01,87.8
2003-07-01,84.3
2003-08-01,73.7
2003-09-01,93.3
2003-10-01,107.2
2003-11-01,93.3
2003-12-01,90.4
2004-01-01,71.2
2004-02-01,63.8
2004-03-01,79.1
2004-04-01,79.4
2004-05-01,74.6
2004-06-01,83.7
2004-07-01,83.3
2004-08-01,90.4
2004-09-01,81.2
2004-10-01,92.4
2004-11-01,84.6
2004-12-01,93.7
2005-01-01,75.4
2005-02-01,79.4
2005-03-01,102.8
2005-04-01,84.1
2005-05-01,77.8
2005-06-01,93.2
2005-07-01,65.9
2005-08-01,77.9
2005-09-01,71.6
2005-10-01,76.9
2005-11-01,84.7
2005-12-01,83.9
2006-01-01,72.8
2006-02-01,82.6
2006-03-01,87.5
2006-04-01,75.2
2006-05-01,106.7
2006-06-01,69.7
