date,value
1997-01-01,21515.2
1997-02-01,21316.4
1997-03-01,21177.8
1997-04-01,22442.4
1997-05-01,22369.2
1997-06-01,22668.7
1997-07-01,23028.0
1997-08-01,23033.1
1997-09-01,23655.5
1997-10-01,23679.4
1997-11-01,23734.6
1997-12-01,24326.2
1998-01-01,24119.1
1998-02-01,24618.1
1998-03-01,24125.6
1998-04-01,24530.1
1998-05-01,24518.0
1998-06-01,24590.2
1998-07-01,23434.4
1998-08-01,24711.4
1998-09-01,25255.5
1998-10-01,26380.8
1998-11-01,25948.7
1998-12-01,26154.5
1999-01-01,25689.9
1999-02-01,26002.0
1999-03-01,25932.7
1999-04-01,25850.8
1999-05-01,26021.1
1999-06-01,26204.3
1999-07-01,26434.8
1999-08-01,26787.7
1999-09-01,27060.5
1999-10-01,27588.7
1999-11-01,28025.6
1999-12-01,28810.4
2000-01-01,28513.0
2000-02-01,28591.9
2000-03-01,29161.9
2000-04-01,29200.3
2000-05-01,30421.0
2000-06-01,30081.2
2000-07-01,29664.7
2000-08-01,29528.5
2000-09-01,30334.7
2000-10-01,30239.0
2000-11-01,30665.5
2000-12-01,30590.3
2001-01-01,29915.3
2001-02-01,28446.1
2001-03-01,29537.8
2001-04-01,29693.2
2001-05-01,29099.7
2001-06-01,29707.7
2001-07-01,28596.7
2001-08-01,28700.9
2001-09-01,27110.4
2001-10-01,27821.4
2001-11-01,27512.9
2001-12-01,26968.4
2002-01-01,27586.8
2002-02-01,28065.3
2002-03-01,28486.7
2002-04-01,28550.5
2002-05-01,28714.5
2002-06-01,29367.9
2002-07-01,29321.3
2002-08-01,30089.0
2002-09-01,29511.4
2002-10-01,29735.1
2002-11-01,29685.8
2002-12-01,29842.5
2003-01-01,29560.0
2003-02-01,29347.0
2003-03-01,29035.0
2003-04-01,29174.9
2003-05-01,28237.6
2003-06-01,27567.9
2003-07-01,27241.0
2003-08-01,25957.6
2003-09-01,27788.7
2003-10-01,27026.1
2003-11-01,27318.9
2003-12-01,27886.5
2004-01-01,26345.1
2004-02-01,28199.1
2004-03-01,28661.3
2004-04-01,29268.8
2004-05-01,31405.0
2004-06-01,30228.9
2004-07-01,31111.3
2004-08-01,30404.1
2004-09-01,30035.6
2004-10-01,30403.3
2004-11-01,29359.0
2004-12-01,30464.6
2005-01-01,31003.4
2005-02-01,31109.7
2005-03-01,31072.5
2005-04-01,31092.6
2005-05-01,32174.7
2005-06-01,32230.3
2005-07-01,31090.1
2005-08-01,31883.5
2005-09-01,32227.7
2005-10-01,31983.8
2005-11-01,32012.1
2005-12-01,32977.6
2006-01-01,32992.9
2006-02-01,31414.0
2006-03-01,32557.1
2006-04-01,32677.7
2006-05-01,32973.0
2006-06-01,33299.2
2006-07-01,33363.9
2006-08-01,33943.1
2006-09-01,33480.7
2006-10-01,32658.2
2006-11-01,33369.3
2006-12-01,34314.8
2007-01-01,33914.9
2007-02-01,34420.0
2007-03-01,35334.7
2007-04-01,34927.6
2007-05-01,33851.9
2007-06-01,33952.2
2007-07-01,34205.8
2007-08-01,33829.4
2007-09-01,33709.4
2007-10-01,32497.9
2007-11-01,33358.3
2007-12-01,33299.0
2008-01-01,34098.0
2008-02-01,34152.6
2008-03-01,34546.8
2008-04-01,34558.6
2008-05-01,36976.0
2008-06-01,37735.0
2008-07-01,38169.0
2008-08-01,36213.0
2008-09-01,37485.5
2008-10-01,38358.8
2008-11-01,36777.0
2008-12-01,34928.7
2009-01-01,31658.5
2009-02-01,31842.3
2009-03-01,30200.4
2009-04-01,30464.5
2009-05-01,28625.6
2009-06-01,28822.8
2009-07-01,30986.2
2009-08-01,29962.7
2009-09-01,30147.3
2009-10-01,29622.9
2009-11-01,31195.6
2009-12-01,31830.7
2010-01-01,31108.6
2010-02-01,32044.2
2010-03-01,32841.9
2010-04-01,32412.0
2010-05-01,34235.3
2010-06-01,34129.0
2010-07-01,34205.8
2010-08-01,34459.5
2010-09-01,34892.9
2010-10-01,34743.2
2010-11-01,34133.5
2010-12-01,34495.4
2011-01-01,36308.2
2011-02-01,35171.6
2011-03-01,36493.3
2011-04-01,36328.2
2011-05-01,36949.6
2011-06-01,36852.8
2011-07-01,36997.8
2011-08-01,37748.8
2011-09-01,37792.4
2011-10-01,38758.8
2011-11-01,38348.2
2011-12-01,38916.3
2012-01-01,38790.9
2012-02-01,38728.6
2012-03-01,38575.0
2012-04-01,38593.5
2012-05-01,38547.3
2012-06-01,39588.3
2012-07-01,39234.5
2012-08-01,38095.4
2012-09-01,38039.9
2012-10-01,37559.5
2012-11-01,38589.6
