date,value
1997-01-01,287.7
1997-02-01,260.8
1997-03-01,257.2
1997-04-01,283.7
1997-05-01,276.6
1997-06-01,266.0
1997-07-01,280.4
1997-08-01,286.4
1997-09-01,337.0
1997-10-01,341.7
1997-11-01,290.1
1997-12-01,307.1
1998-01-01,330.4
1998-02-01,309.5
1998-03-01,356.1
1998-04-01,326.0
1998-05-01,295.1
1998-06-01,328.1
1998-07-01,329.8
1998-08-01,332.8
1998-09-01,366.3
1998-10-01,370.3
1998-11-01,353.6
1998-12-01,332.3
1999-01-01,344.5
1999-02-01,354.0
1999-03-01,361.8
1999-04-01,353.8
1999-05-01,336.3
1999-06-01,393.7
1999-07-01,365.1
1999-08-01,383.4
1999-09-01,401.2
1999-10-01,416.2
1999-11-01,460.8
1999-12-01,421.2
2000-01-01,400.2
2000-02-01,395.7
2000-03-01,418.8
2000-04-01,395.7
2000-05-01,403.7
2000-06-01,386.6
2000-07-01,394.8
2000-08-01,428.3
2000-09-01,440.8
2000-10-01,480.2
2000-11-01,449.0
2000-12-01,383.0
2001-01-01,408.1
2001-02-01,349.1
2001-03-01,434.6
2001-04-01,365.2
2001-05-01,358.5
2001-06-01,339.6
2001-07-01,344.7
2001-08-01,372.5
2001-09-01,389.3
2001-10-01,385.4
2001-11-01,349.1
2001-12-01,316.8
2002-01-01,375.0
2002-02-01,330.1
2002-03-01,347.2
2002-04-01,376.2
2002-05-01,335.2
2002-06-01,343.5
2002-07-01,374.3
2002-08-01,354.3
2002-09-01,344.5
2002-10-01,386.6
2002-11-01,345.1
2002-12-01,330.6
2003-01-01,346.5
2003-02-01,302.1
2003-03-01,319.4
2003-04-01,326.0
2003-05-01,300.6
2003-06-01,284.3
2003-07-01,308.4
2003-08-01,290.5
2003-09-01,336.2
2003-10-01,339.4
2003-11-01,300.4
2003-12-01,307.7
2004-01-01,294.4
2004-02-01,269.2
2004-03-01,358.3
2004-04-01,309.5
2004-05-01,337.0
2004-06-01,359.8
2004-07-01,334.5
2004-08-01,344.4
2004-09-01,343.9
2004-10-01,325.6
2004-11-01,330.3
2004-12-01,323.8
2005-01-01,298.0
2005-02-01,288.1
2005-03-01,334.6
2005-04-01,314.9
2005-05-01,342.3
2005-06-01,331.9
2005-07-01,289.5
2005-08-01,355.7
2005-09-01,343.0
2005-10-01,325.1
2005-11-01,354.3
2005-12-01,314.2
2006-01-01,331.7
2006-02-01,274.5
2006-03-01,322.5
2006-04-01,312.6
2006-05-01,315.3
2006-06-01,318.3
2006-07-01,310.2
2006-08-01,338.0
2006-09-01,321.5
2006-10-01,375.0
2006-11-01,348.6
2006-12-01,314.3
2007-01-01,341.2
2007-02-01,290.8
2007-03-01,326.0
2007-04-01,341.9
2007-05-01,344.1
2007-06-01,318.4
2007-07-01,324.2
2007-08-01,340.3
2007-09-01,289.7
2007-10-01,361.3
2007-11-01,311.4
2007-12-01,308.7
2008-01-01,329.0
2008-02-01,272.3
2008-03-01,336.0
2008-04-01,312.3
2008-05-01,324.5
2008-06-01,313.6
2008-07-01,325.7
2008-08-01,336.6
2008-09-01,355.5
2008-10-01,357.9
2008-11-01,362.6
2008-12-01,347.1
2009-01-01,328.1
2009-02-01,268.3
2009-03-01,310.0
2009-04-01,294.9
2009-05-01,280.4
2009-06-01,266.8
2009-07-01,274.0
2009-08-01,253.2
2009-09-01,256.0
2009-10-01,271.9
2009-11-01,274.9
2009-12-01,274.6
2010-01-01,259.2
2010-02-01,234.3
2010-03-01,277.1
2010-04-01,276.3
2010-05-01,319.2
2010-06-01,334.1
2010-07-01,344.6
2010-08-01,361.7
2010-09-01,367.0
2010-10-01,368.2
2010-11-01,409.3
2010-12-01,418.1
2011-01-01,346.3
2011-02-01,307.4
2011-03-01,365.7
2011-04-01,460.1
2011-05-01,417.5
2011-06-01,430.7
2011-07-01,375.2
2011-08-01,486.2
2011-09-01,374.4
2011-10-01,426.8
2011-11-01,431.9
2011-12-01,509.3
2012-01-01,386.2
2012-02-01,333.9
2012-03-01,408.9
2012-04-01,373.3
2012-05-01,385.1
2012-06-01,383.1
2012-07-01,382.3
2012-08-01,389.5
2012-09-01,362.3
2012-10-01,417.2
2012-11-01,402.3
2012-12-01,357.4
2013-01-01,377.0
2013-02-01,341.2
2013-03-01,384.9
2013-04-01,431.0
2013-05-01,423.1
2013-06-01,408.8
