date,value
1997-01-01,13615.3
1997-02-01,14189.5
1997-03-01,15343.5
1997-04-01,16208.1
1997-05-01,15930.5
1997-06-01,16077.0
1997-07-01,13288.0
1997-08-01,14959.1
1997-09-01,16219.4
1997-10-01,17124.1
1997-11-01,15902.4
1997-12-01,15556.8
1998-01-01,15295.3
1998-02-01,16343.7
1998-03-01,18067.1
1998-04-01,17491.1
1998-05-01,17291.0
1998-06-01,17172.9
1998-07-01,13471.8
1998-08-01,16260.2
1998-09-01,17813.1
1998-10-01,19028.7
1998-11-01,18287.4
1998-12-01,17055.8
1999-01-01,16151.2
1999-02-01,17152.7
1999-03-01,19892.0
1999-04-01,18461.2
1999-05-01,18067.1
1999-06-01,18713.9
1999-07-01,14785.0
1999-08-01,17955.6
1999-09-01,18567.7
1999-10-01,18969.6
1999-11-01,19208.3
1999-12-01,17650.4
2000-01-01,17098.4
2000-02-01,18890.6
2000-03-01,21659.8
2000-04-01,18991.8
2000-05-01,20711.7
2000-06-01,20755.2
2000-07-01,15357.1
2000-08-01,19544.2
2000-09-01,18853.8
2000-10-01,20455.2
2000-11-01,20032.5
2000-12-01,17309.7
2001-01-01,17683.5
2001-02-01,17346.0
2001-03-01,20669.5
2001-04-01,19288.1
2001-05-01,20196.0
2001-06-01,20043.3
2001-07-01,15404.3
2001-08-01,18302.6
2001-09-01,16952.8
2001-10-01,18886.4
2001-11-01,18184.7
2001-12-01,15333.0
2002-01-01,16620.3
2002-02-01,17088.7
2002-03-01,19206.2
2002-04-01,19275.2
2002-05-01,19576.2
2002-06-01,19077.1
2002-07-01,15414.4
2002-08-01,19041.8
2002-09-01,18146.4
2002-10-01,20055.3
2002-11-01,18776.5
2002-12-01,16219.3
2003-01-01,17045.9
2003-02-01,17506.7
2003-03-01,19276.7
2003-04-01,18394.9
2003-05-01,18658.2
2003-06-01,17631.2
2003-07-01,14065.0
2003-08-01,15472.6
2003-09-01,16883.2
2003-10-01,17432.0
2003-11-01,16193.5
2003-12-01,15261.7
2004-01-01,14641.8
2004-02-01,16427.6
2004-03-01,19360.3
2004-04-01,18230.0
2004-05-01,19066.5
2004-06-01,19009.9
2004-07-01,15311.2
2004-08-01,17808.3
2004-09-01,18096.0
2004-10-01,17807.8
2004-11-01,16795.7
2004-12-01,16432.2
2005-01-01,15980.8
2005-02-01,16928.8
2005-03-01,19316.5
2005-04-01,19043.3
2005-05-01,19522.2
2005-06-01,19690.1
2005-07-01,14882.1
2005-08-01,18515.1
2005-09-01,18013.8
2005-10-01,18364.7
2005-11-01,17995.2
2005-12-01,16902.6
2006-01-01,16692.9
2006-02-01,16928.7
2006-03-01,20462.0
2006-04-01,18180.8
2006-05-01,19140.7
2006-06-01,19520.1
2006-07-01,15533.0
2006-08-01,19030.1
2006-09-01,17835.1
2006-10-01,18691.9
2006-11-01,18448.3
2006-12-01,17381.5
2007-01-01,17327.8
2007-02-01,17804.6
2007-03-01,21386.1
2007-04-01,19156.3
2007-05-01,20011.7
2007-06-01,19402.2
2007-07-01,16360.2
2007-08-01,18697.5
2007-09-01,17998.6
2007-10-01,18651.0
2007-11-01,17769.4
2007-12-01,16324.8
2008-01-01,16935.4
2008-02-01,17476.4
2008-03-01,18885.9
2008-04-01,19659.8
2008-05-01,20167.8
2008-06-01,20015.3
2008-07-01,18571.9
2008-08-01,19139.5
2008-09-01,19260.0
2008-10-01,21273.1
2008-11-01,18991.4
2008-12-01,16869.6
2009-01-01,14483.0
2009-02-01,15621.0
2009-03-01,17123.4
2009-04-01,16109.1
2009-05-01,14966.6
2009-06-01,15260.9
2009-07-01,14591.8
2009-08-01,15427.9
2009-09-01,15912.5
2009-10-01,16094.6
2009-11-01,15675.5
2009-12-01,15537.2
2010-01-01,14214.9
2010-02-01,15722.5
2010-03-01,18263.6
2010-04-01,16912.8
2010-05-01,17853.2
2010-06-01,18560.1
2010-07-01,16169.2
2010-08-01,17624.0
2010-09-01,17627.0
2010-10-01,17714.4
2010-11-01,16590.2
2010-12-01,16091.9
2011-01-01,16112.1
2011-02-01,16176.3
2011-03-01,20138.1
2011-04-01,18393.7
2011-05-01,19089.3
2011-06-01,19061.2
2011-07-01,16864.0
2011-08-01,19553.1
2011-09-01,19107.2
2011-10-01,19947.6
2011-11-01,18801.0
2011-12-01,18180.6
2012-01-01,17751.2
2012-02-01,18830.7
2012-03-01,20826.3
2012-04-01,19652.3
2012-05-01,21157.3
2012-06-01,21531.4
2012-07-01,18619.7
2012-08-01,19749.2
2012-09-01,18903.0
2012-10-01,20107.4
2012-11-01,19401.6
2012-12-01,17358.5
2013-01-01,18359.9
2013-02-01,18871.9
2013-03-01,21378.3
2013-04-01,21512.3
2013-05-01,21865.9
2013-06-01,21157.7
2013-07-01,19271.4
2013-08-01,21041.8
2013-09-01,20600.7
2013-10-01,22296.2
2013-11-01,21355.8
2013-12-01,20084.2
2014-01-01,19932.2
2014-02-01,20838.5
2014-03-01,24314.4
2014-04-01,23680.0
2014-05-01,24290.6
2014-06-01,24317.6
2014-07-01,22809.9
2014-08-01,23467.7
2014-09-01,23652.4
2014-10-01,25335.5
2014-11-01,23032.4
2014-12-01,22838.6
2015-01-01,21735.3
2015-02-01,21867.8
2015-03-01,25546.9
2015-04-01,24277.0
2015-05-01,24444.9
2015-06-01,24640.6
2015-07-01,23267.2
2015-08-01,24166.4
2015-09-01,24011.4
2015-10-01,24460.3
2015-11-01,23423.0
2015-12-01,23504.0
2016-01-01,21987.5
2016-02-01,22827.5
2016-03-01,24184.3
2016-04-01,23996.7
2016-05-01,24145.3
2016-06-01,24897.9
2016-07-01,21473.0
2016-08-01,24000.5
2016-09-01,23156.4
2016-10-01,23407.8
2016-11-01,22386.4
2016-12-01,21743.1
2017-01-01,21740.9
2017-02-01,22073.1
2017-03-01,26344.0
2017-04-01,24221.0
2017-05-01,26949.5
2017-06-01,26490.0
2017-07-01,21605.3
2017-08-01,24449.6
2017-09-01,23440.9
2017-10-01,23565.4
2017-11-01,24918.8
2017-12-01,23058.7
