date,value
1976-05-01,0.2225
1976-06-01,0.24430000000000002
1976-07-01,0.2442
1976-08-01,0.2256
1976-09-01,0.2432
1976-10-01,0.2426
1976-11-01,0.24230000000000002
1976-12-01,0.2482
1977-01-01,0.243
1977-02-01,0.2495
1977-03-01,0.259
1977-04-01,0.26210000000000006
1977-05-01,0.2641
1977-06-01,0.26080000000000003
1977-07-01,0.2768
1977-08-01,0.2742
1977-09-01,0.2775
1977-10-01,0.2665
1977-11-01,0.2758
1977-12-01,0.2746
1978-01-01,0.269
1978-02-01,0.2757
1978-03-01,0.2765
1978-04-01,0.269
1978-05-01,0.2774
1978-06-01,0.26039999999999996
1978-07-01,0.2702
1978-08-01,0.2896
1978-09-01,0.27080000000000004
1978-10-01,0.2796
1978-11-01,0.2859
1978-12-01,0.28700000000000003
1979-01-01,0.2843
1979-02-01,0.28200000000000003
1979-03-01,0.2637
1979-04-01,0.2844
1979-05-01,0.2761
1979-06-01,0.2696
1979-07-01,0.2622
1979-08-01,0.27480000000000004
1979-09-01,0.26839999999999997
1979-10-01,0.2883
1979-11-01,0.2813
1979-12-01,0.2758
1980-01-01,0.311
1980-02-01,0.305
1980-03-01,0.3005
1980-04-01,0.2969
1980-05-01,0.2904
1980-06-01,0.2937
1980-07-01,0.2955
1980-08-01,0.2893
1980-09-01,0.2746
1980-10-01,0.26430000000000003
1980-11-01,0.2715
1980-12-01,0.2798
1981-01-01,0.2795
1981-02-01,0.2902
1981-03-01,0.312
1981-04-01,0.2745
1981-05-01,0.2858
1981-06-01,0.2948
1981-07-01,0.293
1981-08-01,0.2795
1981-09-01,0.3377
1981-10-01,0.33130000000000004
1981-11-01,0.3271
1981-12-01,0.3578
1982-01-01,0.33430000000000004
1982-02-01,0.33180000000000004
1982-03-01,0.3371
1982-04-01,0.35910000000000003
1982-05-01,0.37060000000000004
1982-06-01,0.38739999999999997
1982-07-01,0.3842
1982-08-01,0.3755
1982-09-01,0.36719999999999997
1982-10-01,0.37739999999999996
1982-11-01,0.3785
1982-12-01,0.3658
1983-01-01,0.3285
1983-02-01,0.3491
1983-03-01,0.34550000000000003
1983-04-01,0.3492
1983-05-01,0.35660000000000003
1983-06-01,0.34900000000000003
1983-07-01,0.3389
1983-08-01,0.3486
1983-09-01,0.3361
1983-10-01,0.338
1983-11-01,0.3427
1983-12-01,0.3447
1984-01-01,0.3653
1984-02-01,0.3564
1984-03-01,0.369
1984-04-01,0.37260000000000004
1984-05-01,0.3875
1984-06-01,0.3516
1984-07-01,0.38160000000000005
1984-08-01,0.403
1984-09-01,0.4029
1984-10-01,0.3757
1984-11-01,0.3812
1984-12-01,0.3483
1985-01-01,0.3623
1985-02-01,0.355
1985-03-01,0.3579
1985-04-01,0.3669
1985-05-01,0.3513
1985-06-01,0.3698
1985-07-01,0.3594
1985-08-01,0.353
1985-09-01,0.3633
1985-10-01,0.3758
1985-11-01,0.3585
1985-12-01,0.366
1986-01-01,0.36
1986-02-01,0.365
1986-03-01,0.3688
1986-04-01,0.3637
1986-05-01,0.361
1986-06-01,0.36669999999999997
1986-07-01,0.35960000000000003
1986-08-01,0.3545
1986-09-01,0.3491
1986-10-01,0.3529
1986-11-01,0.341
1986-12-01,0.3564
1987-01-01,0.3444
1987-02-01,0.3523
1987-03-01,0.3329
1987-04-01,0.3433
1987-05-01,0.32139999999999996
1987-06-01,0.335
1987-07-01,0.32689999999999997
1987-08-01,0.3334
1987-09-01,0.325
1987-10-01,0.3265
1987-11-01,0.3351
1987-12-01,0.3192
1988-01-01,0.3356
1988-02-01,0.32460000000000006
1988-03-01,0.3458
1988-04-01,0.30319999999999997
1988-05-01,0.32130000000000003
1988-06-01,0.3125
1988-07-01,0.33
1988-08-01,0.3362
1988-09-01,0.329
1988-10-01,0.3163
1988-11-01,0.3247
1988-12-01,0.31860000000000005
1989-01-01,0.32180000000000003
1989-02-01,0.32730000000000004
1989-03-01,0.31160000000000004
1989-04-01,0.3447
1989-05-01,0.33830000000000005
1989-06-01,0.3014
1989-07-01,0.31860000000000005
1989-08-01,0.298
1989-09-01,0.3222
1989-10-01,0.32330000000000003
1989-11-01,0.333
1989-12-01,0.33830000000000005
1990-01-01,0.355
1990-02-01,0.33080000000000004
1990-03-01,0.3182
1990-04-01,0.3337
1990-05-01,0.3411
1990-06-01,0.3438
1990-07-01,0.3504
1990-08-01,0.3678
1990-09-01,0.3773
1990-10-01,0.398
1990-11-01,0.37560000000000004
1990-12-01,0.39080000000000004
1991-01-01,0.38810000000000006
1991-02-01,0.4413
1991-03-01,0.4239
1991-04-01,0.39630000000000004
1991-05-01,0.3926
1991-06-01,0.3778
1991-07-01,0.37560000000000004
1991-08-01,0.39089999999999997
1991-09-01,0.3822
1991-10-01,0.38060000000000005
1991-11-01,0.37410000000000004
1991-12-01,0.36519999999999997
1992-01-01,0.375
1992-02-01,0.37960000000000005
1992-03-01,0.40700000000000003
1992-04-01,0.3597
1992-05-01,0.39010000000000006
1992-06-01,0.432
1992-07-01,0.4079
1992-08-01,0.4073
1992-09-01,0.3737
1992-10-01,0.3765
1992-11-01,0.4255
1992-12-01,0.39730000000000004
1993-01-01,0.3625
1993-02-01,0.3506
1993-03-01,0.3639
1993-04-01,0.39289999999999997
1993-05-01,0.3835
1993-06-01,0.39430000000000004
1993-07-01,0.3935
1993-08-01,0.3759
1993-09-01,0.388
1993-10-01,0.3735
1993-11-01,0.36860000000000004
1993-12-01,0.4012
1994-01-01,0.38860000000000006
1994-02-01,0.36110000000000003
1994-03-01,0.3589
1994-04-01,0.39060000000000006
1994-05-01,0.36760000000000004
1994-06-01,0.33330000000000004
1994-07-01,0.3567
1994-08-01,0.37710000000000005
1994-09-01,0.3709
1994-10-01,0.3637
1994-11-01,0.3435
1994-12-01,0.343
1995-01-01,0.3431
1995-02-01,0.3725
1995-03-01,0.3719
1995-04-01,0.3628
1995-05-01,0.3748
1995-06-01,0.3669
1995-07-01,0.38730000000000003
1995-08-01,0.3695
1995-09-01,0.34600000000000003
1995-10-01,0.355
1995-11-01,0.3564
1995-12-01,0.3572
1996-01-01,0.36610000000000004
1996-02-01,0.34900000000000003
1996-03-01,0.37160000000000004
1996-04-01,0.3497
1996-05-01,0.3689
1996-06-01,0.3936
1996-07-01,0.38939999999999997
1996-08-01,0.359
1996-09-01,0.4133
1996-10-01,0.44439999999999996
1996-11-01,0.4767
1996-12-01,0.48660000000000003
1997-01-01,0.4684
1997-02-01,0.4804
1997-03-01,0.4584
1997-04-01,0.4651
1997-05-01,0.4515
1997-06-01,0.4303
1997-07-01,0.4122
1997-08-01,0.42960000000000004
1997-09-01,0.4152
1997-10-01,0.4222
1997-11-01,0.4022
1997-12-01,0.3935
1998-01-01,0.4389
1998-02-01,0.4114
1998-03-01,0.3944
1998-04-01,0.38860000000000006
1998-05-01,0.3955
1998-06-01,0.43010000000000004
1998-07-01,0.4128
1998-08-01,0.3976
1998-09-01,0.4122
1998-10-01,0.40180000000000005
1998-11-01,0.38530000000000003
1998-12-01,0.38630000000000003
1999-01-01,0.38210000000000005
1999-02-01,0.3994
1999-03-01,0.39280000000000004
1999-04-01,0.43
1999-05-01,0.4077
1999-06-01,0.376
1999-07-01,0.38010000000000005
1999-08-01,0.3777
1999-09-01,0.3768
1999-10-01,0.3569
1999-11-01,0.358
1999-12-01,0.3444
2000-01-01,0.3502
2000-02-01,0.34800000000000003
2000-03-01,0.353
2000-04-01,0.3512
2000-05-01,0.3537
2000-06-01,0.3708
2000-07-01,0.3704
2000-08-01,0.3835
2000-09-01,0.3996
2000-10-01,0.4107
2000-11-01,0.4058
2000-12-01,0.3996
2001-01-01,0.4046
2001-02-01,0.4425
2001-03-01,0.44510000000000005
2001-04-01,0.424
2001-05-01,0.4126
2001-06-01,0.4235
2001-07-01,0.4299
2001-08-01,0.4467
2001-09-01,0.4372
2001-10-01,0.43510000000000004
2001-11-01,0.45110000000000006
2001-12-01,0.4676
2002-01-01,0.4917
2002-02-01,0.4385
2002-03-01,0.44260000000000005
2002-04-01,0.446
2002-05-01,0.4594
2002-06-01,0.4378
2002-07-01,0.44610000000000005
2002-08-01,0.44689999999999996
2002-09-01,0.4731
2002-10-01,0.4693
2002-11-01,0.45780000000000004
2002-12-01,0.4796
2003-01-01,0.4582
2003-02-01,0.4652
2003-03-01,0.44839999999999997
2003-04-01,0.4859
2003-05-01,0.4778
2003-06-01,0.4581
2003-07-01,0.4807
2003-08-01,0.4778
2003-09-01,0.4577
2003-10-01,0.4742
2003-11-01,0.4657
2003-12-01,0.4586
2004-01-01,0.4505
2004-02-01,0.45830000000000004
2004-03-01,0.4744
2004-04-01,0.4485
2004-05-01,0.454
2004-06-01,0.46030000000000004
2004-07-01,0.4574
2004-08-01,0.4502
2004-09-01,0.4355
2004-10-01,0.4405
2004-11-01,0.4619
2004-12-01,0.4552
2005-01-01,0.437
2005-02-01,0.4665
2005-03-01,0.437
2005-04-01,0.44110000000000005
2005-05-01,0.448
2005-06-01,0.4389
2005-07-01,0.42160000000000003
2005-08-01,0.4032
2005-09-01,0.4527
2005-10-01,0.44339999999999996
2005-11-01,0.417
2005-12-01,0.4378
2006-01-01,0.4482
2006-02-01,0.441
2006-03-01,0.4507
2006-04-01,0.4567
2006-05-01,0.439
2006-06-01,0.4706
2006-07-01,0.4692
2006-08-01,0.4617
2006-09-01,0.4621
2006-10-01,0.4601
2006-11-01,0.45430000000000004
2006-12-01,0.4358
2007-01-01,0.4408
2007-02-01,0.443
2007-03-01,0.44010000000000005
2007-04-01,0.4442
2007-05-01,0.44580000000000003
2007-06-01,0.4525
2007-07-01,0.42869999999999997
2007-08-01,0.4422
2007-09-01,0.4591
2007-10-01,0.44260000000000005
2007-11-01,0.4614
2007-12-01,0.4757
2008-01-01,0.4607
2008-02-01,0.44530000000000003
2008-03-01,0.4589
2008-04-01,0.4602
2008-05-01,0.46580000000000005
2008-06-01,0.4678
2008-07-01,0.4485
2008-08-01,0.4417
2008-09-01,0.454
2008-10-01,0.4777
2008-11-01,0.5252000000000001
2008-12-01,0.5476000000000001
2009-01-01,0.5391
2009-02-01,0.5761000000000001
2009-03-01,0.5398
2009-04-01,0.5267000000000001
2009-05-01,0.5518
2009-06-01,0.5344
2009-07-01,0.5398999999999999
2009-08-01,0.5251
2009-09-01,0.4893
2009-10-01,0.48560000000000003
2009-11-01,0.4924
2009-12-01,0.4898
2010-01-01,0.48560000000000003
2010-02-01,0.4833
2010-03-01,0.4952
2010-04-01,0.47550000000000003
2010-05-01,0.47100000000000003
2010-06-01,0.4691
2010-07-01,0.4919
2010-08-01,0.49810000000000004
2010-09-01,0.4987
2010-10-01,0.4997
2010-11-01,0.45730000000000004
2010-12-01,0.4359
2011-01-01,0.44889999999999997
