date,value
1976-07-01,0.09620000000000001
1976-08-01,0.0963
1976-09-01,0.095
1976-10-01,0.1077
1976-11-01,0.0999
1976-12-01,0.1102
1977-01-01,0.1208
1977-02-01,0.1236
1977-03-01,0.12819999999999998
1977-04-01,0.125
1977-05-01,0.1174
1977-06-01,0.1187
1977-07-01,0.1226
1977-08-01,0.1276
1977-09-01,0.1383
1977-10-01,0.1409
1977-11-01,0.1416
1977-12-01,0.1336
1978-01-01,0.1363
1978-02-01,0.14200000000000002
1978-03-01,0.1514
1978-04-01,0.1562
1978-05-01,0.16180000000000003
1978-06-01,0.16290000000000002
1978-07-01,0.15819999999999998
1978-08-01,0.16040000000000001
1978-09-01,0.163
1978-10-01,0.13369999999999999
1978-11-01,0.1514
1978-12-01,0.147
1979-01-01,0.1476
1979-02-01,0.1357
1979-03-01,0.1323
1979-04-01,0.1428
1979-05-01,0.1357
1979-06-01,0.1331
1979-07-01,0.1301
1979-08-01,0.12440000000000001
1979-09-01,0.116
1979-10-01,0.1257
1979-11-01,0.1277
1979-12-01,0.1316
1980-01-01,0.126
1980-02-01,0.13130000000000003
1980-03-01,0.1335
1980-04-01,0.1201
1980-05-01,0.129
1980-06-01,0.129
1980-07-01,0.1383
1980-08-01,0.14100000000000001
1980-09-01,0.1386
1980-10-01,0.1489
1980-11-01,0.1489
1980-12-01,0.1383
1981-01-01,0.1489
1981-02-01,0.1442
1981-03-01,0.1368
1981-04-01,0.1396
1981-05-01,0.13690000000000002
1981-06-01,0.13169999999999998
1981-07-01,0.136
1981-08-01,0.1447
1981-09-01,0.16219999999999998
1981-10-01,0.15990000000000001
1981-11-01,0.1544
1981-12-01,0.1696
1982-01-01,0.1709
1982-02-01,0.1692
1982-03-01,0.18130000000000002
1982-04-01,0.2005
1982-05-01,0.2104
1982-06-01,0.2402
1982-07-01,0.289
1982-08-01,0.3118
1982-09-01,0.3436
1982-10-01,0.366
1982-11-01,0.3852
1982-12-01,0.4106
1983-01-01,0.4245
1983-02-01,0.4347
1983-03-01,0.4566
1983-04-01,0.44989999999999997
1983-05-01,0.4525
1983-06-01,0.4567
1983-07-01,0.423
1983-08-01,0.4167
1983-09-01,0.38980000000000004
1983-10-01,0.38660000000000005
1983-11-01,0.38839999999999997
1983-12-01,0.371
1984-01-01,0.3754
1984-02-01,0.3865
1984-03-01,0.37060000000000004
1984-04-01,0.3778
1984-05-01,0.397
1984-06-01,0.3875
1984-07-01,0.3855
1984-08-01,0.369
1984-09-01,0.3747
1984-10-01,0.37889999999999996
1984-11-01,0.38039999999999996
1984-12-01,0.37560000000000004
1985-01-01,0.35960000000000003
1985-02-01,0.3727
1985-03-01,0.3875
1985-04-01,0.3737
1985-05-01,0.3628
1985-06-01,0.3618
1985-07-01,0.3399
1985-08-01,0.3421
1985-09-01,0.3342
1985-10-01,0.3413
1985-11-01,0.3394
1985-12-01,0.32339999999999997
1986-01-01,0.3153
1986-02-01,0.3097
1986-03-01,0.31
1986-04-01,0.3028
1986-05-01,0.29560000000000003
1986-06-01,0.2765
1986-07-01,0.2921
1986-08-01,0.2968
1986-09-01,0.3092
1986-10-01,0.2932
1986-11-01,0.2972
1986-12-01,0.3142
1987-01-01,0.31510000000000005
1987-02-01,0.3167
1987-03-01,0.3072
1987-04-01,0.30960000000000004
1987-05-01,0.2892
1987-06-01,0.2925
1987-07-01,0.28
1987-08-01,0.27
1987-09-01,0.2582
1987-10-01,0.2471
1987-11-01,0.2316
1987-12-01,0.2282
1988-01-01,0.22230000000000003
1988-02-01,0.2165
1988-03-01,0.20400000000000001
1988-04-01,0.222
1988-05-01,0.2265
1988-06-01,0.21430000000000002
1988-07-01,0.2174
1988-08-01,0.2114
1988-09-01,0.2144
1988-10-01,0.2097
1988-11-01,0.2171
1988-12-01,0.2145
1989-01-01,0.2225
1989-02-01,0.21530000000000002
1989-03-01,0.2325
1989-04-01,0.2172
1989-05-01,0.217
1989-06-01,0.211
1989-07-01,0.2199
1989-08-01,0.2139
1989-09-01,0.2078
1989-10-01,0.2132
1989-11-01,0.2084
1989-12-01,0.20400000000000001
1990-01-01,0.2029
1990-02-01,0.21
1990-03-01,0.1997
1990-04-01,0.19330000000000003
1990-05-01,0.1986
1990-06-01,0.1936
1990-07-01,0.2042
1990-08-01,0.2086
1990-09-01,0.22390000000000002
1990-10-01,0.22940000000000002
1990-11-01,0.241
1990-12-01,0.2773
1991-01-01,0.2781
1991-02-01,0.2802
1991-03-01,0.2952
1991-04-01,0.327
1991-05-01,0.3296
1991-06-01,0.3579
1991-07-01,0.371
1991-08-01,0.38489999999999996
1991-09-01,0.37939999999999996
1991-10-01,0.3747
1991-11-01,0.37810000000000005
1991-12-01,0.3877
1992-01-01,0.38739999999999997
1992-02-01,0.4079
1992-03-01,0.4273
1992-04-01,0.4347
1992-05-01,0.4319
1992-06-01,0.4495
1992-07-01,0.44830000000000003
1992-08-01,0.4742
1992-09-01,0.47450000000000003
1992-10-01,0.4854
