date,value
1976-01-01,0.733
1976-02-01,0.73
1976-03-01,0.6915
1976-04-01,0.7131000000000001
1976-05-01,0.72
1976-06-01,0.7212999999999999
1976-07-01,0.7799
1976-08-01,0.7436
1976-09-01,0.7367
1976-10-01,0.7826000000000001
1976-11-01,0.7805
1976-12-01,0.7948
1977-01-01,0.8118
1977-02-01,0.842
1977-03-01,0.836
1977-04-01,0.849
1977-05-01,0.8378
1977-06-01,0.842
1977-07-01,0.8729
1977-08-01,0.8827999999999999
1977-09-01,0.902
1977-10-01,0.9134
1977-11-01,0.9254
1977-12-01,0.9266000000000001
1978-01-01,0.9051
1978-02-01,0.9138
1978-03-01,0.9412
1978-04-01,0.9316000000000001
1978-05-01,0.9539
1978-06-01,0.9385
1978-07-01,0.9334
1978-08-01,0.9480000000000001
1978-09-01,0.9472
1978-10-01,0.9248
1978-11-01,0.9457000000000001
1978-12-01,0.9378
1979-01-01,0.9382
1979-02-01,0.9173
1979-03-01,0.9049
1979-04-01,0.9141
1979-05-01,0.8718
1979-06-01,0.8507
1979-07-01,0.8349
1979-08-01,0.8217000000000001
1979-09-01,0.8125
1979-10-01,0.8432000000000001
1979-11-01,0.8368
1979-12-01,0.8481000000000001
1980-01-01,0.8775000000000001
1980-02-01,0.894
1980-03-01,0.901
1980-04-01,0.9083
1980-05-01,0.9238999999999999
1980-06-01,0.9183
1980-07-01,0.9056000000000001
1980-08-01,0.9079
1980-09-01,0.8762000000000001
1980-10-01,0.8731
1980-11-01,0.8577
1980-12-01,0.8741
1981-01-01,0.8923
1981-02-01,0.8997999999999999
1981-03-01,0.9024
1981-04-01,0.8683
1981-05-01,0.8772000000000001
1981-06-01,0.8879
1981-07-01,0.8794
1981-08-01,0.8612000000000001
1981-09-01,1.0039
1981-10-01,1.0204
1981-11-01,1.0195
1981-12-01,1.0717
1982-01-01,1.0597
1982-02-01,1.0928
1982-03-01,1.1397000000000002
1982-04-01,1.2047999999999999
1982-05-01,1.2714
1982-06-01,1.3643
1982-07-01,1.4652
1982-08-01,1.4781
1982-09-01,1.5270000000000001
1982-10-01,1.6020999999999999
1982-11-01,1.6004
1982-12-01,1.6244
1983-01-01,1.5729000000000002
1983-02-01,1.5735999999999999
1983-03-01,1.5547
1983-04-01,1.5537
1983-05-01,1.5565
1983-06-01,1.5573
1983-07-01,1.4929000000000001
1983-08-01,1.4727999999999999
1983-09-01,1.432
1983-10-01,1.4192
1983-11-01,1.4159000000000002
1983-12-01,1.4291
1984-01-01,1.4233
1984-02-01,1.4254000000000002
1984-03-01,1.4247
1984-04-01,1.456
1984-05-01,1.494
1984-06-01,1.4429
1984-07-01,1.4271
1984-08-01,1.4411
1984-09-01,1.5279
1984-10-01,1.4556
1984-11-01,1.4623
1984-12-01,1.4259000000000002
1985-01-01,1.3647
1985-02-01,1.3860000000000001
1985-03-01,1.4214000000000002
1985-04-01,1.4044
1985-05-01,1.3718
1985-06-01,1.3913
1985-07-01,1.3584
1985-08-01,1.3480999999999999
1985-09-01,1.3317
1985-10-01,1.3554000000000002
1985-11-01,1.3502
1985-12-01,1.3260999999999998
1986-01-01,1.3002
1986-02-01,1.3038
1986-03-01,1.2986
1986-04-01,1.2842
1986-05-01,1.2595
1986-06-01,1.2729000000000001
1986-07-01,1.2712999999999999
1986-08-01,1.2775
1986-09-01,1.2653
1986-10-01,1.2535
1986-11-01,1.2508
1986-12-01,1.2669000000000001
1987-01-01,1.2743
1987-02-01,1.2752999999999999
1987-03-01,1.2593
1987-04-01,1.2370999999999999
1987-05-01,1.2010999999999998
1987-06-01,1.2038
1987-07-01,1.1792
1987-08-01,1.167
1987-09-01,1.1461
1987-10-01,1.1297000000000001
1987-11-01,1.1132
1987-12-01,1.0971
1988-01-01,1.1065
1988-02-01,1.0684
1988-03-01,1.0678
1988-04-01,1.0562
1988-05-01,1.0674000000000001
1988-06-01,1.0439
1988-07-01,1.0695999999999999
1988-08-01,1.0776
1988-09-01,1.084
1988-10-01,1.0779
1988-11-01,1.0768
1988-12-01,1.0351
1989-01-01,1.0495999999999999
1989-02-01,1.0608
1989-03-01,1.0591
1989-04-01,1.0897999999999999
1989-05-01,1.0774000000000001
1989-06-01,1.0513
1989-07-01,1.0461
1989-08-01,1.0297
1989-09-01,1.0326
1989-10-01,1.014
1989-11-01,1.0552000000000001
1989-12-01,1.0832000000000002
1990-01-01,1.1191
1990-02-01,1.0936
1990-03-01,1.0338
1990-04-01,1.0768
1990-05-01,1.1052
1990-06-01,1.0808
1990-07-01,1.1285
1990-08-01,1.1618
1990-09-01,1.2181
1990-10-01,1.2601
1990-11-01,1.3063
1990-12-01,1.355
1991-01-01,1.3976
1991-02-01,1.4518
1991-03-01,1.4995
1991-04-01,1.4754
1991-05-01,1.4672
1991-06-01,1.5104000000000002
1991-07-01,1.5107000000000002
1991-08-01,1.5117
1991-09-01,1.4779000000000002
1991-10-01,1.4796
1991-11-01,1.4809
1991-12-01,1.4759000000000002
1992-01-01,1.4898
1992-02-01,1.4967000000000001
1992-03-01,1.5543
1992-04-01,1.53
1992-05-01,1.5648
1992-06-01,1.6332
1992-07-01,1.6216
1992-08-01,1.6778
1992-09-01,1.6681
1992-10-01,1.6342
1992-11-01,1.7489000000000001
1992-12-01,1.6827
1993-01-01,1.6040999999999999
1993-02-01,1.57
1993-03-01,1.6096
1993-04-01,1.6682000000000001
1993-05-01,1.6757000000000002
1993-06-01,1.6897
1993-07-01,1.6812
1993-08-01,1.6228
1993-09-01,1.6645
1993-10-01,1.6282
1993-11-01,1.6314000000000002
1993-12-01,1.6477000000000002
1994-01-01,1.6568
1994-02-01,1.6026
1994-03-01,1.5298
1994-04-01,1.587
1994-05-01,1.5534000000000001
1994-06-01,1.5019
1994-07-01,1.4663
1994-08-01,1.486
1994-09-01,1.4879000000000002
1994-10-01,1.4574
1994-11-01,1.4175
1994-12-01,1.4074000000000002
1995-01-01,1.4025999999999998
1995-02-01,1.4004
1995-03-01,1.4291
1995-04-01,1.3877000000000002
1995-05-01,1.3947
1995-06-01,1.3947
1995-07-01,1.4183
1995-08-01,1.4038
1995-09-01,1.3569000000000002
1995-10-01,1.3696
1995-11-01,1.357
1995-12-01,1.3797000000000001
1996-01-01,1.3951
1996-02-01,1.4108
1996-03-01,1.4131
1996-04-01,1.3767
1996-05-01,1.368
1996-06-01,1.4533
1996-07-01,1.4512
1996-08-01,1.4029
1996-09-01,1.4752
1996-10-01,1.4793
1996-11-01,1.4713
1996-12-01,1.4530999999999998
1997-01-01,1.416
1997-02-01,1.4237
1997-03-01,1.3982
1997-04-01,1.4153
1997-05-01,1.408
1997-06-01,1.3762
1997-07-01,1.3444
1997-08-01,1.3448
1997-09-01,1.3393
1997-10-01,1.3474000000000002
1997-11-01,1.3463
1997-12-01,1.2831
1998-01-01,1.3379
1998-02-01,1.3026
1998-03-01,1.2734
1998-04-01,1.2609000000000001
1998-05-01,1.2643
1998-06-01,1.2782
1998-07-01,1.2695999999999998
1998-08-01,1.2397
1998-09-01,1.2647000000000002
1998-10-01,1.2330999999999999
1998-11-01,1.2402
1998-12-01,1.2590000000000001
1999-01-01,1.226
1999-02-01,1.2233
1999-03-01,1.219
1999-04-01,1.2759
1999-05-01,1.2388
1999-06-01,1.1803
1999-07-01,1.1793
1999-08-01,1.1589
1999-09-01,1.1713
1999-10-01,1.1256
1999-11-01,1.0840999999999998
1999-12-01,1.0598
2000-01-01,1.0680999999999998
2000-02-01,1.0811
2000-03-01,1.0823
2000-04-01,1.0645
2000-05-01,1.0475
2000-06-01,1.061
2000-07-01,1.068
2000-08-01,1.1131
2000-09-01,1.1040999999999999
2000-10-01,1.1204
2000-11-01,1.1107
2000-12-01,1.0832000000000002
2001-01-01,1.1000999999999999
2001-02-01,1.1205
2001-03-01,1.1445999999999998
2001-04-01,1.1447
2001-05-01,1.1305999999999998
2001-06-01,1.1625999999999999
2001-07-01,1.1377000000000002
2001-08-01,1.1639000000000002
2001-09-01,1.1587
2001-10-01,1.1829
2001-11-01,1.2094
2001-12-01,1.3104
2002-01-01,1.3079
2002-02-01,1.2962
2002-03-01,1.2917
2002-04-01,1.2648
2002-05-01,1.2812999999999999
2002-06-01,1.2590000000000001
2002-07-01,1.2686
2002-08-01,1.235
2002-09-01,1.2599
2002-10-01,1.2674
2002-11-01,1.2562
2002-12-01,1.268
2003-01-01,1.2528
2003-02-01,1.2575
2003-03-01,1.2427000000000001
2003-04-01,1.2835999999999999
2003-05-01,1.3247
2003-06-01,1.2855
2003-07-01,1.3061
2003-08-01,1.3284
2003-09-01,1.3354000000000001
2003-10-01,1.2895999999999999
2003-11-01,1.2670000000000001
2003-12-01,1.2533
2004-01-01,1.2502
2004-02-01,1.2485
2004-03-01,1.2509000000000001
2004-04-01,1.2309
2004-05-01,1.2077
2004-06-01,1.2401
2004-07-01,1.2107
2004-08-01,1.2014
2004-09-01,1.1918
2004-10-01,1.2138
2004-11-01,1.2408
2004-12-01,1.2292
2005-01-01,1.1921
2005-02-01,1.2073
2005-03-01,1.1843
2005-04-01,1.161
2005-05-01,1.2084000000000001
2005-06-01,1.1759000000000002
2005-07-01,1.1585
2005-08-01,1.1624
2005-09-01,1.1597000000000002
2005-10-01,1.1608
2005-11-01,1.0969000000000002
2005-12-01,1.1413
2006-01-01,1.1756
2006-02-01,1.1469
2006-03-01,1.1325
2006-04-01,1.1334000000000002
2006-05-01,1.0945
2006-06-01,1.1060999999999999
2006-07-01,1.1475
2006-08-01,1.149
2006-09-01,1.145
2006-10-01,1.1178
2006-11-01,1.1537000000000002
2006-12-01,1.1218
2007-01-01,1.1285
2007-02-01,1.1123
2007-03-01,1.1189
2007-04-01,1.1169
2007-05-01,1.0934000000000001
2007-06-01,1.0940999999999999
2007-07-01,1.0760999999999998
2007-08-01,1.0687
2007-09-01,1.079
2007-10-01,1.0837
2007-11-01,1.1043
2007-12-01,1.11
2008-01-01,1.1072
2008-02-01,1.106
2008-03-01,1.1136
2008-04-01,1.1177000000000001
2008-05-01,1.1163
2008-06-01,1.1134000000000002
2008-07-01,1.1137000000000001
2008-08-01,1.1164
2008-09-01,1.1509
2008-10-01,1.1711
2008-11-01,1.2192
2008-12-01,1.2784000000000002
2009-01-01,1.3717000000000001
2009-02-01,1.479
2009-03-01,1.528
2009-04-01,1.5382
2009-05-01,1.5865
2009-06-01,1.6127
2009-07-01,1.6062
2009-08-01,1.6002
2009-09-01,1.5588
2009-10-01,1.5709000000000002
2009-11-01,1.5789000000000002
2009-12-01,1.5772000000000002
2010-01-01,1.5364000000000002
2010-02-01,1.5387000000000002
2010-03-01,1.5317
2010-04-01,1.5130000000000001
2010-05-01,1.5073
2010-06-01,1.4863
2010-07-01,1.5147000000000002
2010-08-01,1.5285
2010-09-01,1.5206
2010-10-01,1.4974
2010-11-01,1.4565000000000001
2010-12-01,1.4544000000000001
2011-01-01,1.4592
2011-02-01,1.4587
2011-03-01,1.4602000000000002
2011-04-01,1.4535
2011-05-01,1.4376
2011-06-01,1.4359000000000002
2011-07-01,1.3865999999999998
2011-08-01,1.3848
2011-09-01,1.3936
2011-10-01,1.407
2011-11-01,1.4277
2011-12-01,1.4022000000000001
2012-01-01,1.4387
2012-02-01,1.4205
2012-03-01,1.3769
2012-04-01,1.3984
2012-05-01,1.4227
2012-06-01,1.3843
2012-07-01,1.3791
2012-08-01,1.3981
2012-09-01,1.3945
2012-10-01,1.3996
2012-11-01,1.4032
2012-12-01,1.3800999999999999
2013-01-01,1.355
2013-02-01,1.3435000000000001
2013-03-01,1.3812
2013-04-01,1.3699000000000001
2013-05-01,1.3435000000000001
2013-06-01,1.3629000000000002
2013-07-01,1.3942999999999999
2013-08-01,1.3823
2013-09-01,1.3586
2013-10-01,1.3836
2013-11-01,1.3584
2013-12-01,1.4078
2014-01-01,1.3845999999999998
2014-02-01,1.3848
2014-03-01,1.3518
2014-04-01,1.359
2014-05-01,1.3921
2014-06-01,1.3780999999999999
2014-07-01,1.3587
2014-08-01,1.3360999999999998
2014-09-01,1.3414000000000001
2014-10-01,1.3014000000000001
2014-11-01,1.3002
2014-12-01,1.2725
2015-01-01,1.2932000000000001
2015-02-01,1.3208
2015-03-01,1.3298
2015-04-01,1.3372000000000002
2015-05-01,1.3247
2015-06-01,1.3266
2015-07-01,1.336
2015-08-01,1.3583
2015-09-01,1.3684
2015-10-01,1.3515
2015-11-01,1.3742
2015-12-01,1.3974000000000002
2016-01-01,1.3961
2016-02-01,1.4081
2016-03-01,1.3972
2016-04-01,1.4138
2016-05-01,1.3620999999999999
2016-06-01,1.3451
2016-07-01,1.3468
2016-08-01,1.3349000000000002
2016-09-01,1.3527
2016-10-01,1.341
2016-11-01,1.3265
2016-12-01,1.3491
2017-01-01,1.3391
2017-02-01,1.2958
2017-03-01,1.3077
2017-04-01,1.2730000000000001
2017-05-01,1.3028
2017-06-01,1.2759
2017-07-01,1.2367000000000001
2017-08-01,1.2253
2017-09-01,1.2255
2017-10-01,1.2468
2017-11-01,1.2157
2017-12-01,1.1983
2018-01-01,1.1689
2018-02-01,1.1883
2018-03-01,1.155
2018-04-01,1.1441
2018-05-01,1.1602000000000001
2018-06-01,1.1836
2018-07-01,1.1724
2018-08-01,1.1962000000000002
2018-09-01,1.1505999999999998
2018-10-01,1.1184
2018-11-01,1.1365
2018-12-01,1.1298
2019-01-01,1.1478
2019-02-01,1.165
2019-03-01,1.1762000000000001
2019-04-01,1.1545
2019-05-01,1.1031
2019-06-01,1.1212
2019-07-01,1.162
2019-08-01,1.1663
2019-09-01,1.1394000000000002
2019-10-01,1.1436
2019-11-01,1.197
2019-12-01,1.1397000000000002
2020-01-01,1.1215
2020-02-01,1.182
2020-03-01,1.667
2020-04-01,2.5457
2020-05-01,2.7205
2020-06-01,2.5083
2020-07-01,2.1984000000000004
2020-08-01,2.0348
2020-09-01,1.8623
2020-10-01,1.8351
2020-11-01,1.7567000000000002
2020-12-01,1.8127
2021-01-01,1.8634000000000002
2021-02-01,1.729
2021-03-01,1.5769000000000002
2021-04-01,1.6771
2021-05-01,1.6812
2021-06-01,1.62
2021-07-01,1.524
2021-08-01,1.4670999999999998
2021-09-01,1.4545000000000001
2021-10-01,1.3362
2021-11-01,1.2622
2021-12-01,1.2324000000000002
2022-01-01,1.3254000000000001
2022-02-01,1.1356
2022-03-01,1.1149000000000002
2022-04-01,1.1165
2022-05-01,1.0842
2022-06-01,1.0274
2022-07-01,1.0071
2022-08-01,1.0839
2022-09-01,1.0666
2022-10-01,1.0725
2022-11-01,1.0587
2022-12-01,1.0511
2023-01-01,1.0837
2023-02-01,1.0963
2023-03-01,1.0792000000000002
2023-04-01,1.0807
2023-05-01,1.1113
2023-06-01,1.1532
2023-07-01,1.1722000000000001
2023-08-01,1.1647
2023-09-01,1.1814
2023-10-01,1.2359000000000002
2023-11-01,1.2533
2023-12-01,1.2633
2024-01-01,1.2464000000000002
2024-02-01,1.3009000000000002
2024-03-01,1.3504
2024-04-01,1.3606
2024-05-01,1.3807
2024-06-01,1.423
2024-07-01,1.4222000000000001
2024-08-01,1.4601
2024-09-01,1.4359000000000002
2024-10-01,1.4673
2024-11-01,1.5597
2024-12-01,1.5026
2025-01-01,1.4953
2025-02-01,1.4838
2025-03-01,1.5206
2025-04-01,1.5535
2025-05-01,1.571
2025-06-01,1.5484000000000002
2025-07-01,1.5599
2025-08-01,1.5900999999999998
2025-09-01,1.5960999999999999
2025-10-01,1.5507
2025-11-01,1.4839000000000002
2025-12-01,1.5517
2026-01-01,1.4575
2026-02-01,1.5142
2026-03-01,1.5152
2026-04-01,1.5664
