date,value
1990-01-01,266.885
1990-04-01,203.476
1990-07-01,157.853
1990-10-01,139.964
1991-01-01,120.327
1991-04-01,147.225
1991-07-01,174.887
1991-10-01,173.507
1992-01-01,171.16
1992-04-01,169.187
1992-07-01,170.71
1992-10-01,165.396
1993-01-01,153.867
1993-04-01,151.075
1993-07-01,160.196
1993-10-01,161.665
1994-01-01,152.889
1994-04-01,163.112
1994-07-01,155.766
1994-10-01,140.201
1995-01-01,120.877
1995-04-01,107.439
1995-07-01,107.413
1995-10-01,114.356
1996-01-01,105.929
1996-04-01,123.696
1996-07-01,128.909
1996-10-01,130.202
1997-01-01,146.752
1997-04-01,143.212
1997-07-01,151.239
1997-10-01,146.621
1998-01-01,140.346
1998-04-01,139.991
1998-07-01,133.426
1998-10-01,135.384
1999-01-01,139.088
1999-04-01,150.061
1999-07-01,150.09
1999-10-01,158.816
2000-01-01,154.435
2000-04-01,144.884
2000-07-01,160.918
2000-10-01,154.201
2001-01-01,158.24
2001-04-01,167.9
2001-07-01,157.421
2001-10-01,171.205
2002-01-01,203.795
2002-04-01,198.883
2002-07-01,203.228
2002-10-01,209.885
2003-01-01,210.91
2003-04-01,204.145
2003-07-01,230.127
2003-10-01,228.818
2004-01-01,217.622
2004-04-01,234.44
2004-07-01,239.904
2004-10-01,237.462
2005-01-01,205.662
2005-04-01,234.597
2005-07-01,229.872
2005-10-01,229.169
2006-01-01,235.996
2006-04-01,234.942
2006-07-01,217.71
2006-10-01,226.852
2007-01-01,222.309
2007-04-01,231.651
2007-07-01,245.086
2007-10-01,214.969
2008-01-01,225.235
2008-04-01,224.948
2008-07-01,210.065
2008-10-01,182.588
2009-01-01,128.225
2009-04-01,129.172
2009-07-01,155.277
2009-10-01,178.879
2010-01-01,195.472
2010-04-01,200.038
2010-07-01,188.842
2010-10-01,181.48
2011-01-01,177.139
2011-04-01,193.737
2011-07-01,202.534
2011-10-01,201.485
2012-01-01,207.709
2012-04-01,229.074
2012-07-01,219.196
2012-10-01,204.055
2013-01-01,178.293
2013-04-01,187.148
2013-07-01,190.865
2013-10-01,195.396
2014-01-01,180.629
2014-04-01,196.022
2014-07-01,193.346
2014-10-01,185.041
2015-01-01,176.403
2015-04-01,193.945
2015-07-01,208.785
2015-10-01,198.387
2016-01-01,196.792
2016-04-01,198.086
2016-07-01,200.809
2016-10-01,196.745
2017-01-01,225.205
2017-04-01,203.368
2017-07-01,224.342
2017-10-01,229.542
2018-01-01,219.626
2018-04-01,217.709
2018-07-01,198.969
2018-10-01,217.352
2019-01-01,182.959
2019-04-01,218.889
2019-07-01,224.675
2019-10-01,203.174
2020-01-01,196.717
2020-04-01,191.965
2020-07-01,238.798
2020-10-01,248.026
2021-01-01,284.625
2021-04-01,278.809
2021-07-01,262.857
2021-10-01,266.704
2022-01-01,237.612
2022-04-01,268.155
2022-07-01,278.852
2022-10-01,262.625
2023-01-01,221.633
2023-04-01,242.27
2023-07-01,258.151
2023-10-01,243.229
2024-01-01,247.276
2024-04-01,243.834
2024-07-01,239.472
2024-10-01,246.084
2025-01-01,230.028
2025-04-01,276.043
2025-07-01,272.634
2025-10-01,256.081
2026-01-01,246.149
