date,value
2005-01-01,29.42
2005-02-01,28.44
2005-03-01,36.5
2005-04-01,31.02
2005-05-01,27.46
2005-06-01,38.16
2005-07-01,44.78
2005-08-01,48.29
2005-09-01,42.13
2005-10-01,41.52
2005-11-01,34.34
2005-12-01,32.78
2006-01-01,38.8
2006-02-01,28.68
2006-03-01,36.77
2006-04-01,52.02
2006-05-01,57.29
2006-06-01,51.63
2006-07-01,57.93
2006-08-01,55.83
2006-09-01,41.56
2006-10-01,36.9
2006-11-01,39.17
2006-12-01,43.9
2007-01-01,38.05
2007-02-01,44.43
2007-03-01,45.6
2007-04-01,44.03
2007-05-01,46.33
2007-06-01,47.19
2007-07-01,53.06
2007-08-01,52.76
2007-09-01,53.0
2007-10-01,54.69
2007-11-01,66.29
2007-12-01,50.02
2008-01-01,68.72
2008-02-01,71.75
2008-03-01,88.87
2008-04-01,94.64
2008-05-01,104.28
2008-06-01,108.15
2008-07-01,114.95
2008-08-01,101.1
2008-09-01,83.87
2008-10-01,58.08
2008-11-01,37.54
2008-12-01,23.18
2009-01-01,29.97
2009-02-01,31.71
2009-03-01,40.76
2009-04-01,43.76
2009-05-01,51.64
2009-06-01,61.18
2009-07-01,54.45
2009-08-01,60.57
2009-09-01,59.52
2009-10-01,65.29
2009-11-01,65.04
2009-12-01,61.89
2010-01-01,69.28
2010-02-01,67.91
2010-03-01,71.82
2010-04-01,72.02
2010-05-01,57.49
2010-06-01,62.33
2010-07-01,64.28
2010-08-01,61.93
2010-09-01,55.44
2010-10-01,56.72
2010-11-01,69.56
2010-12-01,74.89
2011-01-01,71.18
2011-02-01,63.42
2011-03-01,79.13
2011-04-01,89.69
2011-05-01,85.66
2011-06-01,79.42
2011-07-01,78.31
2011-08-01,66.51
2011-09-01,71.6
2011-10-01,76.54
2011-11-01,87.32
2011-12-01,86.86
2012-01-01,86.47
2012-02-01,83.04
2012-03-01,75.01
2012-04-01,70.4
2012-05-01,75.1
2012-06-01,66.37
2012-07-01,64.28
2012-08-01,69.03
2012-09-01,78.17
2012-10-01,79.88
