date,starts_saar_thousands,pop_15plus_millions,pop_15plus_yoy_delta_millions,starts_per_1k_adults_annualized,new_homes_per_new_adult
2006-04-01,233.636,26.0365,0.3676,8.9734,0.6356
2006-05-01,220.93,26.0749,0.3684,8.4729,0.5997
2006-06-01,241.79,26.1068,0.3682,9.2616,0.6567
2006-07-01,241.986,26.1391,0.3674,9.2576,0.6586
2006-08-01,211.143,26.1773,0.3669,8.0659,0.5755
2006-09-01,204.137,26.2065,0.367,7.7896,0.5562
2006-10-01,231.099,26.2341,0.3668,8.8091,0.63
2006-11-01,234.741,26.2608,0.3664,8.9388,0.6407
2006-12-01,210.977,26.2859,0.367,8.0262,0.5749
2007-01-01,244.867,26.3147,0.3614,9.3053,0.6776
2007-02-01,197.478,26.3355,0.3567,7.4985,0.5536
2007-03-01,220.742,26.3599,0.3529,8.3742,0.6255
2007-04-01,226.127,26.3914,0.3549,8.5682,0.6372
2007-05-01,236.755,26.4193,0.3444,8.9614,0.6874
2007-06-01,228.934,26.4493,0.3425,8.6556,0.6684
2007-07-01,223.292,26.4865,0.3474,8.4304,0.6428
2007-08-01,231.607,26.5175,0.3402,8.7341,0.6808
2007-09-01,288.644,26.547,0.3405,10.8729,0.8477
2007-10-01,233.336,26.576,0.3419,8.78,0.6825
2007-11-01,233.383,26.6037,0.3429,8.7726,0.6806
2007-12-01,175.368,26.6292,0.3433,6.5856,0.5108
2008-01-01,202.649,26.659,0.3443,7.6015,0.5886
2008-02-01,234.342,26.6832,0.3477,8.7824,0.674
2008-03-01,237.36,26.7107,0.3508,8.8863,0.6766
2008-04-01,223.303,26.7449,0.3535,8.3494,0.6317
2008-05-01,229.034,26.7755,0.3562,8.5539,0.643
2008-06-01,223.885,26.8161,0.3668,8.3489,0.6104
2008-07-01,194.766,26.8498,0.3633,7.2539,0.5361
2008-08-01,219.132,26.8817,0.3642,8.1517,0.6017
2008-09-01,229.421,26.9184,0.3714,8.5228,0.6177
2008-10-01,219.776,26.9485,0.3725,8.1554,0.59
2008-11-01,169.588,26.9768,0.3731,6.2864,0.4545
2008-12-01,150.305,27.0032,0.374,5.5662,0.4019
2009-01-01,132.314,27.0307,0.3717,4.895,0.356
2009-02-01,115.722,27.061,0.3778,4.2763,0.3063
2009-03-01,141.138,27.0901,0.3794,5.2099,0.372
2009-04-01,111.781,27.1206,0.3757,4.1216,0.2975
2009-05-01,127.857,27.1523,0.3768,4.7089,0.3393
2009-06-01,142.729,27.1936,0.3775,5.2486,0.3781
2009-07-01,137.567,27.2269,0.3771,5.0526,0.3648
2009-08-01,165.384,27.2595,0.3778,6.067,0.4378
2009-09-01,166.608,27.2972,0.3788,6.1035,0.4398
2009-10-01,187.728,27.3266,0.3781,6.8698,0.4965
2009-11-01,173.636,27.3531,0.3763,6.3479,0.4614
2009-12-01,173.152,27.3771,0.3739,6.3247,0.4631
2010-01-01,191.133,27.4035,0.3728,6.9748,0.5127
2010-02-01,202.734,27.432,0.371,7.3904,0.5465
2010-03-01,196.249,27.4608,0.3707,7.1465,0.5294
2010-04-01,206.946,27.491,0.3704,7.5278,0.5587
2010-05-01,200.366,27.5225,0.3702,7.2801,0.5412
2010-06-01,191.104,27.5636,0.37,6.9332,0.5165
2010-07-01,196.099,27.5978,0.3709,7.1056,0.5287
2010-08-01,192.432,27.6359,0.3764,6.9631,0.5112
2010-09-01,186.677,27.6642,0.367,6.748,0.5087
2010-10-01,174.102,27.6907,0.3641,6.2874,0.4782
2010-11-01,194.104,27.7149,0.3618,7.0036,0.5365
2010-12-01,166.823,27.7371,0.36,6.0144,0.4634
2011-01-01,170.157,27.7587,0.3552,6.1299,0.479
2011-02-01,179.438,27.7812,0.3492,6.459,0.5139
2011-03-01,185.08,27.8045,0.3437,6.6565,0.5385
2011-04-01,187.901,27.8296,0.3386,6.7518,0.5549
2011-05-01,192.62,27.861,0.3385,6.9136,0.569
2011-06-01,196.358,27.8859,0.3223,7.0415,0.6092
2011-07-01,209.943,27.9137,0.3159,7.5211,0.6646
2011-08-01,191.82,27.9487,0.3128,6.8633,0.6132
2011-09-01,209.371,27.9754,0.3112,7.4841,0.6728
2011-10-01,212.64,28.0007,0.31,7.5941,0.6859
2011-11-01,185.13,28.0254,0.3105,6.6058,0.5962
2011-12-01,200.189,28.0492,0.3121,7.1371,0.6414
2012-01-01,203.029,28.0742,0.3155,7.2319,0.6435
2012-02-01,207.023,28.0989,0.3177,7.3677,0.6516
2012-03-01,213.861,28.124,0.3195,7.6042,0.6694
2012-04-01,253.254,28.1574,0.3278,8.9942,0.7726
2012-05-01,212.996,28.1851,0.3241,7.557,0.6572
2012-06-01,221.459,28.2155,0.3296,7.8488,0.6719
2012-07-01,212.445,28.2525,0.3388,7.5195,0.6271
2012-08-01,231.712,28.2775,0.3288,8.1942,0.7047
2012-09-01,223.856,28.3016,0.3262,7.9097,0.6863
2012-10-01,205.916,28.327,0.3263,7.2692,0.6311
2012-11-01,199.376,28.3515,0.3261,7.0323,0.6114
2012-12-01,200.005,28.3739,0.3247,7.0489,0.616
2013-01-01,164.443,28.3987,0.3245,5.7905,0.5068
2013-02-01,184.818,28.4159,0.317,6.504,0.583
2013-03-01,181.99,28.4403,0.3163,6.399,0.5754
2013-04-01,179.311,28.4734,0.316,6.2975,0.5674
2013-05-01,195.145,28.5012,0.3161,6.8469,0.6174
2013-06-01,191.62,28.5304,0.3149,6.7163,0.6085
2013-07-01,197.29,28.5646,0.3121,6.9068,0.6321
2013-08-01,187.634,28.5884,0.3109,6.5633,0.6035
2013-09-01,194.821,28.617,0.3154,6.8079,0.6177
2013-10-01,199.944,28.6396,0.3126,6.9814,0.6396
2013-11-01,193.84,28.6605,0.309,6.7633,0.6273
2013-12-01,185.521,28.6799,0.306,6.4687,0.6063
2014-01-01,185.19,28.6991,0.3004,6.4528,0.6165
2014-02-01,191.756,28.7165,0.3006,6.6776,0.6379
2014-03-01,162.746,28.7408,0.3005,5.6625,0.5416
2014-04-01,198.32,28.7717,0.2983,6.8929,0.6648
2014-05-01,195.657,28.7982,0.297,6.7941,0.6588
2014-06-01,195.014,28.832,0.3016,6.7638,0.6466
2014-07-01,202.591,28.8573,0.2927,7.0204,0.6921
2014-08-01,195.869,28.8773,0.2889,6.7828,0.678
2014-09-01,191.724,28.8988,0.2818,6.6343,0.6804
2014-10-01,179.739,28.9139,0.2743,6.2164,0.6553
2014-11-01,193.39,28.9296,0.2691,6.6848,0.7187
2014-12-01,177.296,28.9441,0.2642,6.1255,0.6711
2015-01-01,187.115,28.9542,0.2551,6.4624,0.7335
2015-02-01,147.197,28.9659,0.2494,5.0817,0.5902
2015-03-01,192.597,28.9819,0.2411,6.6454,0.7988
2015-04-01,181.815,29.0004,0.2287,6.2694,0.795
2015-05-01,199.576,29.0202,0.222,6.8771,0.899
2015-06-01,201.871,29.0488,0.2168,6.9494,0.9311
2015-07-01,192.203,29.0743,0.217,6.6108,0.8857
2015-08-01,216.496,29.0995,0.2222,7.4399,0.9743
2015-09-01,224.455,29.1295,0.2307,7.7054,0.9729
2015-10-01,195.835,29.1524,0.2385,6.7176,0.8211
2015-11-01,212.762,29.1731,0.2435,7.2931,0.8738
2015-12-01,171.248,29.1936,0.2495,5.8659,0.6864
2016-01-01,177.219,29.2187,0.2645,6.0653,0.67
2016-02-01,213.427,29.2493,0.2834,7.2968,0.7531
2016-03-01,201.172,29.2743,0.2924,6.872,0.688
2016-04-01,191.12,29.2989,0.2985,6.5231,0.6403
2016-05-01,191.982,29.3335,0.3133,6.5448,0.6128
2016-06-01,218.07,29.3661,0.3173,7.4259,0.6873
2016-07-01,199.191,29.4007,0.3264,6.775,0.6103
2016-08-01,187.631,29.4367,0.3372,6.3741,0.5564
2016-09-01,215.556,29.4657,0.3362,7.3155,0.6412
2016-10-01,194.172,29.4929,0.3405,6.5837,0.5703
2016-11-01,185.786,29.5183,0.3452,6.2939,0.5382
2016-12-01,202.693,29.5426,0.349,6.861,0.5808
2017-01-01,206.567,29.5754,0.3567,6.9844,0.5791
2017-02-01,208.686,29.6012,0.3519,7.0499,0.593
2017-03-01,245.562,29.6328,0.3585,8.2868,0.685
2017-04-01,212.852,29.6646,0.3657,7.1753,0.582
2017-05-01,198.484,29.705,0.3715,6.6818,0.5343
2017-06-01,209.111,29.7395,0.3734,7.0314,0.56
2017-07-01,229.448,29.7762,0.3755,7.7058,0.611
2017-08-01,227.274,29.8214,0.3847,7.6212,0.5908
2017-09-01,218.566,29.8557,0.39,7.3207,0.5604
2017-10-01,220.517,29.8893,0.3964,7.3778,0.5563
2017-11-01,248.331,29.9217,0.4034,8.2994,0.6156
2017-12-01,214.309,29.9533,0.4107,7.1548,0.5218
2018-01-01,216.76,29.9968,0.4214,7.2261,0.5144
2018-02-01,229.432,30.0277,0.4265,7.6407,0.5379
2018-03-01,221.226,30.0651,0.4323,7.3582,0.5117
2018-04-01,211.956,30.1128,0.4482,7.0387,0.4729
2018-05-01,196.246,30.1521,0.4471,6.5085,0.4389
2018-06-01,241.899,30.1931,0.4536,8.0117,0.5333
2018-07-01,201.553,30.241,0.4648,6.6649,0.4336
2018-08-01,197.116,30.2732,0.4518,6.5112,0.4363
2018-09-01,193.498,30.3052,0.4495,6.385,0.4305
2018-10-01,213.713,30.3373,0.448,7.0446,0.477
2018-11-01,224.465,30.3664,0.4447,7.3919,0.5048
2018-12-01,214.99,30.3937,0.4404,7.0735,0.4882
2019-01-01,200.484,30.4278,0.431,6.5888,0.4652
2019-02-01,163.048,30.4509,0.4232,5.3545,0.3853
2019-03-01,192.596,30.4798,0.4147,6.3188,0.4644
2019-04-01,229.417,30.5196,0.4068,7.517,0.564
2019-05-01,196.581,30.5544,0.4023,6.4338,0.4886
